Year,SeriesCode,GeoAreaName,Value
2000,DP_DOD_DLD2_CR_CG_Z1,Australia,10.82033
2001,DP_DOD_DLD2_CR_CG_Z1,Australia,9.66513
2002,DP_DOD_DLD2_CR_CG_Z1,Australia,8.6167
2003,DP_DOD_DLD2_CR_CG_Z1,Australia,6.80367
2004,DP_DOD_DLD2_CR_CG_Z1,Australia,6.21904
2005,DP_DOD_DLD2_CR_CG_Z1,Australia,5.92769
2006,DP_DOD_DLD2_CR_CG_Z1,Australia,5.47611
2007,DP_DOD_DLD2_CR_CG_Z1,Australia,5.32935
2008,DP_DOD_DLD2_CR_CG_Z1,Australia,4.94401
2009,DP_DOD_DLD2_CR_CG_Z1,Australia,10.17933
2010,DP_DOD_DLD2_CR_CG_Z1,Australia,13.57496
2011,DP_DOD_DLD2_CR_CG_Z1,Australia,15.8564
2012,DP_DOD_DLD2_CR_CG_Z1,Australia,17.9851
2013,DP_DOD_DLD2_CR_CG_Z1,Australia,19.58188
2014,DP_DOD_DLD2_CR_CG_Z1,Australia,22.54832
2015,DP_DOD_DLD2_CR_CG_Z1,Australia,24.83246
2016,DP_DOD_DLD2_CR_CG_Z1,Australia,27.78749
2017,DP_DOD_DLD2_CR_CG_Z1,Australia,29.07536
2018,DP_DOD_DLD2_CR_CG_Z1,Australia,28.82666
2019,DP_DOD_DLD2_CR_CG_Z1,Australia,28.43066
2020,DP_DOD_DLD2_CR_CG_Z1,Australia,40.92023
2021,DP_DOD_DLD2_CR_CG_Z1,Australia,39.75049
2000,DP_DOD_DLD2_CR_CG_Z1,Austria,60.44062
2001,DP_DOD_DLD2_CR_CG_Z1,Austria,60.49798
2002,DP_DOD_DLD2_CR_CG_Z1,Austria,61.49756
2003,DP_DOD_DLD2_CR_CG_Z1,Austria,61.28067
2004,DP_DOD_DLD2_CR_CG_Z1,Austria,60.42836
2005,DP_DOD_DLD2_CR_CG_Z1,Austria,63.64148
2006,DP_DOD_DLD2_CR_CG_Z1,Austria,62.16205
2007,DP_DOD_DLD2_CR_CG_Z1,Austria,59.72687
2008,DP_DOD_DLD2_CR_CG_Z1,Austria,63.57097
2009,DP_DOD_DLD2_CR_CG_Z1,Austria,73.56273
2010,DP_DOD_DLD2_CR_CG_Z1,Austria,74.95855
2011,DP_DOD_DLD2_CR_CG_Z1,Austria,73.96491
2012,DP_DOD_DLD2_CR_CG_Z1,Austria,74.03662
2013,DP_DOD_DLD2_CR_CG_Z1,Austria,73.57849
2014,DP_DOD_DLD2_CR_CG_Z1,Austria,76.80253
2015,DP_DOD_DLD2_CR_CG_Z1,Austria,77.85649
2016,DP_DOD_DLD2_CR_CG_Z1,Austria,75.92084
2017,DP_DOD_DLD2_CR_CG_Z1,Austria,72.17638
2018,DP_DOD_DLD2_CR_CG_Z1,Austria,68.02191
2019,DP_DOD_DLD2_CR_CG_Z1,Austria,65.05658
2020,DP_DOD_DLD2_CR_CG_Z1,Austria,76.38834
2021,DP_DOD_DLD2_CR_CG_Z1,Austria,76.23885
2000,DP_DOD_DLD2_CR_CG_Z1,Belgium,98.93243
2001,DP_DOD_DLD2_CR_CG_Z1,Belgium,98.15613
2002,DP_DOD_DLD2_CR_CG_Z1,Belgium,95.2967
2003,DP_DOD_DLD2_CR_CG_Z1,Belgium,89.33361
2004,DP_DOD_DLD2_CR_CG_Z1,Belgium,85.08827
2005,DP_DOD_DLD2_CR_CG_Z1,Belgium,83.85548
2006,DP_DOD_DLD2_CR_CG_Z1,Belgium,80.86612
2007,DP_DOD_DLD2_CR_CG_Z1,Belgium,77.20411
2008,DP_DOD_DLD2_CR_CG_Z1,Belgium,82.73848
2009,DP_DOD_DLD2_CR_CG_Z1,Belgium,86.4939
2010,DP_DOD_DLD2_CR_CG_Z1,Belgium,85.76665
2011,DP_DOD_DLD2_CR_CG_Z1,Belgium,88.46737
2012,DP_DOD_DLD2_CR_CG_Z1,Belgium,88.96977
2013,DP_DOD_DLD2_CR_CG_Z1,Belgium,89.61133
2014,DP_DOD_DLD2_CR_CG_Z1,Belgium,90.03533
2015,DP_DOD_DLD2_CR_CG_Z1,Belgium,88.82631
2016,DP_DOD_DLD2_CR_CG_Z1,Belgium,89.15005
2017,DP_DOD_DLD2_CR_CG_Z1,Belgium,86.98393
2018,DP_DOD_DLD2_CR_CG_Z1,Belgium,84.96493
2019,DP_DOD_DLD2_CR_CG_Z1,Belgium,82.85368
2020,DP_DOD_DLD2_CR_CG_Z1,Belgium,93.55234
2021,DP_DOD_DLD2_CR_CG_Z1,Belgium,91.40932
2000,DP_DOD_DLD2_CR_CG_Z1,Bulgaria,66.93543
2001,DP_DOD_DLD2_CR_CG_Z1,Bulgaria,62.28668
2002,DP_DOD_DLD2_CR_CG_Z1,Bulgaria,49.62874
2003,DP_DOD_DLD2_CR_CG_Z1,Bulgaria,41.64834
2004,DP_DOD_DLD2_CR_CG_Z1,Bulgaria,34.49739
2005,DP_DOD_DLD2_CR_CG_Z1,Bulgaria,25.20006
2006,DP_DOD_DLD2_CR_CG_Z1,Bulgaria,19.44441
2007,DP_DOD_DLD2_CR_CG_Z1,Bulgaria,15.17789
2008,DP_DOD_DLD2_CR_CG_Z1,Bulgaria,12.47127
2009,DP_DOD_DLD2_CR_CG_Z1,Bulgaria,13.21429
2010,DP_DOD_DLD2_CR_CG_Z1,Bulgaria,13.90731
2011,DP_DOD_DLD2_CR_CG_Z1,Bulgaria,15.12169
2012,DP_DOD_DLD2_CR_CG_Z1,Bulgaria,16.10418
2013,DP_DOD_DLD2_CR_CG_Z1,Bulgaria,16.47435
2014,DP_DOD_DLD2_CR_CG_Z1,Bulgaria,26.009
2015,DP_DOD_DLD2_CR_CG_Z1,Bulgaria,25.1595
2016,DP_DOD_DLD2_CR_CG_Z1,Bulgaria,27.912
2017,DP_DOD_DLD2_CR_CG_Z1,Bulgaria,24.02757
2018,DP_DOD_DLD2_CR_CG_Z1,Bulgaria,21.20854
2019,DP_DOD_DLD2_CR_CG_Z1,Bulgaria,19.09375
2020,DP_DOD_DLD2_CR_CG_Z1,Bulgaria,23.03937
2021,DP_DOD_DLD2_CR_CG_Z1,Bulgaria,21.97426
2000,DP_DOD_DLD2_CR_CG_Z1,Canada,40.81908
2001,DP_DOD_DLD2_CR_CG_Z1,Canada,39.07857
2002,DP_DOD_DLD2_CR_CG_Z1,Canada,37.56834
2003,DP_DOD_DLD2_CR_CG_Z1,Canada,35.33549
2004,DP_DOD_DLD2_CR_CG_Z1,Canada,31.53846
2005,DP_DOD_DLD2_CR_CG_Z1,Canada,29.27947
2006,DP_DOD_DLD2_CR_CG_Z1,Canada,27.08038
2007,DP_DOD_DLD2_CR_CG_Z1,Canada,24.43579
2008,DP_DOD_DLD2_CR_CG_Z1,Canada,28.41571
2009,DP_DOD_DLD2_CR_CG_Z1,Canada,36.22075
2010,DP_DOD_DLD2_CR_CG_Z1,Canada,36.57782
2011,DP_DOD_DLD2_CR_CG_Z1,Canada,36.37464
2012,DP_DOD_DLD2_CR_CG_Z1,Canada,37.01224
2013,DP_DOD_DLD2_CR_CG_Z1,Canada,36.4469
2014,DP_DOD_DLD2_CR_CG_Z1,Canada,33.67616
2015,DP_DOD_DLD2_CR_CG_Z1,Canada,35.10951
2016,DP_DOD_DLD2_CR_CG_Z1,Canada,35.64525
2017,DP_DOD_DLD2_CR_CG_Z1,Canada,34.69606
2018,DP_DOD_DLD2_CR_CG_Z1,Canada,33.42181
2019,DP_DOD_DLD2_CR_CG_Z1,Canada,32.95687
2020,DP_DOD_DLD2_CR_CG_Z1,Canada,51.27939
2021,DP_DOD_DLD2_CR_CG_Z1,Canada,50.55909
2000,DP_DOD_DLD2_CR_CG_Z1,Croatia,32.74399
2001,DP_DOD_DLD2_CR_CG_Z1,Croatia,33.97391
2002,DP_DOD_DLD2_CR_CG_Z1,Croatia,33.67664
2003,DP_DOD_DLD2_CR_CG_Z1,Croatia,35.38301
2004,DP_DOD_DLD2_CR_CG_Z1,Croatia,37.83984
2005,DP_DOD_DLD2_CR_CG_Z1,Croatia,38.66984
2006,DP_DOD_DLD2_CR_CG_Z1,Croatia,36.52285
2007,DP_DOD_DLD2_CR_CG_Z1,Croatia,35.54293
2008,DP_DOD_DLD2_CR_CG_Z1,Croatia,38.58903
2009,DP_DOD_DLD2_CR_CG_Z1,Croatia,47.07853
2010,DP_DOD_DLD2_CR_CG_Z1,Croatia,55.7526
2011,DP_DOD_DLD2_CR_CG_Z1,Croatia,62.11332
2012,DP_DOD_DLD2_CR_CG_Z1,Croatia,67.80298
2013,DP_DOD_DLD2_CR_CG_Z1,Croatia,79.16098
2014,DP_DOD_DLD2_CR_CG_Z1,Croatia,81.71759
2015,DP_DOD_DLD2_CR_CG_Z1,Croatia,81.06286
2016,DP_DOD_DLD2_CR_CG_Z1,Croatia,77.01581
2017,DP_DOD_DLD2_CR_CG_Z1,Croatia,73.98074
2018,DP_DOD_DLD2_CR_CG_Z1,Croatia,70.60562
2019,DP_DOD_DLD2_CR_CG_Z1,Croatia,68.60642
2020,DP_DOD_DLD2_CR_CG_Z1,Croatia,81.19051
2021,DP_DOD_DLD2_CR_CG_Z1,Croatia,73.12374
2000,DP_DOD_DLD2_CR_CG_Z1,Cyprus,85.20817
2001,DP_DOD_DLD2_CR_CG_Z1,Cyprus,87.49787
2002,DP_DOD_DLD2_CR_CG_Z1,Cyprus,92.06912
2003,DP_DOD_DLD2_CR_CG_Z1,Cyprus,95.68929
2004,DP_DOD_DLD2_CR_CG_Z1,Cyprus,96.25074
2005,DP_DOD_DLD2_CR_CG_Z1,Cyprus,95.88412
2006,DP_DOD_DLD2_CR_CG_Z1,Cyprus,90.57028
2007,DP_DOD_DLD2_CR_CG_Z1,Cyprus,84.87995
2008,DP_DOD_DLD2_CR_CG_Z1,Cyprus,77.32387
2009,DP_DOD_DLD2_CR_CG_Z1,Cyprus,89.09335
2010,DP_DOD_DLD2_CR_CG_Z1,Cyprus,92.46138
2011,DP_DOD_DLD2_CR_CG_Z1,Cyprus,102.8731
2012,DP_DOD_DLD2_CR_CG_Z1,Cyprus,119.09392
2013,DP_DOD_DLD2_CR_CG_Z1,Cyprus,145.95774
2014,DP_DOD_DLD2_CR_CG_Z1,Cyprus,152.12718
2015,DP_DOD_DLD2_CR_CG_Z1,Cyprus,148.90155
2016,DP_DOD_DLD2_CR_CG_Z1,Cyprus,142.35024
2017,DP_DOD_DLD2_CR_CG_Z1,Cyprus,131.13714
2018,DP_DOD_DLD2_CR_CG_Z1,Cyprus,136.51702
2019,DP_DOD_DLD2_CR_CG_Z1,Cyprus,128.0703
2020,DP_DOD_DLD2_CR_CG_Z1,Cyprus,154.25942
2021,DP_DOD_DLD2_CR_CG_Z1,Cyprus,139.35459
2000,DP_DOD_DLD2_CR_CG_Z1,Czechia,15.83195
2001,DP_DOD_DLD2_CR_CG_Z1,Czechia,21.50589
2002,DP_DOD_DLD2_CR_CG_Z1,Czechia,24.33558
2003,DP_DOD_DLD2_CR_CG_Z1,Czechia,26.47557
2004,DP_DOD_DLD2_CR_CG_Z1,Czechia,26.3447
2005,DP_DOD_DLD2_CR_CG_Z1,Czechia,25.55222
2006,DP_DOD_DLD2_CR_CG_Z1,Czechia,25.28899
2007,DP_DOD_DLD2_CR_CG_Z1,Czechia,25.17165
2008,DP_DOD_DLD2_CR_CG_Z1,Czechia,25.95341
2009,DP_DOD_DLD2_CR_CG_Z1,Czechia,30.94519
2010,DP_DOD_DLD2_CR_CG_Z1,Czechia,34.64613
2011,DP_DOD_DLD2_CR_CG_Z1,Czechia,37.2546
2012,DP_DOD_DLD2_CR_CG_Z1,Czechia,41.52366
2013,DP_DOD_DLD2_CR_CG_Z1,Czechia,41.85499
2014,DP_DOD_DLD2_CR_CG_Z1,Czechia,39.42923
2015,DP_DOD_DLD2_CR_CG_Z1,Czechia,37.62142
2016,DP_DOD_DLD2_CR_CG_Z1,Czechia,35.73205
2017,DP_DOD_DLD2_CR_CG_Z1,Czechia,33.93579
2018,DP_DOD_DLD2_CR_CG_Z1,Czechia,32.38092
2019,DP_DOD_DLD2_CR_CG_Z1,Czechia,30.95513
2020,DP_DOD_DLD2_CR_CG_Z1,Czechia,38.9303
2021,DP_DOD_DLD2_CR_CG_Z1,Czechia,43.55842
2000,DP_DOD_DLD2_CR_CG_Z1,Denmark,0.0
2001,DP_DOD_DLD2_CR_CG_Z1,Denmark,0.0
2002,DP_DOD_DLD2_CR_CG_Z1,Denmark,0.0
2003,DP_DOD_DLD2_CR_CG_Z1,Denmark,0.0
2004,DP_DOD_DLD2_CR_CG_Z1,Denmark,0.0
2005,DP_DOD_DLD2_CR_CG_Z1,Denmark,0.0
2006,DP_DOD_DLD2_CR_CG_Z1,Denmark,0.0
2007,DP_DOD_DLD2_CR_CG_Z1,Denmark,0.0
2008,DP_DOD_DLD2_CR_CG_Z1,Denmark,0.0
2009,DP_DOD_DLD2_CR_CG_Z1,Denmark,0.0
2010,DP_DOD_DLD2_CR_CG_Z1,Denmark,0.0
2011,DP_DOD_DLD2_CR_CG_Z1,Denmark,0.0
2012,DP_DOD_DLD2_CR_CG_Z1,Denmark,38.9418
2013,DP_DOD_DLD2_CR_CG_Z1,Denmark,37.96099
2014,DP_DOD_DLD2_CR_CG_Z1,Denmark,38.11997
2015,DP_DOD_DLD2_CR_CG_Z1,Denmark,34.14062
2016,DP_DOD_DLD2_CR_CG_Z1,Denmark,30.87423
2017,DP_DOD_DLD2_CR_CG_Z1,Denmark,28.44981
2018,DP_DOD_DLD2_CR_CG_Z1,Denmark,26.56714
2019,DP_DOD_DLD2_CR_CG_Z1,Denmark,26.42838
2020,DP_DOD_DLD2_CR_CG_Z1,Denmark,35.1882
2021,DP_DOD_DLD2_CR_CG_Z1,Denmark,29.93211
2000,DP_DOD_DLD2_CR_CG_Z1,Estonia,3.32653
2001,DP_DOD_DLD2_CR_CG_Z1,Estonia,2.91394
2002,DP_DOD_DLD2_CR_CG_Z1,Estonia,3.47071
2003,DP_DOD_DLD2_CR_CG_Z1,Estonia,3.13229
2004,DP_DOD_DLD2_CR_CG_Z1,Estonia,2.7819
2005,DP_DOD_DLD2_CR_CG_Z1,Estonia,2.25155
2006,DP_DOD_DLD2_CR_CG_Z1,Estonia,2.0547
2007,DP_DOD_DLD2_CR_CG_Z1,Estonia,1.40233
2008,DP_DOD_DLD2_CR_CG_Z1,Estonia,1.75832
2009,DP_DOD_DLD2_CR_CG_Z1,Estonia,3.68033
2010,DP_DOD_DLD2_CR_CG_Z1,Estonia,3.36271
2011,DP_DOD_DLD2_CR_CG_Z1,Estonia,3.2907
2012,DP_DOD_DLD2_CR_CG_Z1,Estonia,10.90547
2013,DP_DOD_DLD2_CR_CG_Z1,Estonia,11.05982
2014,DP_DOD_DLD2_CR_CG_Z1,Estonia,11.31972
2015,DP_DOD_DLD2_CR_CG_Z1,Estonia,10.9789
2016,DP_DOD_DLD2_CR_CG_Z1,Estonia,10.93025
2017,DP_DOD_DLD2_CR_CG_Z1,Estonia,9.99681
2018,DP_DOD_DLD2_CR_CG_Z1,Estonia,9.31969
2019,DP_DOD_DLD2_CR_CG_Z1,Estonia,9.77824
2020,DP_DOD_DLD2_CR_CG_Z1,Estonia,18.38667
2021,DP_DOD_DLD2_CR_CG_Z1,Estonia,17.68999
2000,DP_DOD_DLD2_CR_CG_Z1,Finland,50.32541
2001,DP_DOD_DLD2_CR_CG_Z1,Finland,45.78297
2002,DP_DOD_DLD2_CR_CG_Z1,Finland,42.78585
2003,DP_DOD_DLD2_CR_CG_Z1,Finland,44.49255
2004,DP_DOD_DLD2_CR_CG_Z1,Finland,42.77265
2005,DP_DOD_DLD2_CR_CG_Z1,Finland,39.18342
2006,DP_DOD_DLD2_CR_CG_Z1,Finland,36.52059
2007,DP_DOD_DLD2_CR_CG_Z1,Finland,32.45328
2008,DP_DOD_DLD2_CR_CG_Z1,Finland,30.97316
2009,DP_DOD_DLD2_CR_CG_Z1,Finland,39.00312
2010,DP_DOD_DLD2_CR_CG_Z1,Finland,44.47787
2011,DP_DOD_DLD2_CR_CG_Z1,Finland,46.71259
2012,DP_DOD_DLD2_CR_CG_Z1,Finland,50.22359
2013,DP_DOD_DLD2_CR_CG_Z1,Finland,52.17623
2014,DP_DOD_DLD2_CR_CG_Z1,Finland,54.72578
2015,DP_DOD_DLD2_CR_CG_Z1,Finland,57.04331
2016,DP_DOD_DLD2_CR_CG_Z1,Finland,56.696
2017,DP_DOD_DLD2_CR_CG_Z1,Finland,55.10802
2018,DP_DOD_DLD2_CR_CG_Z1,Finland,53.04504
2019,DP_DOD_DLD2_CR_CG_Z1,Finland,52.47897
2020,DP_DOD_DLD2_CR_CG_Z1,Finland,60.53571
2021,DP_DOD_DLD2_CR_CG_Z1,Finland,58.95396
2000,DP_DOD_DLD2_CR_CG_Z1,France,50.79346
2001,DP_DOD_DLD2_CR_CG_Z1,France,50.75373
2002,DP_DOD_DLD2_CR_CG_Z1,France,53.28689
2003,DP_DOD_DLD2_CR_CG_Z1,France,55.97501
2004,DP_DOD_DLD2_CR_CG_Z1,France,55.89505
2005,DP_DOD_DLD2_CR_CG_Z1,France,56.53013
2006,DP_DOD_DLD2_CR_CG_Z1,France,53.73244
2007,DP_DOD_DLD2_CR_CG_Z1,France,53.56406
2008,DP_DOD_DLD2_CR_CG_Z1,France,57.35559
2009,DP_DOD_DLD2_CR_CG_Z1,France,69.43806
2010,DP_DOD_DLD2_CR_CG_Z1,France,70.71603
2011,DP_DOD_DLD2_CR_CG_Z1,France,72.46834
2012,DP_DOD_DLD2_CR_CG_Z1,France,75.34551
2013,DP_DOD_DLD2_CR_CG_Z1,France,77.81093
2014,DP_DOD_DLD2_CR_CG_Z1,France,78.84757
2015,DP_DOD_DLD2_CR_CG_Z1,France,79.58502
2016,DP_DOD_DLD2_CR_CG_Z1,France,81.94001
2017,DP_DOD_DLD2_CR_CG_Z1,France,82.75506
2018,DP_DOD_DLD2_CR_CG_Z1,France,83.6689
2019,DP_DOD_DLD2_CR_CG_Z1,France,84.17752
2020,DP_DOD_DLD2_CR_CG_Z1,France,97.77266
2021,DP_DOD_DLD2_CR_CG_Z1,France,96.69063
2000,DP_DOD_DLD2_CR_CG_Z1,Germany,38.2269
2001,DP_DOD_DLD2_CR_CG_Z1,Germany,36.4169
2002,DP_DOD_DLD2_CR_CG_Z1,Germany,37.00912
2003,DP_DOD_DLD2_CR_CG_Z1,Germany,38.88353
2004,DP_DOD_DLD2_CR_CG_Z1,Germany,39.75231
2005,DP_DOD_DLD2_CR_CG_Z1,Germany,41.29808
2006,DP_DOD_DLD2_CR_CG_Z1,Germany,41.17556
2007,DP_DOD_DLD2_CR_CG_Z1,Germany,39.52345
2008,DP_DOD_DLD2_CR_CG_Z1,Germany,40.0514
2009,DP_DOD_DLD2_CR_CG_Z1,Germany,44.41101
2010,DP_DOD_DLD2_CR_CG_Z1,Germany,52.14318
2011,DP_DOD_DLD2_CR_CG_Z1,Germany,50.00329
2012,DP_DOD_DLD2_CR_CG_Z1,Germany,50.64553
2013,DP_DOD_DLD2_CR_CG_Z1,Germany,49.53972
2014,DP_DOD_DLD2_CR_CG_Z1,Germany,47.77131
2015,DP_DOD_DLD2_CR_CG_Z1,Germany,45.33546
2016,DP_DOD_DLD2_CR_CG_Z1,Germany,43.56276
2017,DP_DOD_DLD2_CR_CG_Z1,Germany,41.3187
2018,DP_DOD_DLD2_CR_CG_Z1,Germany,39.30847
2019,DP_DOD_DLD2_CR_CG_Z1,Germany,37.42096
2020,DP_DOD_DLD2_CR_CG_Z1,Germany,44.42536
2021,DP_DOD_DLD2_CR_CG_Z1,Germany,46.28721
2000,DP_DOD_DLD2_CR_CG_Z1,Greece,112.09205
2001,DP_DOD_DLD2_CR_CG_Z1,Greece,113.92383
2002,DP_DOD_DLD2_CR_CG_Z1,Greece,112.87049
2003,DP_DOD_DLD2_CR_CG_Z1,Greece,110.20771
2004,DP_DOD_DLD2_CR_CG_Z1,Greece,112.69447
2005,DP_DOD_DLD2_CR_CG_Z1,Greece,117.68033
2006,DP_DOD_DLD2_CR_CG_Z1,Greece,113.69466
2007,DP_DOD_DLD2_CR_CG_Z1,Greece,112.88788
2008,DP_DOD_DLD2_CR_CG_Z1,Greece,119.28572
2009,DP_DOD_DLD2_CR_CG_Z1,Greece,136.92555
2010,DP_DOD_DLD2_CR_CG_Z1,Greece,158.65592
2011,DP_DOD_DLD2_CR_CG_Z1,Greece,186.85326
2012,DP_DOD_DLD2_CR_CG_Z1,Greece,166.38762
2013,DP_DOD_DLD2_CR_CG_Z1,Greece,182.96862
2014,DP_DOD_DLD2_CR_CG_Z1,Greece,186.69853
2015,DP_DOD_DLD2_CR_CG_Z1,Greece,183.93425
2016,DP_DOD_DLD2_CR_CG_Z1,Greece,187.94995
2017,DP_DOD_DLD2_CR_CG_Z1,Greece,186.11798
2018,DP_DOD_DLD2_CR_CG_Z1,Greece,196.13471
2019,DP_DOD_DLD2_CR_CG_Z1,Greece,190.18523
2020,DP_DOD_DLD2_CR_CG_Z1,Greece,218.34299
2021,DP_DOD_DLD2_CR_CG_Z1,Greece,207.77313
2000,DP_DOD_DLD2_CR_CG_Z1,Hungary,55.28104
2001,DP_DOD_DLD2_CR_CG_Z1,Hungary,51.62459
2002,DP_DOD_DLD2_CR_CG_Z1,Hungary,54.24631
2003,DP_DOD_DLD2_CR_CG_Z1,Hungary,56.53376
2004,DP_DOD_DLD2_CR_CG_Z1,Hungary,57.19168
2005,DP_DOD_DLD2_CR_CG_Z1,Hungary,58.66506
2006,DP_DOD_DLD2_CR_CG_Z1,Hungary,62.17738
2007,DP_DOD_DLD2_CR_CG_Z1,Hungary,62.64173
2008,DP_DOD_DLD2_CR_CG_Z1,Hungary,68.14783
2009,DP_DOD_DLD2_CR_CG_Z1,Hungary,73.69938
2010,DP_DOD_DLD2_CR_CG_Z1,Hungary,75.04717
