Year,SeriesCode,GeoAreaName,Value
2000,FI_RES_TOTL_MO,Albania,5.70437
2001,FI_RES_TOTL_MO,Albania,5.7481
2002,FI_RES_TOTL_MO,Albania,5.62621
2003,FI_RES_TOTL_MO,Albania,5.44014
2004,FI_RES_TOTL_MO,Albania,5.70166
2005,FI_RES_TOTL_MO,Albania,4.86217
2006,FI_RES_TOTL_MO,Albania,5.25169
2007,FI_RES_TOTL_MO,Albania,4.77842
2008,FI_RES_TOTL_MO,Albania,3.96904
2009,FI_RES_TOTL_MO,Albania,4.30819
2010,FI_RES_TOTL_MO,Albania,4.85546
2011,FI_RES_TOTL_MO,Albania,4.23201
2000,FI_RES_TOTL_MO,Bosnia and Herzegovina,1.40762
2001,FI_RES_TOTL_MO,Bosnia and Herzegovina,3.32224
2002,FI_RES_TOTL_MO,Bosnia and Herzegovina,3.3049
2003,FI_RES_TOTL_MO,Bosnia and Herzegovina,3.54372
2004,FI_RES_TOTL_MO,Bosnia and Herzegovina,4.01274
2005,FI_RES_TOTL_MO,Bosnia and Herzegovina,3.77303
2006,FI_RES_TOTL_MO,Bosnia and Herzegovina,5.191
2007,FI_RES_TOTL_MO,Bosnia and Herzegovina,6.32012
2008,FI_RES_TOTL_MO,Bosnia and Herzegovina,4.50524
2009,FI_RES_TOTL_MO,Bosnia and Herzegovina,6.20839
2010,FI_RES_TOTL_MO,Bosnia and Herzegovina,5.80977
2011,FI_RES_TOTL_MO,Bosnia and Herzegovina,4.66279
2012,FI_RES_TOTL_MO,Bosnia and Herzegovina,5.24679
2013,FI_RES_TOTL_MO,Bosnia and Herzegovina,5.86502
2014,FI_RES_TOTL_MO,Bosnia and Herzegovina,5.29764
2015,FI_RES_TOTL_MO,Bosnia and Herzegovina,6.2913
2016,FI_RES_TOTL_MO,Bosnia and Herzegovina,6.51276
2017,FI_RES_TOTL_MO,Bosnia and Herzegovina,7.00829
2018,FI_RES_TOTL_MO,Bosnia and Herzegovina,6.64613
2019,FI_RES_TOTL_MO,Bosnia and Herzegovina,7.283
2020,FI_RES_TOTL_MO,Bosnia and Herzegovina,10.09293
2021,FI_RES_TOTL_MO,Bosnia and Herzegovina,8.30966
2000,FI_RES_TOTL_MO,Bulgaria,5.06209
2001,FI_RES_TOTL_MO,Bulgaria,4.72685
2000,FI_RES_TOTL_MO,Republic of Korea,5.8122
2001,FI_RES_TOTL_MO,Republic of Korea,6.81868
2002,FI_RES_TOTL_MO,Republic of Korea,7.55039
2003,FI_RES_TOTL_MO,Republic of Korea,8.33289
2004,FI_RES_TOTL_MO,Republic of Korea,8.54332
2005,FI_RES_TOTL_MO,Republic of Korea,7.61491
2006,FI_RES_TOTL_MO,Republic of Korea,7.27711
2007,FI_RES_TOTL_MO,Republic of Korea,6.85652
2008,FI_RES_TOTL_MO,Republic of Korea,4.46436
2009,FI_RES_TOTL_MO,Republic of Korea,7.80292
2010,FI_RES_TOTL_MO,Republic of Korea,6.54672
2011,FI_RES_TOTL_MO,Republic of Korea,5.39203
2002,FI_RES_TOTL_MO,Bulgaria,6.23124
2003,FI_RES_TOTL_MO,Bulgaria,6.2814
2004,FI_RES_TOTL_MO,Bulgaria,6.19918
2005,FI_RES_TOTL_MO,Bulgaria,4.73649
2006,FI_RES_TOTL_MO,Bulgaria,4.91885
2007,FI_RES_TOTL_MO,Bulgaria,5.27542
2008,FI_RES_TOTL_MO,Bulgaria,4.77128
2009,FI_RES_TOTL_MO,Bulgaria,7.41732
2010,FI_RES_TOTL_MO,Bulgaria,7.1004
2011,FI_RES_TOTL_MO,Bulgaria,5.58944
2012,FI_RES_TOTL_MO,Bulgaria,6.68144
2013,FI_RES_TOTL_MO,Bulgaria,6.02231
2012,FI_RES_TOTL_MO,Republic of Korea,5.76906
2013,FI_RES_TOTL_MO,Republic of Korea,6.19846
2014,FI_RES_TOTL_MO,Republic of Korea,6.5423
2015,FI_RES_TOTL_MO,Republic of Korea,7.92055
2016,FI_RES_TOTL_MO,Republic of Korea,8.38849
2017,FI_RES_TOTL_MO,Republic of Korea,7.55832
2018,FI_RES_TOTL_MO,Republic of Korea,7.12215
2019,FI_RES_TOTL_MO,Republic of Korea,7.71289
2020,FI_RES_TOTL_MO,Republic of Korea,9.40156
2021,FI_RES_TOTL_MO,Republic of Korea,7.64662
2000,FI_RES_TOTL_MO,Kyrgyzstan,4.17088
2001,FI_RES_TOTL_MO,Kyrgyzstan,5.32713
2014,FI_RES_TOTL_MO,Bulgaria,6.10212
2015,FI_RES_TOTL_MO,Bulgaria,7.50738
2016,FI_RES_TOTL_MO,Bulgaria,8.42193
2017,FI_RES_TOTL_MO,Bulgaria,8.22735
2018,FI_RES_TOTL_MO,Bulgaria,7.42036
2019,FI_RES_TOTL_MO,Bulgaria,7.2423
2020,FI_RES_TOTL_MO,Bulgaria,10.65104
2021,FI_RES_TOTL_MO,Bulgaria,8.46219
2000,FI_RES_TOTL_MO,Belarus,0.54713
2001,FI_RES_TOTL_MO,Belarus,0.54878
2002,FI_RES_TOTL_MO,Belarus,0.89908
2003,FI_RES_TOTL_MO,Belarus,0.65364
2012,FI_RES_TOTL_MO,Albania,5.04393
2013,FI_RES_TOTL_MO,Albania,5.40303
2014,FI_RES_TOTL_MO,Albania,4.8732
2015,FI_RES_TOTL_MO,Albania,7.03758
2016,FI_RES_TOTL_MO,Albania,6.5435
2017,FI_RES_TOTL_MO,Albania,6.5749
2018,FI_RES_TOTL_MO,Albania,6.37056
2019,FI_RES_TOTL_MO,Albania,5.94459
2020,FI_RES_TOTL_MO,Albania,9.16482
2021,FI_RES_TOTL_MO,Albania,7.75053
2000,FI_RES_TOTL_MO,Azerbaijan,3.37709
2001,FI_RES_TOTL_MO,Azerbaijan,3.42701
2002,FI_RES_TOTL_MO,Azerbaijan,2.4485
2003,FI_RES_TOTL_MO,Azerbaijan,1.83649
2004,FI_RES_TOTL_MO,Azerbaijan,1.85192
2005,FI_RES_TOTL_MO,Azerbaijan,1.63238
2006,FI_RES_TOTL_MO,Azerbaijan,2.76461
2007,FI_RES_TOTL_MO,Azerbaijan,3.4956
2008,FI_RES_TOTL_MO,Azerbaijan,4.54323
2009,FI_RES_TOTL_MO,Azerbaijan,4.64486
2010,FI_RES_TOTL_MO,Azerbaijan,5.34868
2011,FI_RES_TOTL_MO,Azerbaijan,5.71145
2012,FI_RES_TOTL_MO,Azerbaijan,5.93246
2013,FI_RES_TOTL_MO,Azerbaijan,7.38781
2004,FI_RES_TOTL_MO,Belarus,0.60398
2005,FI_RES_TOTL_MO,Belarus,0.92482
2006,FI_RES_TOTL_MO,Belarus,0.71075
2007,FI_RES_TOTL_MO,Belarus,1.65317
2008,FI_RES_TOTL_MO,Belarus,0.87504
2009,FI_RES_TOTL_MO,Belarus,2.16762
2010,FI_RES_TOTL_MO,Belarus,1.57038
2011,FI_RES_TOTL_MO,Belarus,1.89429
2012,FI_RES_TOTL_MO,Belarus,1.88834
2013,FI_RES_TOTL_MO,Belarus,1.59924
