Year,SeriesCode,GeoAreaName,Value
2018,DC_ODA_TOTLGE,Australia,3476.71916
2019,DC_ODA_TOTLGE,Australia,3319.70038
2020,DC_ODA_TOTLGE,Australia,3300.78382
2021,DC_ODA_TOTLGE,Australia,3546.44
2022,DC_ODA_TOTLGE,Australia,3081.38434
2018,DC_ODA_TOTLGE,Austria,1242.75728
2019,DC_ODA_TOTLGE,Austria,1358.27264
2020,DC_ODA_TOTLGE,Austria,1347.05898
2021,DC_ODA_TOTLGE,Austria,1466.78
2022,DC_ODA_TOTLGE,Austria,1997.56831
2018,DC_ODA_TOTLGE,Belgium,2462.65778
2019,DC_ODA_TOTLGE,Belgium,2400.16666
2020,DC_ODA_TOTLGE,Belgium,2503.14442
2021,DC_ODA_TOTLGE,Belgium,2615.51
2022,DC_ODA_TOTLGE,Belgium,2798.65908
2018,DC_ODA_TOTLGE,Canada,5345.15006
2019,DC_ODA_TOTLGE,Canada,5446.49128
2020,DC_ODA_TOTLGE,Canada,5841.2643
2021,DC_ODA_TOTLGE,Canada,6302.74
2022,DC_ODA_TOTLGE,Canada,7512.91823
2018,DC_ODA_TOTLGE,Czechia,342.71287
2019,DC_ODA_TOTLGE,Czechia,352.49894
2020,DC_ODA_TOTLGE,Czechia,330.91708
2021,DC_ODA_TOTLGE,Czechia,366.11
2022,DC_ODA_TOTLGE,Czechia,977.90906
2018,DC_ODA_TOTLGE,Denmark,2770.76972
2019,DC_ODA_TOTLGE,Denmark,2855.49497
2020,DC_ODA_TOTLGE,Denmark,2835.0545
2021,DC_ODA_TOTLGE,Denmark,2921.0
2022,DC_ODA_TOTLGE,Denmark,2966.83017
2018,DC_ODA_TOTLGE,Finland,1041.43238
2019,DC_ODA_TOTLGE,Finland,1243.12637
2020,DC_ODA_TOTLGE,Finland,1360.1792
2021,DC_ODA_TOTLGE,Finland,1441.22
2022,DC_ODA_TOTLGE,Finland,1711.25722
2018,DC_ODA_TOTLGE,France,12828.04537
2019,DC_ODA_TOTLGE,France,13435.47633
2020,DC_ODA_TOTLGE,France,14852.75252
2021,DC_ODA_TOTLGE,France,15505.62
2022,DC_ODA_TOTLGE,France,17444.17389
2018,DC_ODA_TOTLGE,Germany,26815.6486
2019,DC_ODA_TOTLGE,Germany,26819.4822
2020,DC_ODA_TOTLGE,Germany,30701.32272
2021,DC_ODA_TOTLGE,Germany,33272.39
2022,DC_ODA_TOTLGE,Germany,37264.23428
2018,DC_ODA_TOTLGE,Greece,295.31551
2019,DC_ODA_TOTLGE,Greece,393.2357
2020,DC_ODA_TOTLGE,Greece,344.9789
2021,DC_ODA_TOTLGE,Greece,340.85
2022,DC_ODA_TOTLGE,Greece,318.21991
2018,DC_ODA_TOTLGE,Hungary,300.99209
2019,DC_ODA_TOTLGE,Hungary,338.35735
