Year,SeriesCode,GeoAreaName,Value
2019,DC_OSSD_OFFCL,Serbia,144.05987
2020,DC_OSSD_OFFCL,Serbia,57.12602
2021,DC_OSSD_OFFCL,Serbia,57.82281
2019,DC_OSSD_OFFCL,Viet Nam,1717.04494
2020,DC_OSSD_OFFCL,Viet Nam,1785.64117
2021,DC_OSSD_OFFCL,Viet Nam,1396.33787
2019,DC_OSSD_OFFCL,Tajikistan,52.50304
2020,DC_OSSD_OFFCL,Tajikistan,308.57186
2021,DC_OSSD_OFFCL,Tajikistan,65.81356
2019,DC_OSSD_OFFCL,Türkiye,413.57518
2020,DC_OSSD_OFFCL,Türkiye,193.83532
2021,DC_OSSD_OFFCL,Türkiye,138.36446
2019,DC_OSSD_OFFCL,Turkmenistan,0.33438
2020,DC_OSSD_OFFCL,Turkmenistan,10.0
2021,DC_OSSD_OFFCL,Turkmenistan,0.0
2019,DC_OSSD_OFFCL,Ukraine,26.76201
2020,DC_OSSD_OFFCL,Ukraine,1304.62163
2021,DC_OSSD_OFFCL,Ukraine,786.73697
2019,DC_OSSD_OFFCL,North Macedonia,8.56307
2020,DC_OSSD_OFFCL,North Macedonia,102.13477
2021,DC_OSSD_OFFCL,North Macedonia,102.40079
2019,DC_OSSD_OFFCL,Albania,36.86241
2020,DC_OSSD_OFFCL,Albania,36.87267
2021,DC_OSSD_OFFCL,Albania,379.60358
2019,DC_OSSD_OFFCL,Azerbaijan,137.35827
2020,DC_OSSD_OFFCL,Azerbaijan,46.05311
2021,DC_OSSD_OFFCL,Azerbaijan,5.96411
2019,DC_OSSD_OFFCL,Armenia,461.2198
2020,DC_OSSD_OFFCL,Armenia,48.68506
2021,DC_OSSD_OFFCL,Armenia,97.37292
2019,DC_OSSD_OFFCL,Bosnia and Herzegovina,202.80984
2020,DC_OSSD_OFFCL,Bosnia and Herzegovina,139.12384
2021,DC_OSSD_OFFCL,Bosnia and Herzegovina,251.65557
2019,DC_OSSD_OFFCL,Belarus,0.0
2020,DC_OSSD_OFFCL,Belarus,500.0
2021,DC_OSSD_OFFCL,Belarus,20.0
2021,DC_OSSD_OFFCL,Chile,721.5099
2019,DC_OSSD_OFFCL,China,511.9054
2020,DC_OSSD_OFFCL,China,367.10411
2021,DC_OSSD_OFFCL,China,363.16437
2019,DC_OSSD_OFFCL,Colombia,11.88325
2020,DC_OSSD_OFFCL,Colombia,607.95735
2021,DC_OSSD_OFFCL,Colombia,1724.95896
2019,DC_OSSD_OFFCL,Costa Rica,31.39926
2020,DC_OSSD_OFFCL,Costa Rica,17.00142
2021,DC_OSSD_OFFCL,Costa Rica,370.58063
2019,DC_OSSD_OFFCL,Georgia,292.55727
2020,DC_OSSD_OFFCL,Georgia,666.30215
2021,DC_OSSD_OFFCL,Georgia,440.24672
2019,DC_OSSD_OFFCL,India,4418.68223
2020,DC_OSSD_OFFCL,India,3402.98081
2021,DC_OSSD_OFFCL,India,4538.7139
2019,DC_OSSD_OFFCL,Kazakhstan,0.0
2020,DC_OSSD_OFFCL,Kazakhstan,0.0
2021,DC_OSSD_OFFCL,Kazakhstan,11.85
2019,DC_OSSD_OFFCL,Kyrgyzstan,64.61795
2020,DC_OSSD_OFFCL,Kyrgyzstan,188.443
2021,DC_OSSD_OFFCL,Kyrgyzstan,163.29993
2019,DC_OSSD_OFFCL,Mexico,357.06211
2020,DC_OSSD_OFFCL,Mexico,27.61545
2021,DC_OSSD_OFFCL,Mexico,844.41126
2019,DC_OSSD_OFFCL,Republic of Moldova,23.2808
2020,DC_OSSD_OFFCL,Republic of Moldova,233.66367
2019,DC_OSSD_OFFCL,Uzbekistan,985.07687
2020,DC_OSSD_OFFCL,Uzbekistan,1246.8538
2021,DC_OSSD_OFFCL,Uzbekistan,771.65396
2021,DC_OSSD_OFFCL,Republic of Moldova,172.47317
2019,DC_OSSD_OFFCL,Montenegro,11.10046
2020,DC_OSSD_OFFCL,Montenegro,54.7462
2021,DC_OSSD_OFFCL,Montenegro,52.6963
2021,DC_OSSD_OFFCL,Montenegro,52.6963
