Year,SeriesCode,GeoAreaName,Type of occupation,Value
2000,SH_MED_DEN,Belarus,PHAR,3.12
2000,SH_MED_DEN,Belarus,DENT,4.37
2000,SH_MED_DEN,Belarus,NURSMID,93.02
2001,SH_MED_DEN,Belarus,NURSMID,94.04
2001,SH_MED_DEN,Belarus,DENT,4.31
2001,SH_MED_DEN,Belarus,PHAR,2.94
2002,SH_MED_DEN,Belarus,PHAR,2.83
2002,SH_MED_DEN,Belarus,NURSMID,95.15
2002,SH_MED_DEN,Belarus,DENT,4.32
2003,SH_MED_DEN,Belarus,PHAR,2.88
2003,SH_MED_DEN,Belarus,NURSMID,94.09
2003,SH_MED_DEN,Belarus,DENT,4.29
2004,SH_MED_DEN,Belarus,NURSMID,95.49
2004,SH_MED_DEN,Belarus,PHAR,2.9
2004,SH_MED_DEN,Belarus,DENT,4.46
2005,SH_MED_DEN,Belarus,DENT,4.59
2005,SH_MED_DEN,Belarus,PHAR,2.92
2005,SH_MED_DEN,Belarus,NURSMID,96.65
2000,SH_MED_DEN,Albania,NURSMID,39.5
2000,SH_MED_DEN,Albania,PHYS,13.59
2000,SH_MED_DEN,Albania,PHAR,3.38
2000,SH_MED_DEN,Albania,DENT,4.58
2001,SH_MED_DEN,Albania,PHYS,13.0
2001,SH_MED_DEN,Albania,NURSMID,38.03
2001,SH_MED_DEN,Albania,DENT,4.84
2001,SH_MED_DEN,Albania,PHAR,3.44
2002,SH_MED_DEN,Albania,PHAR,3.5
2006,SH_MED_DEN,Belarus,DENT,4.71
2006,SH_MED_DEN,Belarus,NURSMID,97.22
2006,SH_MED_DEN,Belarus,PHAR,2.97
2007,SH_MED_DEN,Belarus,DENT,4.87
2007,SH_MED_DEN,Belarus,PHAR,3.05
2007,SH_MED_DEN,Belarus,NURSMID,97.46
2008,SH_MED_DEN,Belarus,NURSMID,100.14
2008,SH_MED_DEN,Belarus,PHAR,3.06
2008,SH_MED_DEN,Belarus,DENT,5.23
2002,SH_MED_DEN,Albania,PHYS,11.7
2002,SH_MED_DEN,Albania,DENT,4.3
2002,SH_MED_DEN,Albania,NURSMID,36.72
2003,SH_MED_DEN,Albania,NURSMID,36.33
2003,SH_MED_DEN,Albania,DENT,4.37
2003,SH_MED_DEN,Albania,PHAR,3.56
2003,SH_MED_DEN,Albania,PHYS,11.96
