Year,SeriesCode,GeoAreaName,Education level,Sex,Type of skill,Value
2009,SE_TOT_PRFL,Denmark,LOWSEC,BOTHSEX,SKILL_MATH,82.9464
2009,SE_TOT_PRFL,Denmark,LOWSEC,MALE,SKILL_READ,80.96
2009,SE_TOT_PRFL,Denmark,LOWSEC,FEMALE,SKILL_READ,88.53
2011,SE_TOT_PRFL,Denmark,GRAD23,MALE,SKILL_READ,98.34226
2011,SE_TOT_PRFL,Denmark,GRAD23,BOTHSEX,SKILL_MATH,81.85847
2011,SE_TOT_PRFL,Denmark,GRAD23,MALE,SKILL_MATH,82.5916
2011,SE_TOT_PRFL,Denmark,GRAD23,FEMALE,SKILL_MATH,81.159
2011,SE_TOT_PRFL,Denmark,GRAD23,BOTHSEX,SKILL_READ,98.57322
2011,SE_TOT_PRFL,Denmark,GRAD23,FEMALE,SKILL_READ,98.80473
2012,SE_TOT_PRFL,Denmark,LOWSEC,MALE,SKILL_MATH,84.89
2012,SE_TOT_PRFL,Denmark,LOWSEC,BOTHSEX,SKILL_READ,85.35578
2012,SE_TOT_PRFL,Denmark,LOWSEC,FEMALE,SKILL_MATH,81.42
2012,SE_TOT_PRFL,Denmark,LOWSEC,FEMALE,SKILL_READ,89.93
2012,SE_TOT_PRFL,Denmark,LOWSEC,MALE,SKILL_READ,80.83
2012,SE_TOT_PRFL,Denmark,LOWSEC,BOTHSEX,SKILL_MATH,83.15936
2015,SE_TOT_PRFL,Denmark,LOWSEC,BOTHSEX,SKILL_MATH,86.42804
2015,SE_TOT_PRFL,Denmark,LOWSEC,MALE,SKILL_READ,82.07345
2015,SE_TOT_PRFL,Denmark,LOWSEC,FEMALE,SKILL_READ,87.96385
2015,SE_TOT_PRFL,Denmark,LOWSEC,FEMALE,SKILL_MATH,85.75095
2015,SE_TOT_PRFL,Denmark,GRAD23,FEMALE,SKILL_MATH,79.15421
2015,SE_TOT_PRFL,Denmark,LOWSEC,BOTHSEX,SKILL_READ,85.00439
2000,SE_TOT_PRFL,Albania,LOWSEC,FEMALE,SKILL_READ,39.56
2000,SE_TOT_PRFL,Albania,LOWSEC,MALE,SKILL_READ,19.4
2000,SE_TOT_PRFL,Albania,LOWSEC,FEMALE,SKILL_MATH,40.27
2000,SE_TOT_PRFL,Albania,LOWSEC,MALE,SKILL_MATH,32.79
2000,SE_TOT_PRFL,Albania,LOWSEC,BOTHSEX,SKILL_READ,29.7
2000,SE_TOT_PRFL,Albania,LOWSEC,BOTHSEX,SKILL_MATH,36.61129
2009,SE_TOT_PRFL,Albania,LOWSEC,MALE,SKILL_READ,30.95
2015,SE_TOT_PRFL,Denmark,LOWSEC,MALE,SKILL_MATH,87.0988
2015,SE_TOT_PRFL,Denmark,GRAD23,MALE,SKILL_MATH,81.44908
2015,SE_TOT_PRFL,Denmark,GRAD23,BOTHSEX,SKILL_MATH,80.31657
2016,SE_TOT_PRFL,Denmark,GRAD23,MALE,SKILL_READ,97.20507
2016,SE_TOT_PRFL,Denmark,GRAD23,FEMALE,SKILL_READ,97.58585
2016,SE_TOT_PRFL,Denmark,GRAD23,BOTHSEX,SKILL_READ,97.37894
2018,SE_TOT_PRFL,Denmark,LOWSEC,BOTHSEX,SKILL_READ,84.00047
2009,SE_TOT_PRFL,Albania,LOWSEC,FEMALE,SKILL_READ,56.36
2009,SE_TOT_PRFL,Albania,LOWSEC,BOTHSEX,SKILL_READ,43.33176
2009,SE_TOT_PRFL,Albania,LOWSEC,MALE,SKILL_MATH,30.93
2009,SE_TOT_PRFL,Albania,LOWSEC,FEMALE,SKILL_MATH,33.67
2009,SE_TOT_PRFL,Albania,LOWSEC,BOTHSEX,SKILL_MATH,32.26541
2012,SE_TOT_PRFL,Albania,LOWSEC,BOTHSEX,SKILL_MATH,39.33503
2012,SE_TOT_PRFL,Albania,LOWSEC,FEMALE,SKILL_MATH,39.7
2018,SE_TOT_PRFL,Denmark,LOWSEC,MALE,SKILL_MATH,85.12017
2018,SE_TOT_PRFL,Denmark,LOWSEC,FEMALE,SKILL_MATH,85.73801
2018,SE_TOT_PRFL,Denmark,LOWSEC,FEMALE,SKILL_READ,88.91687
2018,SE_TOT_PRFL,Denmark,LOWSEC,MALE,SKILL_READ,79.09293
2018,SE_TOT_PRFL,Denmark,LOWSEC,BOTHSEX,SKILL_MATH,85.42881
