Year,SeriesCode,GeoAreaName,Age,Sex,Value
2004,SE_ADT_EDUCTRN,Austria,25-54,BOTHSEX,14.9
2004,SE_ADT_EDUCTRN,Austria,15-24,MALE,61.5
2004,SE_ADT_EDUCTRN,Austria,25-54,FEMALE,15.5
2004,SE_ADT_EDUCTRN,Austria,55-64,FEMALE,7.4
2004,SE_ADT_EDUCTRN,Austria,15-24,FEMALE,61.1
2004,SE_ADT_EDUCTRN,Austria,25-54,MALE,14.2
2004,SE_ADT_EDUCTRN,Austria,55-64,BOTHSEX,6.1
2005,SE_ADT_EDUCTRN,Bulgaria,15-64,FEMALE,12.0
2005,SE_ADT_EDUCTRN,Bulgaria,15-64,BOTHSEX,12.1
2005,SE_ADT_EDUCTRN,Bulgaria,15-64,MALE,12.2
2005,SE_ADT_EDUCTRN,Bulgaria,15-24,FEMALE,57.1
2006,SE_ADT_EDUCTRN,Bulgaria,15-24,BOTHSEX,57.9
2006,SE_ADT_EDUCTRN,Bulgaria,55-64,MALE,0.1
2006,SE_ADT_EDUCTRN,Bulgaria,15-64,BOTHSEX,12.7
2004,SE_ADT_EDUCTRN,Austria,15-64,BOTHSEX,21.4
2004,SE_ADT_EDUCTRN,Austria,15-64,MALE,20.8
2004,SE_ADT_EDUCTRN,Austria,15-64,FEMALE,22.1
2004,SE_ADT_EDUCTRN,Austria,15-24,BOTHSEX,61.3
2004,SE_ADT_EDUCTRN,Austria,55-64,MALE,4.7
2005,SE_ADT_EDUCTRN,Austria,55-64,BOTHSEX,5.8
2005,SE_ADT_EDUCTRN,Austria,15-64,MALE,21.2
2006,SE_ADT_EDUCTRN,Bulgaria,15-64,FEMALE,12.5
2006,SE_ADT_EDUCTRN,Bulgaria,25-54,FEMALE,2.0
2006,SE_ADT_EDUCTRN,Bulgaria,15-24,MALE,57.5
2006,SE_ADT_EDUCTRN,Bulgaria,25-54,BOTHSEX,2.0
2006,SE_ADT_EDUCTRN,Bulgaria,25-54,MALE,2.0
2006,SE_ADT_EDUCTRN,Bulgaria,15-24,FEMALE,58.4
2006,SE_ADT_EDUCTRN,Bulgaria,55-64,BOTHSEX,0.1
2005,SE_ADT_EDUCTRN,Austria,15-64,BOTHSEX,21.9
2005,SE_ADT_EDUCTRN,Austria,55-64,FEMALE,6.5
2005,SE_ADT_EDUCTRN,Austria,25-54,FEMALE,15.5
2005,SE_ADT_EDUCTRN,Austria,25-54,MALE,14.2
2005,SE_ADT_EDUCTRN,Austria,15-24,FEMALE,63.8
2005,SE_ADT_EDUCTRN,Austria,55-64,MALE,5.0
2005,SE_ADT_EDUCTRN,Austria,15-24,BOTHSEX,63.1
