Year,SeriesCode,GeoAreaName,Age,Type of skill,Value
2012,SE_IMP_FPOF,Australia,16-65,NUME,0.90779
2012,SE_IMP_FPOF,Australia,16-65,LITE,0.91051
2012,SE_IMP_FPOF,Austria,16-65,NUME,0.76559
2012,SE_IMP_FPOF,Austria,16-65,LITE,0.7676
2012,SE_IMP_FPOF,Belgium,16-65,NUME,0.76798
2012,SE_IMP_FPOF,Belgium,16-65,LITE,0.71704
2012,SE_IMP_FPOF,Canada,16-65,LITE,0.83656
2012,SE_IMP_FPOF,Canada,16-65,NUME,0.82447
2015,SE_IMP_FPOF,Chile,16-65,LITE,1.07227
2015,SE_IMP_FPOF,Chile,16-65,NUME,1.17131
2012,SE_IMP_FPOF,Cyprus,16-65,LITE,0.9027
2012,SE_IMP_FPOF,Cyprus,16-65,NUME,0.96282
2012,SE_IMP_FPOF,Czechia,16-65,LITE,0.93911
2012,SE_IMP_FPOF,Czechia,16-65,NUME,0.89655
2012,SE_IMP_FPOF,Denmark,16-65,NUME,0.73527
2012,SE_IMP_FPOF,Denmark,16-65,LITE,0.70278
2012,SE_IMP_FPOF,Estonia,16-65,LITE,0.8655
2012,SE_IMP_FPOF,Estonia,16-65,NUME,0.9087
2012,SE_IMP_FPOF,Finland,16-65,NUME,0.67272
2012,SE_IMP_FPOF,Finland,16-65,LITE,0.68468
2012,SE_IMP_FPOF,France,16-65,LITE,0.68977
2012,SE_IMP_FPOF,France,16-65,NUME,0.62016
2012,SE_IMP_FPOF,Germany,16-65,NUME,0.70824
2012,SE_IMP_FPOF,Germany,16-65,LITE,0.71627
2015,SE_IMP_FPOF,Greece,16-65,NUME,0.97385
2015,SE_IMP_FPOF,Greece,16-65,LITE,0.93667
2017,SE_IMP_FPOF,Hungary,16-65,LITE,1.06388
2017,SE_IMP_FPOF,Hungary,16-65,NUME,1.04718
2012,SE_IMP_FPOF,Ireland,16-65,LITE,0.97201
2012,SE_IMP_FPOF,Ireland,16-65,NUME,1.03248
2015,SE_IMP_FPOF,Israel,16-65,LITE,0.86465
2015,SE_IMP_FPOF,Israel,16-65,NUME,0.90924
2012,SE_IMP_FPOF,Italy,16-65,LITE,0.77817
2012,SE_IMP_FPOF,Italy,16-65,NUME,0.84878
2017,SE_IMP_FPOF,Kazakhstan,16-65,LITE,0.95375
2017,SE_IMP_FPOF,Kazakhstan,16-65,NUME,1.05601
2012,SE_IMP_FPOF,Republic of Korea,16-65,NUME,0.71318
2012,SE_IMP_FPOF,Republic of Korea,16-65,LITE,0.71037
2015,SE_IMP_FPOF,Lithuania,16-65,NUME,0.93376
2015,SE_IMP_FPOF,Lithuania,16-65,LITE,0.90811
2012,SE_IMP_FPOF,Netherlands (Kingdom of the),16-65,LITE,0.69596
2012,SE_IMP_FPOF,Netherlands (Kingdom of the),16-65,NUME,0.68325
2014,SE_IMP_FPOF,New Zealand,16-65,NUME,0.9604
2014,SE_IMP_FPOF,New Zealand,16-65,LITE,0.93468
2012,SE_IMP_FPOF,Norway,16-65,LITE,0.71197
2012,SE_IMP_FPOF,Norway,16-65,NUME,0.67671
2012,SE_IMP_FPOF,Slovakia,16-65,LITE,0.97845
2012,SE_IMP_FPOF,Slovakia,16-65,NUME,0.93639
2015,SE_IMP_FPOF,Slovenia,16-65,NUME,0.67954
2015,SE_IMP_FPOF,Slovenia,16-65,LITE,0.7442
2012,SE_IMP_FPOF,Spain,16-65,NUME,0.77117
2012,SE_IMP_FPOF,Spain,16-65,LITE,0.77081
2012,SE_IMP_FPOF,Sweden,16-65,NUME,0.63196
2012,SE_IMP_FPOF,Sweden,16-65,LITE,0.62251
2012,SE_IMP_FPOF,United Kingdom of Great Britain and Northern Ireland,16-65,LITE,0.81831
2012,SE_IMP_FPOF,United Kingdom of Great Britain and Northern Ireland,16-65,NUME,0.76374
2012,SE_IMP_FPOF,United Kingdom of Great Britain and Northern Ireland,16-65,NUME,0.76374
