Year,SeriesCode,GeoAreaName,Education level,Value
2000,SE_ACC_HNDWSH,Netherlands (Kingdom of the),UPPSEC,100.0
2000,SE_ACC_HNDWSH,Netherlands (Kingdom of the),PRIMAR,100.0
2000,SE_ACC_HNDWSH,Netherlands (Kingdom of the),LOWSEC,100.0
2001,SE_ACC_HNDWSH,Netherlands (Kingdom of the),LOWSEC,100.0
2001,SE_ACC_HNDWSH,Netherlands (Kingdom of the),PRIMAR,100.0
2001,SE_ACC_HNDWSH,Netherlands (Kingdom of the),UPPSEC,100.0
2002,SE_ACC_HNDWSH,Netherlands (Kingdom of the),UPPSEC,100.0
2002,SE_ACC_HNDWSH,Netherlands (Kingdom of the),PRIMAR,100.0
2002,SE_ACC_HNDWSH,Netherlands (Kingdom of the),LOWSEC,100.0
2003,SE_ACC_HNDWSH,Netherlands (Kingdom of the),PRIMAR,100.0
2017,SE_ACC_HNDWSH,Albania,UPPSEC,79.96032
2018,SE_ACC_HNDWSH,Albania,UPPSEC,85.45455
2018,SE_ACC_HNDWSH,Albania,LOWSEC,89.73978
2018,SE_ACC_HNDWSH,Albania,PRIMAR,71.02757
2019,SE_ACC_HNDWSH,Albania,PRIMAR,63.32876
2019,SE_ACC_HNDWSH,Albania,LOWSEC,95.11426
2019,SE_ACC_HNDWSH,Albania,UPPSEC,85.11066
2020,SE_ACC_HNDWSH,Albania,UPPSEC,100.0
2020,SE_ACC_HNDWSH,Albania,LOWSEC,100.0
2020,SE_ACC_HNDWSH,Albania,PRIMAR,71.94549
2021,SE_ACC_HNDWSH,Albania,PRIMAR,100.0
2003,SE_ACC_HNDWSH,Netherlands (Kingdom of the),LOWSEC,100.0
2003,SE_ACC_HNDWSH,Netherlands (Kingdom of the),UPPSEC,100.0
2004,SE_ACC_HNDWSH,Netherlands (Kingdom of the),UPPSEC,100.0
2004,SE_ACC_HNDWSH,Netherlands (Kingdom of the),LOWSEC,100.0
2004,SE_ACC_HNDWSH,Netherlands (Kingdom of the),PRIMAR,100.0
2005,SE_ACC_HNDWSH,Netherlands (Kingdom of the),PRIMAR,100.0
2005,SE_ACC_HNDWSH,Netherlands (Kingdom of the),UPPSEC,100.0
2005,SE_ACC_HNDWSH,Netherlands (Kingdom of the),LOWSEC,100.0
2006,SE_ACC_HNDWSH,Netherlands (Kingdom of the),LOWSEC,100.0
2006,SE_ACC_HNDWSH,Netherlands (Kingdom of the),UPPSEC,100.0
2006,SE_ACC_HNDWSH,Netherlands (Kingdom of the),PRIMAR,100.0
2007,SE_ACC_HNDWSH,Netherlands (Kingdom of the),PRIMAR,100.0
2007,SE_ACC_HNDWSH,Netherlands (Kingdom of the),UPPSEC,100.0
2007,SE_ACC_HNDWSH,Netherlands (Kingdom of the),LOWSEC,100.0
2008,SE_ACC_HNDWSH,Netherlands (Kingdom of the),PRIMAR,100.0
2008,SE_ACC_HNDWSH,Netherlands (Kingdom of the),LOWSEC,100.0
2008,SE_ACC_HNDWSH,Netherlands (Kingdom of the),UPPSEC,100.0
2009,SE_ACC_HNDWSH,Netherlands (Kingdom of the),PRIMAR,100.0
2009,SE_ACC_HNDWSH,Netherlands (Kingdom of the),UPPSEC,100.0
2009,SE_ACC_HNDWSH,Netherlands (Kingdom of the),LOWSEC,100.0
2010,SE_ACC_HNDWSH,Netherlands (Kingdom of the),LOWSEC,100.0
2010,SE_ACC_HNDWSH,Netherlands (Kingdom of the),UPPSEC,100.0
2010,SE_ACC_HNDWSH,Netherlands (Kingdom of the),PRIMAR,100.0
2011,SE_ACC_HNDWSH,Netherlands (Kingdom of the),PRIMAR,100.0
2011,SE_ACC_HNDWSH,Netherlands (Kingdom of the),UPPSEC,100.0
2011,SE_ACC_HNDWSH,Netherlands (Kingdom of the),LOWSEC,100.0
2012,SE_ACC_HNDWSH,Netherlands (Kingdom of the),LOWSEC,100.0
2012,SE_ACC_HNDWSH,Netherlands (Kingdom of the),UPPSEC,100.0
2012,SE_ACC_HNDWSH,Netherlands (Kingdom of the),PRIMAR,100.0
2013,SE_ACC_HNDWSH,Netherlands (Kingdom of the),UPPSEC,100.0
2013,SE_ACC_HNDWSH,Netherlands (Kingdom of the),LOWSEC,100.0
2013,SE_ACC_HNDWSH,Netherlands (Kingdom of the),PRIMAR,100.0
2014,SE_ACC_HNDWSH,Netherlands (Kingdom of the),LOWSEC,100.0
2014,SE_ACC_HNDWSH,Netherlands (Kingdom of the),UPPSEC,100.0
2014,SE_ACC_HNDWSH,Netherlands (Kingdom of the),PRIMAR,100.0
2015,SE_ACC_HNDWSH,Netherlands (Kingdom of the),PRIMAR,100.0
2015,SE_ACC_HNDWSH,Netherlands (Kingdom of the),UPPSEC,100.0
2015,SE_ACC_HNDWSH,Netherlands (Kingdom of the),LOWSEC,100.0
2016,SE_ACC_HNDWSH,Netherlands (Kingdom of the),LOWSEC,100.0
2016,SE_ACC_HNDWSH,Netherlands (Kingdom of the),UPPSEC,100.0
2021,SE_ACC_HNDWSH,Albania,LOWSEC,100.0
2021,SE_ACC_HNDWSH,Albania,UPPSEC,92.77108
2016,SE_ACC_HNDWSH,Azerbaijan,UPPSEC,100.0
2016,SE_ACC_HNDWSH,Azerbaijan,LOWSEC,100.0
2016,SE_ACC_HNDWSH,Azerbaijan,PRIMAR,100.0
2017,SE_ACC_HNDWSH,Azerbaijan,PRIMAR,100.0
2017,SE_ACC_HNDWSH,Azerbaijan,LOWSEC,100.0
2017,SE_ACC_HNDWSH,Azerbaijan,UPPSEC,100.0
2018,SE_ACC_HNDWSH,Azerbaijan,UPPSEC,100.0
2018,SE_ACC_HNDWSH,Azerbaijan,LOWSEC,100.0
2018,SE_ACC_HNDWSH,Azerbaijan,PRIMAR,100.0
2016,SE_ACC_HNDWSH,Netherlands (Kingdom of the),PRIMAR,100.0
2017,SE_ACC_HNDWSH,Netherlands (Kingdom of the),PRIMAR,100.0
2017,SE_ACC_HNDWSH,Netherlands (Kingdom of the),UPPSEC,100.0
2017,SE_ACC_HNDWSH,Netherlands (Kingdom of the),LOWSEC,100.0
2018,SE_ACC_HNDWSH,Netherlands (Kingdom of the),LOWSEC,100.0
2018,SE_ACC_HNDWSH,Netherlands (Kingdom of the),UPPSEC,100.0
2018,SE_ACC_HNDWSH,Netherlands (Kingdom of the),PRIMAR,100.0
2019,SE_ACC_HNDWSH,Netherlands (Kingdom of the),PRIMAR,100.0
2019,SE_ACC_HNDWSH,Netherlands (Kingdom of the),UPPSEC,100.0
2019,SE_ACC_HNDWSH,Netherlands (Kingdom of the),LOWSEC,100.0
2000,SE_ACC_HNDWSH,Norway,PRIMAR,100.0
2000,SE_ACC_HNDWSH,Norway,LOWSEC,100.0
2001,SE_ACC_HNDWSH,Norway,LOWSEC,100.0
2001,SE_ACC_HNDWSH,Norway,PRIMAR,100.0
2002,SE_ACC_HNDWSH,Norway,PRIMAR,100.0
2002,SE_ACC_HNDWSH,Norway,LOWSEC,100.0
2003,SE_ACC_HNDWSH,Norway,LOWSEC,100.0
2003,SE_ACC_HNDWSH,Norway,PRIMAR,100.0
2004,SE_ACC_HNDWSH,Norway,PRIMAR,100.0
2004,SE_ACC_HNDWSH,Norway,LOWSEC,100.0
2005,SE_ACC_HNDWSH,Norway,LOWSEC,100.0
2005,SE_ACC_HNDWSH,Norway,PRIMAR,100.0
2006,SE_ACC_HNDWSH,Norway,PRIMAR,100.0
2006,SE_ACC_HNDWSH,Norway,LOWSEC,100.0
2007,SE_ACC_HNDWSH,Norway,LOWSEC,100.0
2007,SE_ACC_HNDWSH,Norway,PRIMAR,100.0
2008,SE_ACC_HNDWSH,Norway,LOWSEC,100.0
2008,SE_ACC_HNDWSH,Norway,UPPSEC,100.0
2008,SE_ACC_HNDWSH,Norway,PRIMAR,100.0
2009,SE_ACC_HNDWSH,Norway,LOWSEC,100.0
2009,SE_ACC_HNDWSH,Norway,PRIMAR,100.0
2009,SE_ACC_HNDWSH,Norway,UPPSEC,100.0
2010,SE_ACC_HNDWSH,Norway,LOWSEC,100.0
2010,SE_ACC_HNDWSH,Norway,UPPSEC,100.0
2010,SE_ACC_HNDWSH,Norway,PRIMAR,100.0
2011,SE_ACC_HNDWSH,Norway,PRIMAR,100.0
2011,SE_ACC_HNDWSH,Norway,UPPSEC,100.0
2011,SE_ACC_HNDWSH,Norway,LOWSEC,100.0
2012,SE_ACC_HNDWSH,Norway,LOWSEC,100.0
2012,SE_ACC_HNDWSH,Norway,PRIMAR,100.0
2012,SE_ACC_HNDWSH,Norway,UPPSEC,100.0
2013,SE_ACC_HNDWSH,Norway,UPPSEC,100.0
2013,SE_ACC_HNDWSH,Norway,PRIMAR,100.0
2019,SE_ACC_HNDWSH,Azerbaijan,PRIMAR,100.0
2019,SE_ACC_HNDWSH,Azerbaijan,LOWSEC,100.0
2019,SE_ACC_HNDWSH,Azerbaijan,UPPSEC,100.0
2020,SE_ACC_HNDWSH,Azerbaijan,UPPSEC,100.0
2020,SE_ACC_HNDWSH,Azerbaijan,LOWSEC,100.0
2020,SE_ACC_HNDWSH,Azerbaijan,PRIMAR,100.0
2021,SE_ACC_HNDWSH,Azerbaijan,PRIMAR,100.0
2021,SE_ACC_HNDWSH,Azerbaijan,LOWSEC,100.0
2021,SE_ACC_HNDWSH,Azerbaijan,UPPSEC,100.0
2000,SE_ACC_HNDWSH,Australia,LOWSEC,100.0
2000,SE_ACC_HNDWSH,Australia,UPPSEC,100.0
2013,SE_ACC_HNDWSH,Norway,LOWSEC,100.0
2014,SE_ACC_HNDWSH,Norway,UPPSEC,100.0
2014,SE_ACC_HNDWSH,Norway,LOWSEC,100.0
2014,SE_ACC_HNDWSH,Norway,PRIMAR,100.0
2015,SE_ACC_HNDWSH,Norway,UPPSEC,100.0
2015,SE_ACC_HNDWSH,Norway,PRIMAR,100.0
2015,SE_ACC_HNDWSH,Norway,LOWSEC,100.0
2016,SE_ACC_HNDWSH,Norway,LOWSEC,100.0
2016,SE_ACC_HNDWSH,Norway,PRIMAR,100.0
2016,SE_ACC_HNDWSH,Norway,UPPSEC,100.0
2017,SE_ACC_HNDWSH,Norway,UPPSEC,100.0
2000,SE_ACC_HNDWSH,Australia,PRIMAR,100.0
2001,SE_ACC_HNDWSH,Australia,UPPSEC,100.0
2001,SE_ACC_HNDWSH,Australia,LOWSEC,100.0
2001,SE_ACC_HNDWSH,Australia,PRIMAR,100.0
2002,SE_ACC_HNDWSH,Australia,PRIMAR,100.0
