Year,SeriesCode,GeoAreaName,Age,Location,Sex,Value
2005,SL_DOM_TSPD,Ireland,15-64,ALLAREA,MALE,8.95833
2005,SL_DOM_TSPD,Ireland,15-64,ALLAREA,FEMALE,20.55556
2003,SL_DOM_TSPD,Italy,55-64,RURAL,FEMALE,26.91667
2003,SL_DOM_TSPD,Italy,25-44,RURAL,FEMALE,23.625
2003,SL_DOM_TSPD,Italy,15-24,RURAL,FEMALE,8.125
2003,SL_DOM_TSPD,Italy,25-44,RURAL,MALE,5.625
2003,SL_DOM_TSPD,Italy,3+,RURAL,FEMALE,19.70833
2003,SL_DOM_TSPD,Italy,15-24,URBAN,FEMALE,7.54167
2003,SL_DOM_TSPD,Italy,45-54,RURAL,MALE,6.29167
2003,SL_DOM_TSPD,Italy,3+,RURAL,MALE,5.66667
2003,SL_DOM_TSPD,Italy,55-64,RURAL,MALE,9.58333
2003,SL_DOM_TSPD,Italy,15-24,URBAN,MALE,2.16667
2003,SL_DOM_TSPD,Italy,3+,URBAN,MALE,6.0
2003,SL_DOM_TSPD,Italy,55-64,URBAN,FEMALE,26.375
2003,SL_DOM_TSPD,Italy,45-54,URBAN,FEMALE,24.70833
2003,SL_DOM_TSPD,Italy,65+,URBAN,FEMALE,20.45833
2003,SL_DOM_TSPD,Italy,25-44,URBAN,FEMALE,22.625
2003,SL_DOM_TSPD,Italy,3+,URBAN,FEMALE,19.04167
2003,SL_DOM_TSPD,Italy,55-64,ALLAREA,MALE,9.29167
2003,SL_DOM_TSPD,Italy,15+,RURAL,FEMALE,21.91667
2003,SL_DOM_TSPD,Italy,15+,ALLAREA,MALE,6.58333
2003,SL_DOM_TSPD,Italy,15-24,ALLAREA,MALE,2.125
2003,SL_DOM_TSPD,Italy,65+,ALLAREA,FEMALE,20.70833
2003,SL_DOM_TSPD,Italy,15-24,ALLAREA,FEMALE,7.70833
2003,SL_DOM_TSPD,Italy,25-44,ALLAREA,FEMALE,22.91667
2003,SL_DOM_TSPD,Italy,3+,ALLAREA,MALE,5.91667
2003,SL_DOM_TSPD,Italy,25-44,ALLAREA,MALE,5.625
2003,SL_DOM_TSPD,Italy,45-54,ALLAREA,FEMALE,25.125
2003,SL_DOM_TSPD,Italy,15+,ALLAREA,FEMALE,21.375
2003,SL_DOM_TSPD,Italy,65+,URBAN,MALE,9.66667
2003,SL_DOM_TSPD,Italy,45-54,URBAN,MALE,7.29167
2003,SL_DOM_TSPD,Italy,55-64,URBAN,MALE,9.16667
2003,SL_DOM_TSPD,Italy,15+,URBAN,MALE,6.66667
2003,SL_DOM_TSPD,Italy,25-44,URBAN,MALE,5.58333
2003,SL_DOM_TSPD,Italy,65+,ALLAREA,MALE,9.25
2003,SL_DOM_TSPD,Italy,15+,RURAL,MALE,6.29167
2003,SL_DOM_TSPD,Italy,15-24,RURAL,MALE,2.04167
2003,SL_DOM_TSPD,Italy,65+,RURAL,FEMALE,21.20833
2003,SL_DOM_TSPD,Italy,45-54,RURAL,FEMALE,26.29167
2003,SL_DOM_TSPD,Italy,65+,RURAL,MALE,8.33333
2003,SL_DOM_TSPD,Italy,15+,URBAN,FEMALE,21.20833
2003,SL_DOM_TSPD,Italy,45-54,ALLAREA,MALE,7.0
2011,SL_DOM_TSPD,Albania,65+,RURAL,FEMALE,19.65278
2011,SL_DOM_TSPD,Albania,10+,RURAL,FEMALE,24.65278
2011,SL_DOM_TSPD,Albania,65+,ALLAREA,MALE,6.52778
2011,SL_DOM_TSPD,Albania,10+,ALLAREA,MALE,3.47222
2011,SL_DOM_TSPD,Albania,65+,ALLAREA,FEMALE,18.47222
2011,SL_DOM_TSPD,Albania,10+,RURAL,MALE,3.88889
2003,SL_DOM_TSPD,Italy,3+,ALLAREA,FEMALE,19.20833
2003,SL_DOM_TSPD,Italy,55-64,ALLAREA,FEMALE,26.5
2009,SL_DOM_TSPD,Italy,3+,URBAN,MALE,6.20833
2009,SL_DOM_TSPD,Italy,15-24,URBAN,MALE,1.95833
2009,SL_DOM_TSPD,Italy,25-44,URBAN,MALE,6.08333
2009,SL_DOM_TSPD,Italy,55-64,URBAN,MALE,9.125
2009,SL_DOM_TSPD,Italy,15+,URBAN,MALE,6.875
2009,SL_DOM_TSPD,Italy,45-54,URBAN,MALE,6.91667
2009,SL_DOM_TSPD,Italy,65+,URBAN,FEMALE,20.70833
2009,SL_DOM_TSPD,Italy,25-44,RURAL,MALE,5.45833
2009,SL_DOM_TSPD,Italy,15-24,RURAL,MALE,2.20833
2009,SL_DOM_TSPD,Italy,65+,RURAL,FEMALE,20.70833
2009,SL_DOM_TSPD,Italy,45-54,RURAL,FEMALE,25.16667
2009,SL_DOM_TSPD,Italy,15+,RURAL,MALE,6.5
2009,SL_DOM_TSPD,Italy,55-64,RURAL,FEMALE,25.58333
2009,SL_DOM_TSPD,Italy,65+,ALLAREA,MALE,9.58333
2009,SL_DOM_TSPD,Italy,65+,URBAN,MALE,9.79167
2009,SL_DOM_TSPD,Italy,3+,ALLAREA,MALE,6.08333
2009,SL_DOM_TSPD,Italy,25-44,ALLAREA,MALE,5.91667
2009,SL_DOM_TSPD,Italy,3+,ALLAREA,FEMALE,18.45833
2009,SL_DOM_TSPD,Italy,45-54,ALLAREA,FEMALE,23.45833
2009,SL_DOM_TSPD,Italy,15+,ALLAREA,FEMALE,20.5
2009,SL_DOM_TSPD,Italy,25-44,ALLAREA,FEMALE,21.875
2009,SL_DOM_TSPD,Italy,15-24,ALLAREA,FEMALE,6.875
2009,SL_DOM_TSPD,Italy,3+,RURAL,FEMALE,19.125
2011,SL_DOM_TSPD,Albania,65+,URBAN,MALE,6.52778
2011,SL_DOM_TSPD,Albania,10+,URBAN,MALE,2.98611
2011,SL_DOM_TSPD,Albania,65+,URBAN,FEMALE,17.43056
2011,SL_DOM_TSPD,Albania,10+,URBAN,FEMALE,19.09722
2011,SL_DOM_TSPD,Albania,65+,RURAL,MALE,6.52778
2011,SL_DOM_TSPD,Albania,10+,ALLAREA,FEMALE,21.73611
2009,SL_DOM_TSPD,Italy,55-64,URBAN,FEMALE,23.79167
2009,SL_DOM_TSPD,Italy,25-44,URBAN,FEMALE,21.5
2009,SL_DOM_TSPD,Italy,3+,URBAN,FEMALE,18.20833
2009,SL_DOM_TSPD,Italy,45-54,URBAN,FEMALE,22.83333
2009,SL_DOM_TSPD,Italy,15+,URBAN,FEMALE,20.20833
2009,SL_DOM_TSPD,Italy,55-64,RURAL,MALE,9.41667
2008,SL_DOM_TSPD,Azerbaijan,15+,ALLAREA,FEMALE,25.41667
2008,SL_DOM_TSPD,Azerbaijan,15+,ALLAREA,MALE,8.88889
2006,SL_DOM_TSPD,Australia,15+,ALLAREA,FEMALE,20.83333
2006,SL_DOM_TSPD,Australia,15+,ALLAREA,MALE,11.38889
2021,SL_DOM_TSPD,Australia,15+,ALLAREA,FEMALE,17.11944
2021,SL_DOM_TSPD,Australia,15+,ALLAREA,MALE,11.71111
