Year,SeriesCode,GeoAreaName,Sex,Value
2016,SG_GEN_LOCGELS,Albania,FEMALE,34.79624
2018,SG_GEN_LOCGELS,Albania,FEMALE,36.9279
2020,SG_GEN_LOCGELS,Albania,FEMALE,43.60716
2015,SG_GEN_LOCGELS,Azerbaijan,FEMALE,35.0
2020,SG_GEN_LOCGELS,Azerbaijan,FEMALE,38.79934
2021,SG_GEN_LOCGELS,Azerbaijan,FEMALE,38.79934
2022,SG_GEN_LOCGELS,Azerbaijan,FEMALE,38.79934
2023,SG_GEN_LOCGELS,Azerbaijan,FEMALE,38.79934
2019,SG_GEN_LOCGELS,Australia,FEMALE,33.91919
2019,SG_GEN_LOCGELS,Austria,FEMALE,23.09492
2021,SG_GEN_LOCGELS,Austria,FEMALE,24.55209
2022,SG_GEN_LOCGELS,Austria,FEMALE,25.69519
2023,SG_GEN_LOCGELS,Austria,FEMALE,26.30682
2019,SG_GEN_LOCGELS,Armenia,FEMALE,9.04103
2020,SG_GEN_LOCGELS,Armenia,FEMALE,8.98018
2021,SG_GEN_LOCGELS,Armenia,FEMALE,9.06647
2022,SG_GEN_LOCGELS,Armenia,FEMALE,24.72145
2023,SG_GEN_LOCGELS,Armenia,FEMALE,27.99452
2019,SG_GEN_LOCGELS,Belgium,FEMALE,39.03294
2017,SG_GEN_LOCGELS,Bosnia and Herzegovina,FEMALE,18.58521
2021,SG_GEN_LOCGELS,Bosnia and Herzegovina,FEMALE,19.59736
2016,SG_GEN_LOCGELS,Bulgaria,FEMALE,25.96024
2020,SG_GEN_LOCGELS,Bulgaria,FEMALE,27.15232
2019,SG_GEN_LOCGELS,Belarus,FEMALE,48.19989
2018,SG_GEN_LOCGELS,Canada,FEMALE,26.59966
2018,SG_GEN_LOCGELS,Chile,FEMALE,23.29724
2022,SG_GEN_LOCGELS,Chile,FEMALE,33.55521
2017,SG_GEN_LOCGELS,China,FEMALE,28.08717
2023,SG_GEN_LOCGELS,China,FEMALE,32.17924
2016,SG_GEN_LOCGELS,Colombia,FEMALE,17.60744
2020,SG_GEN_LOCGELS,Colombia,FEMALE,17.89584
2017,SG_GEN_LOCGELS,Costa Rica,FEMALE,45.64356
2021,SG_GEN_LOCGELS,Costa Rica,FEMALE,45.51724
2014,SG_GEN_LOCGELS,Croatia,FEMALE,19.85
2018,SG_GEN_LOCGELS,Croatia,FEMALE,26.39111
2022,SG_GEN_LOCGELS,Croatia,FEMALE,30.03436
2018,SG_GEN_LOCGELS,Cyprus,FEMALE,15.96341
2019,SG_GEN_LOCGELS,Cyprus,FEMALE,15.96341
2021,SG_GEN_LOCGELS,Cyprus,FEMALE,16.08721
2017,SG_GEN_LOCGELS,Czechia,FEMALE,27.06223
2018,SG_GEN_LOCGELS,Czechia,FEMALE,27.06223
2019,SG_GEN_LOCGELS,Czechia,FEMALE,27.92207
2020,SG_GEN_LOCGELS,Czechia,FEMALE,28.00523
2021,SG_GEN_LOCGELS,Czechia,FEMALE,28.00523
2022,SG_GEN_LOCGELS,Czechia,FEMALE,28.00523
2023,SG_GEN_LOCGELS,Czechia,FEMALE,29.00129
2014,SG_GEN_LOCGELS,Denmark,FEMALE,30.50208
2018,SG_GEN_LOCGELS,Denmark,FEMALE,33.33333
2022,SG_GEN_LOCGELS,Denmark,FEMALE,36.99356
2014,SG_GEN_LOCGELS,Estonia,FEMALE,31.07421
2018,SG_GEN_LOCGELS,Estonia,FEMALE,28.62927
2022,SG_GEN_LOCGELS,Estonia,FEMALE,29.47001
2013,SG_GEN_LOCGELS,Finland,FEMALE,36.21046
2018,SG_GEN_LOCGELS,Finland,FEMALE,39.04878
2022,SG_GEN_LOCGELS,Finland,FEMALE,40.23027
2018,SG_GEN_LOCGELS,France,FEMALE,40.40259
2020,SG_GEN_LOCGELS,France,FEMALE,40.01883
2022,SG_GEN_LOCGELS,France,FEMALE,42.32797
2018,SG_GEN_LOCGELS,Georgia,FEMALE,13.45967
2022,SG_GEN_LOCGELS,Georgia,FEMALE,23.74275
2018,SG_GEN_LOCGELS,Germany,FEMALE,27.00742
2020,SG_GEN_LOCGELS,Germany,FEMALE,27.77443
2021,SG_GEN_LOCGELS,Germany,FEMALE,29.15846
2022,SG_GEN_LOCGELS,Germany,FEMALE,30.25325
2015,SG_GEN_LOCGELS,Hungary,FEMALE,28.49555
2020,SG_GEN_LOCGELS,Hungary,FEMALE,30.51431
2015,SG_GEN_LOCGELS,Iceland,FEMALE,44.04762
2019,SG_GEN_LOCGELS,Iceland,FEMALE,47.01195
2020,SG_GEN_LOCGELS,Iceland,FEMALE,47.01195
2021,SG_GEN_LOCGELS,Iceland,FEMALE,47.01195
2022,SG_GEN_LOCGELS,Iceland,FEMALE,47.01195
2023,SG_GEN_LOCGELS,Iceland,FEMALE,51.2766
2018,SG_GEN_LOCGELS,India,FEMALE,44.37281
2015,SG_GEN_LOCGELS,Ireland,FEMALE,20.12645
2020,SG_GEN_LOCGELS,Ireland,FEMALE,23.91992
2019,SG_GEN_LOCGELS,Israel,FEMALE,17.13453
2020,SG_GEN_LOCGELS,Israel,FEMALE,17.13453
2021,SG_GEN_LOCGELS,Israel,FEMALE,17.13453
2022,SG_GEN_LOCGELS,Israel,FEMALE,17.13453
2023,SG_GEN_LOCGELS,Israel,FEMALE,17.13453
2019,SG_GEN_LOCGELS,Italy,FEMALE,30.3615
2020,SG_GEN_LOCGELS,Italy,FEMALE,31.31557
2021,SG_GEN_LOCGELS,Italy,FEMALE,31.71257
2022,SG_GEN_LOCGELS,Italy,FEMALE,32.04503
2023,SG_GEN_LOCGELS,Italy,FEMALE,32.40292
2018,SG_GEN_LOCGELS,Japan,FEMALE,12.87177
2019,SG_GEN_LOCGELS,Japan,FEMALE,13.12562
2020,SG_GEN_LOCGELS,Japan,FEMALE,14.30774
2021,SG_GEN_LOCGELS,Japan,FEMALE,14.52448
2022,SG_GEN_LOCGELS,Japan,FEMALE,15.08073
2023,SG_GEN_LOCGELS,Japan,FEMALE,15.55871
2019,SG_GEN_LOCGELS,Kazakhstan,FEMALE,22.18891
2020,SG_GEN_LOCGELS,Kazakhstan,FEMALE,22.17626
2021,SG_GEN_LOCGELS,Kazakhstan,FEMALE,22.3442
2022,SG_GEN_LOCGELS,Kazakhstan,FEMALE,30.46398
2019,SG_GEN_LOCGELS,Republic of Korea,FEMALE,28.26667
2023,SG_GEN_LOCGELS,Republic of Korea,FEMALE,30.34465
2014,SG_GEN_LOCGELS,Latvia,FEMALE,31.21137
2018,SG_GEN_LOCGELS,Latvia,FEMALE,34.01487
2022,SG_GEN_LOCGELS,Latvia,FEMALE,30.47493
2016,SG_GEN_LOCGELS,Liechtenstein,FEMALE,16.52174
2020,SG_GEN_LOCGELS,Liechtenstein,FEMALE,39.13043
2021,SG_GEN_LOCGELS,Liechtenstein,FEMALE,39.13043
2016,SG_GEN_LOCGELS,Lithuania,FEMALE,24.64358
2020,SG_GEN_LOCGELS,Lithuania,FEMALE,29.36085
2018,SG_GEN_LOCGELS,Luxembourg,FEMALE,25.11091
2019,SG_GEN_LOCGELS,Luxembourg,FEMALE,25.11091
2020,SG_GEN_LOCGELS,Luxembourg,FEMALE,25.11091
2018,SG_GEN_LOCGELS,Malta,FEMALE,21.92982
2019,SG_GEN_LOCGELS,Malta,FEMALE,22.02643
2020,SG_GEN_LOCGELS,Malta,FEMALE,26.2931
2021,SG_GEN_LOCGELS,Malta,FEMALE,26.2931
2017,SG_GEN_LOCGELS,Mexico,FEMALE,37.43899
2019,SG_GEN_LOCGELS,Mexico,FEMALE,45.01155
2021,SG_GEN_LOCGELS,Mexico,FEMALE,47.46421
2016,SG_GEN_LOCGELS,Republic of Moldova,FEMALE,28.93836
2020,SG_GEN_LOCGELS,Republic of Moldova,FEMALE,35.60449
2018,SG_GEN_LOCGELS,Montenegro,FEMALE,27.7707
2019,SG_GEN_LOCGELS,Montenegro,FEMALE,29.96346
2020,SG_GEN_LOCGELS,Montenegro,FEMALE,31.86813
2023,SG_GEN_LOCGELS,Montenegro,FEMALE,32.70588
2019,SG_GEN_LOCGELS,Netherlands (Kingdom of the),FEMALE,28.52524
2020,SG_GEN_LOCGELS,Netherlands (Kingdom of the),FEMALE,31.78801
2023,SG_GEN_LOCGELS,Netherlands (Kingdom of the),FEMALE,35.01092
2017,SG_GEN_LOCGELS,New Zealand,FEMALE,34.48276
2020,SG_GEN_LOCGELS,New Zealand,FEMALE,39.41121
2016,SG_GEN_LOCGELS,Norway,FEMALE,39.36161
2020,SG_GEN_LOCGELS,Norway,FEMALE,40.84351
2015,SG_GEN_LOCGELS,Poland,FEMALE,26.50468
2016,SG_GEN_LOCGELS,Poland,FEMALE,26.62272
2017,SG_GEN_LOCGELS,Poland,FEMALE,26.82014
2018,SG_GEN_LOCGELS,Poland,FEMALE,26.9253
2019,SG_GEN_LOCGELS,Poland,FEMALE,29.79789
2020,SG_GEN_LOCGELS,Poland,FEMALE,30.00236
2021,SG_GEN_LOCGELS,Poland,FEMALE,30.17872
2022,SG_GEN_LOCGELS,Poland,FEMALE,30.3779
2017,SG_GEN_LOCGELS,Romania,FEMALE,12.50509
2021,SG_GEN_LOCGELS,Romania,FEMALE,14.07334
2017,SG_GEN_LOCGELS,Serbia,FEMALE,31.2098
2021,SG_GEN_LOCGELS,Serbia,FEMALE,37.2368
2023,SG_GEN_LOCGELS,Serbia,FEMALE,37.61735
2019,SG_GEN_LOCGELS,Slovakia,FEMALE,25.91262
2020,SG_GEN_LOCGELS,Slovakia,FEMALE,25.91262
2021,SG_GEN_LOCGELS,Slovakia,FEMALE,25.91262
2022,SG_GEN_LOCGELS,Slovakia,FEMALE,25.91262
2023,SG_GEN_LOCGELS,Slovakia,FEMALE,26.89464
2017,SG_GEN_LOCGELS,Viet Nam,FEMALE,26.79252
2022,SG_GEN_LOCGELS,Viet Nam,FEMALE,28.96256
2019,SG_GEN_LOCGELS,Slovenia,FEMALE,34.09225
2023,SG_GEN_LOCGELS,Slovenia,FEMALE,34.85342
2018,SG_GEN_LOCGELS,Spain,FEMALE,33.78464
2020,SG_GEN_LOCGELS,Spain,FEMALE,38.49112
2021,SG_GEN_LOCGELS,Spain,FEMALE,38.49411
2022,SG_GEN_LOCGELS,Spain,FEMALE,38.54761
2023,SG_GEN_LOCGELS,Spain,FEMALE,38.58773
2015,SG_GEN_LOCGELS,Sweden,FEMALE,44.24209
2019,SG_GEN_LOCGELS,Sweden,FEMALE,43.84305
2020,SG_GEN_LOCGELS,Sweden,FEMALE,43.84696
2021,SG_GEN_LOCGELS,Sweden,FEMALE,43.84696
2022,SG_GEN_LOCGELS,Sweden,FEMALE,43.84696
2023,SG_GEN_LOCGELS,Sweden,FEMALE,44.02459
2018,SG_GEN_LOCGELS,Switzerland,FEMALE,31.29651
2019,SG_GEN_LOCGELS,Switzerland,FEMALE,31.93031
2020,SG_GEN_LOCGELS,Switzerland,FEMALE,32.03998
2021,SG_GEN_LOCGELS,Switzerland,FEMALE,34.99511
2022,SG_GEN_LOCGELS,Switzerland,FEMALE,38.59238
2023,SG_GEN_LOCGELS,Switzerland,FEMALE,39.04203
2015,SG_GEN_LOCGELS,Türkiye,FEMALE,9.94825
2020,SG_GEN_LOCGELS,Türkiye,FEMALE,10.13843
2019,SG_GEN_LOCGELS,Turkmenistan,FEMALE,21.9322
2021,SG_GEN_LOCGELS,Ukraine,FEMALE,29.78806
2020,SG_GEN_LOCGELS,United Kingdom of Great Britain and Northern Ireland,FEMALE,34.80957
2021,SG_GEN_LOCGELS,United Kingdom of Great Britain and Northern Ireland,FEMALE,34.97086
2022,SG_GEN_LOCGELS,United Kingdom of Great Britain and Northern Ireland,FEMALE,35.31782
2022,SG_GEN_LOCGELS,United Kingdom of Great Britain and Northern Ireland,FEMALE,35.31782
