Year,SeriesCode,GeoAreaName,Value
2022,SH_LGR_ACSRHEC13,Albania,0
2022,SH_LGR_ACSRHEC13,Australia,100
2022,SH_LGR_ACSRHEC13,Austria,100
2019,SH_LGR_ACSRHEC13,Armenia,0
2019,SH_LGR_ACSRHEC13,Belgium,100
2022,SH_LGR_ACSRHEC13,Bosnia and Herzegovina,0
2022,SH_LGR_ACSRHEC13,Bulgaria,100
2022,SH_LGR_ACSRHEC13,Belarus,0
2022,SH_LGR_ACSRHEC13,Canada,0
2022,SH_LGR_ACSRHEC13,Chile,100
2022,SH_LGR_ACSRHEC13,China,0
2022,SH_LGR_ACSRHEC13,Colombia,100
2022,SH_LGR_ACSRHEC13,Costa Rica,100
2022,SH_LGR_ACSRHEC13,Croatia,100
2022,SH_LGR_ACSRHEC13,Cyprus,100
2022,SH_LGR_ACSRHEC13,Czechia,0
2022,SH_LGR_ACSRHEC13,Denmark,100
2022,SH_LGR_ACSRHEC13,Estonia,100
2022,SH_LGR_ACSRHEC13,Finland,100
2022,SH_LGR_ACSRHEC13,Georgia,100
2022,SH_LGR_ACSRHEC13,Germany,100
2022,SH_LGR_ACSRHEC13,Greece,100
2022,SH_LGR_ACSRHEC13,Hungary,100
2022,SH_LGR_ACSRHEC13,India,0
2022,SH_LGR_ACSRHEC13,Japan,100
2022,SH_LGR_ACSRHEC13,Kazakhstan,0
2019,SH_LGR_ACSRHEC13,Kyrgyzstan,0
2019,SH_LGR_ACSRHEC13,Latvia,100
2022,SH_LGR_ACSRHEC13,Lithuania,100
2019,SH_LGR_ACSRHEC13,Malta,100
2022,SH_LGR_ACSRHEC13,Mexico,100
2019,SH_LGR_ACSRHEC13,Republic of Moldova,100
2019,SH_LGR_ACSRHEC13,Montenegro,0
2022,SH_LGR_ACSRHEC13,Netherlands (Kingdom of the),100
2019,SH_LGR_ACSRHEC13,New Zealand,100
2022,SH_LGR_ACSRHEC13,Norway,100
2022,SH_LGR_ACSRHEC13,Poland,100
2022,SH_LGR_ACSRHEC13,Portugal,100
2022,SH_LGR_ACSRHEC13,Romania,100
2022,SH_LGR_ACSRHEC13,Serbia,100
2022,SH_LGR_ACSRHEC13,Slovakia,100
2019,SH_LGR_ACSRHEC13,Viet Nam,0
2022,SH_LGR_ACSRHEC13,Slovenia,100
2019,SH_LGR_ACSRHEC13,Sweden,100
2019,SH_LGR_ACSRHEC13,Switzerland,100
2022,SH_LGR_ACSRHEC13,United Arab Emirates,100
2022,SH_LGR_ACSRHEC13,Türkiye,0
2022,SH_LGR_ACSRHEC13,Turkmenistan,100
2022,SH_LGR_ACSRHEC13,Ukraine,100
2022,SH_LGR_ACSRHEC13,North Macedonia,100
2022,SH_LGR_ACSRHEC13,United Kingdom of Great Britain and Northern Ireland,100
2022,SH_LGR_ACSRHEC13,Uzbekistan,100
2022,SH_LGR_ACSRHEC13,Uzbekistan,100
