Year,SeriesCode,GeoAreaName,Value
2000,EN_LKRV_PWAN,Belgium,58.86608
2001,EN_LKRV_PWAN,Belgium,81.23455
2002,EN_LKRV_PWAN,Belgium,102.95984
2003,EN_LKRV_PWAN,Belgium,105.47881
2004,EN_LKRV_PWAN,Belgium,106.69667
2005,EN_LKRV_PWAN,Belgium,112.24911
2006,EN_LKRV_PWAN,Belgium,111.45694
2007,EN_LKRV_PWAN,Belgium,112.32358
2008,EN_LKRV_PWAN,Belgium,111.2491
2009,EN_LKRV_PWAN,Belgium,110.94859
2010,EN_LKRV_PWAN,Belgium,109.55522
2011,EN_LKRV_PWAN,Belgium,110.87442
2012,EN_LKRV_PWAN,Belgium,111.28314
2013,EN_LKRV_PWAN,Belgium,111.97706
2014,EN_LKRV_PWAN,Belgium,113.10928
2015,EN_LKRV_PWAN,Belgium,114.59335
2016,EN_LKRV_PWAN,Belgium,115.13749
2017,EN_LKRV_PWAN,Belgium,115.37588
2018,EN_LKRV_PWAN,Belgium,116.18141
2019,EN_LKRV_PWAN,Belgium,116.33486
2020,EN_LKRV_PWAN,Belgium,116.84438
2021,EN_LKRV_PWAN,Belgium,117.99127
2022,EN_LKRV_PWAN,Belgium,119.49343
2000,EN_LKRV_PWAN,Bosnia and Herzegovina,19.38761
2001,EN_LKRV_PWAN,Bosnia and Herzegovina,37.91617
2002,EN_LKRV_PWAN,Bosnia and Herzegovina,58.35049
2003,EN_LKRV_PWAN,Bosnia and Herzegovina,78.85137
2004,EN_LKRV_PWAN,Bosnia and Herzegovina,96.21938
2005,EN_LKRV_PWAN,Bosnia and Herzegovina,96.10356
2006,EN_LKRV_PWAN,Bosnia and Herzegovina,98.23945
2007,EN_LKRV_PWAN,Bosnia and Herzegovina,98.08088
2008,EN_LKRV_PWAN,Bosnia and Herzegovina,95.76764
2009,EN_LKRV_PWAN,Bosnia and Herzegovina,96.04224
2010,EN_LKRV_PWAN,Bosnia and Herzegovina,95.56122
2011,EN_LKRV_PWAN,Bosnia and Herzegovina,94.15428
2012,EN_LKRV_PWAN,Bosnia and Herzegovina,92.64733
2013,EN_LKRV_PWAN,Bosnia and Herzegovina,92.11201
2014,EN_LKRV_PWAN,Bosnia and Herzegovina,94.11437
2015,EN_LKRV_PWAN,Bosnia and Herzegovina,96.57513
2016,EN_LKRV_PWAN,Bosnia and Herzegovina,97.93719
2017,EN_LKRV_PWAN,Bosnia and Herzegovina,99.82922
2018,EN_LKRV_PWAN,Bosnia and Herzegovina,101.88708
2019,EN_LKRV_PWAN,Bosnia and Herzegovina,102.83415
2020,EN_LKRV_PWAN,Bosnia and Herzegovina,101.07315
2021,EN_LKRV_PWAN,Bosnia and Herzegovina,100.37546
2022,EN_LKRV_PWAN,Bosnia and Herzegovina,98.9633
2000,EN_LKRV_PWAN,Bulgaria,93.85151
2001,EN_LKRV_PWAN,Bulgaria,161.31376
2002,EN_LKRV_PWAN,Bulgaria,240.67757
2003,EN_LKRV_PWAN,Bulgaria,320.11854
2004,EN_LKRV_PWAN,Bulgaria,399.4085
2005,EN_LKRV_PWAN,Bulgaria,399.5464
2006,EN_LKRV_PWAN,Bulgaria,406.37557
2007,EN_LKRV_PWAN,Bulgaria,412.50837
2008,EN_LKRV_PWAN,Bulgaria,413.64414
2009,EN_LKRV_PWAN,Bulgaria,415.41718
2010,EN_LKRV_PWAN,Bulgaria,415.95732
2011,EN_LKRV_PWAN,Bulgaria,416.48172
2012,EN_LKRV_PWAN,Bulgaria,413.33445
2013,EN_LKRV_PWAN,Bulgaria,411.49584
2014,EN_LKRV_PWAN,Bulgaria,415.09475
2015,EN_LKRV_PWAN,Bulgaria,417.58558
2016,EN_LKRV_PWAN,Bulgaria,415.10524
2017,EN_LKRV_PWAN,Bulgaria,419.49325
2018,EN_LKRV_PWAN,Bulgaria,424.88536
2019,EN_LKRV_PWAN,Bulgaria,426.02225
2020,EN_LKRV_PWAN,Bulgaria,422.41678
2021,EN_LKRV_PWAN,Bulgaria,420.04764
2022,EN_LKRV_PWAN,Bulgaria,415.52063
2000,EN_LKRV_PWAN,Canada,907218.8528
2000,EN_LKRV_PWAN,Albania,42.70447
2001,EN_LKRV_PWAN,Albania,87.79145
2002,EN_LKRV_PWAN,Albania,132.53795
2003,EN_LKRV_PWAN,Albania,177.68646
2004,EN_LKRV_PWAN,Albania,221.65252
2005,EN_LKRV_PWAN,Albania,224.26211
2006,EN_LKRV_PWAN,Albania,225.10997
2007,EN_LKRV_PWAN,Albania,226.11698
2008,EN_LKRV_PWAN,Albania,224.14763
2009,EN_LKRV_PWAN,Albania,223.45345
2010,EN_LKRV_PWAN,Albania,223.31096
2011,EN_LKRV_PWAN,Albania,223.34848
2000,EN_LKRV_PWAN,New Zealand,648.20613
2001,EN_LKRV_PWAN,New Zealand,1306.78445
2002,EN_LKRV_PWAN,New Zealand,1965.42249
2003,EN_LKRV_PWAN,New Zealand,2626.96552
2004,EN_LKRV_PWAN,New Zealand,3281.48291
2005,EN_LKRV_PWAN,New Zealand,3305.36091
2006,EN_LKRV_PWAN,New Zealand,3299.89889
2007,EN_LKRV_PWAN,New Zealand,3297.23559
2008,EN_LKRV_PWAN,New Zealand,3279.43349
2009,EN_LKRV_PWAN,New Zealand,3272.89903
2010,EN_LKRV_PWAN,New Zealand,3258.26502
2001,EN_LKRV_PWAN,Canada,906283.37628
2002,EN_LKRV_PWAN,Canada,905922.28424
2003,EN_LKRV_PWAN,Canada,907096.2237
2004,EN_LKRV_PWAN,Canada,908766.756
2005,EN_LKRV_PWAN,Canada,910754.89518
2006,EN_LKRV_PWAN,Canada,912830.38578
2007,EN_LKRV_PWAN,Canada,913917.46662
2008,EN_LKRV_PWAN,Canada,914675.07506
2009,EN_LKRV_PWAN,Canada,914881.11836
2010,EN_LKRV_PWAN,Canada,914837.3238
2011,EN_LKRV_PWAN,Canada,913845.88426
2012,EN_LKRV_PWAN,Canada,913329.38264
2011,EN_LKRV_PWAN,New Zealand,3259.15373
2012,EN_LKRV_PWAN,New Zealand,3269.43648
2013,EN_LKRV_PWAN,New Zealand,3279.92126
2014,EN_LKRV_PWAN,New Zealand,3290.6446
2015,EN_LKRV_PWAN,New Zealand,3295.96453
2016,EN_LKRV_PWAN,New Zealand,3285.49213
2017,EN_LKRV_PWAN,New Zealand,3274.0618
2018,EN_LKRV_PWAN,New Zealand,3272.14683
2019,EN_LKRV_PWAN,New Zealand,3274.17315
2020,EN_LKRV_PWAN,New Zealand,3265.57175
2021,EN_LKRV_PWAN,New Zealand,3285.90861
2022,EN_LKRV_PWAN,New Zealand,3293.8377
2000,EN_LKRV_PWAN,Norway,4961.14653
2001,EN_LKRV_PWAN,Norway,7263.39666
2002,EN_LKRV_PWAN,Norway,9577.47785
2003,EN_LKRV_PWAN,Norway,11452.26382
2004,EN_LKRV_PWAN,Norway,11276.86962
2005,EN_LKRV_PWAN,Norway,11534.55106
2006,EN_LKRV_PWAN,Norway,11573.95566
2007,EN_LKRV_PWAN,Norway,11634.37416
2008,EN_LKRV_PWAN,Norway,11557.3209
2009,EN_LKRV_PWAN,Norway,11446.22236
2010,EN_LKRV_PWAN,Norway,11374.78172
2011,EN_LKRV_PWAN,Norway,11353.10345
2012,EN_LKRV_PWAN,Norway,11327.52172
2013,EN_LKRV_PWAN,Norway,11075.26599
2014,EN_LKRV_PWAN,Norway,11420.047
2015,EN_LKRV_PWAN,Norway,11503.69596
2016,EN_LKRV_PWAN,Norway,11567.99151
2017,EN_LKRV_PWAN,Norway,11588.1423
2018,EN_LKRV_PWAN,Norway,11928.46148
2019,EN_LKRV_PWAN,Norway,11925.88506
2020,EN_LKRV_PWAN,Norway,11907.57496
2021,EN_LKRV_PWAN,Norway,12021.90626
2022,EN_LKRV_PWAN,Norway,12156.66568
2012,EN_LKRV_PWAN,Albania,223.80967
2013,EN_LKRV_PWAN,Albania,226.45137
2014,EN_LKRV_PWAN,Albania,230.77088
2015,EN_LKRV_PWAN,Albania,233.21119
2016,EN_LKRV_PWAN,Albania,234.41855
2017,EN_LKRV_PWAN,Albania,236.13475
2018,EN_LKRV_PWAN,Albania,237.34432
2019,EN_LKRV_PWAN,Albania,237.98207
2020,EN_LKRV_PWAN,Albania,238.22296
2021,EN_LKRV_PWAN,Albania,239.91148
2022,EN_LKRV_PWAN,Albania,240.55544
2000,EN_LKRV_PWAN,Azerbaijan,33750.8857
2001,EN_LKRV_PWAN,Azerbaijan,41438.58993
2002,EN_LKRV_PWAN,Azerbaijan,52466.28408
2003,EN_LKRV_PWAN,Azerbaijan,65847.49527
2004,EN_LKRV_PWAN,Azerbaijan,65177.03245
2005,EN_LKRV_PWAN,Azerbaijan,66675.93329
2006,EN_LKRV_PWAN,Azerbaijan,66499.05832
2007,EN_LKRV_PWAN,Azerbaijan,67025.10206
2008,EN_LKRV_PWAN,Azerbaijan,67404.4815
2009,EN_LKRV_PWAN,Azerbaijan,68082.47292
2010,EN_LKRV_PWAN,Azerbaijan,68129.16364
2011,EN_LKRV_PWAN,Azerbaijan,68274.55706
2000,EN_LKRV_PWAN,Poland,1429.46366
2001,EN_LKRV_PWAN,Poland,2038.88277
2002,EN_LKRV_PWAN,Poland,2648.51882
2003,EN_LKRV_PWAN,Poland,2976.13777
2004,EN_LKRV_PWAN,Poland,3021.84817
2005,EN_LKRV_PWAN,Poland,3045.36088
2006,EN_LKRV_PWAN,Poland,3054.66076
2007,EN_LKRV_PWAN,Poland,3060.98404
2008,EN_LKRV_PWAN,Poland,3069.45891
2009,EN_LKRV_PWAN,Poland,3063.25675
2010,EN_LKRV_PWAN,Poland,3055.46098
2011,EN_LKRV_PWAN,Poland,3058.58255
2012,EN_LKRV_PWAN,Azerbaijan,68170.8134
2013,EN_LKRV_PWAN,Azerbaijan,68172.4815
2014,EN_LKRV_PWAN,Azerbaijan,68673.38762
2015,EN_LKRV_PWAN,Azerbaijan,69317.28375
2016,EN_LKRV_PWAN,Azerbaijan,71379.41748
2017,EN_LKRV_PWAN,Azerbaijan,73392.81533
2018,EN_LKRV_PWAN,Azerbaijan,75315.50222
2019,EN_LKRV_PWAN,Azerbaijan,76877.34677
2020,EN_LKRV_PWAN,Azerbaijan,78423.55258
2021,EN_LKRV_PWAN,Azerbaijan,78404.13954
2022,EN_LKRV_PWAN,Azerbaijan,78372.19016
2012,EN_LKRV_PWAN,Poland,3053.62158
2013,EN_LKRV_PWAN,Poland,3051.11314
2014,EN_LKRV_PWAN,Poland,3066.37847
2015,EN_LKRV_PWAN,Poland,3083.57985
2016,EN_LKRV_PWAN,Poland,3082.21431
