Year,SeriesCode,GeoAreaName,Deviation Level,Value
2017,EN_LKW_QLTRB,Ireland,HIGH,15.97165
2017,EN_LKW_QLTRB,Ireland,LOW,49.55015
2017,EN_LKW_QLTRB,Ireland,MEDIUM,12.66345
2017,EN_LKW_QLTRB,Ireland,EXTREME,21.81475
2018,EN_LKW_QLTRB,Ireland,HIGH,14.24051
2018,EN_LKW_QLTRB,Ireland,MEDIUM,11.83182
2018,EN_LKW_QLTRB,Ireland,LOW,53.92683
2018,EN_LKW_QLTRB,Ireland,EXTREME,20.00084
2019,EN_LKW_QLTRB,Ireland,MEDIUM,13.70675
2019,EN_LKW_QLTRB,Ireland,LOW,37.07715
2019,EN_LKW_QLTRB,Ireland,EXTREME,27.52299
2019,EN_LKW_QLTRB,Ireland,HIGH,21.69311
2020,EN_LKW_QLTRB,Ireland,LOW,33.78618
2020,EN_LKW_QLTRB,Ireland,HIGH,22.39942
2020,EN_LKW_QLTRB,Ireland,MEDIUM,14.20558
2020,EN_LKW_QLTRB,Ireland,EXTREME,29.60883
2021,EN_LKW_QLTRB,Ireland,EXTREME,27.13942
2021,EN_LKW_QLTRB,Ireland,MEDIUM,14.11604
2021,EN_LKW_QLTRB,Ireland,HIGH,22.47537
2021,EN_LKW_QLTRB,Ireland,LOW,36.26916
2017,EN_LKW_QLTRB,Israel,EXTREME,7.33552
2017,EN_LKW_QLTRB,Israel,MEDIUM,16.15173
2017,EN_LKW_QLTRB,Israel,HIGH,15.36684
2017,EN_LKW_QLTRB,Israel,LOW,61.14591
2018,EN_LKW_QLTRB,Israel,LOW,59.31284
2018,EN_LKW_QLTRB,Israel,HIGH,16.72591
2018,EN_LKW_QLTRB,Israel,EXTREME,11.94663
2018,EN_LKW_QLTRB,Israel,MEDIUM,12.01461
2019,EN_LKW_QLTRB,Israel,LOW,55.78351
2019,EN_LKW_QLTRB,Israel,EXTREME,8.33072
2019,EN_LKW_QLTRB,Israel,HIGH,16.90937
2019,EN_LKW_QLTRB,Israel,MEDIUM,18.9764
2020,EN_LKW_QLTRB,Israel,HIGH,12.25506
2020,EN_LKW_QLTRB,Israel,LOW,57.61989
2020,EN_LKW_QLTRB,Israel,EXTREME,10.62549
2020,EN_LKW_QLTRB,Israel,MEDIUM,19.49957
2021,EN_LKW_QLTRB,Israel,LOW,60.64838
2021,EN_LKW_QLTRB,Israel,EXTREME,6.78923
2021,EN_LKW_QLTRB,Israel,HIGH,13.61426
2021,EN_LKW_QLTRB,Israel,MEDIUM,18.94814
2017,EN_LKW_QLTRB,Italy,EXTREME,8.11644
2017,EN_LKW_QLTRB,Italy,LOW,62.177
2017,EN_LKW_QLTRB,Italy,HIGH,13.25189
2017,EN_LKW_QLTRB,Italy,MEDIUM,16.45467
2018,EN_LKW_QLTRB,Italy,MEDIUM,12.6704
2018,EN_LKW_QLTRB,Italy,LOW,69.18809
2018,EN_LKW_QLTRB,Italy,HIGH,10.50594
2018,EN_LKW_QLTRB,Italy,EXTREME,7.63556
2019,EN_LKW_QLTRB,Italy,MEDIUM,21.40365
2019,EN_LKW_QLTRB,Italy,EXTREME,10.97277
2019,EN_LKW_QLTRB,Italy,HIGH,15.64445
2019,EN_LKW_QLTRB,Italy,LOW,51.97913
2020,EN_LKW_QLTRB,Italy,LOW,59.10577
2020,EN_LKW_QLTRB,Italy,EXTREME,11.56588
2020,EN_LKW_QLTRB,Italy,MEDIUM,15.01201
2020,EN_LKW_QLTRB,Italy,HIGH,14.31634
2021,EN_LKW_QLTRB,Italy,EXTREME,9.86333
2021,EN_LKW_QLTRB,Italy,HIGH,12.53859
2021,EN_LKW_QLTRB,Italy,LOW,58.48846
2021,EN_LKW_QLTRB,Italy,MEDIUM,19.10962
2017,EN_LKW_QLTRB,Japan,EXTREME,19.60263
2017,EN_LKW_QLTRB,Japan,LOW,46.29883
2017,EN_LKW_QLTRB,Japan,MEDIUM,16.98267
2017,EN_LKW_QLTRB,Japan,HIGH,17.11586
2018,EN_LKW_QLTRB,Japan,MEDIUM,19.31094
2018,EN_LKW_QLTRB,Japan,LOW,43.31538
2018,EN_LKW_QLTRB,Japan,HIGH,21.30166
2018,EN_LKW_QLTRB,Japan,EXTREME,16.07202
2019,EN_LKW_QLTRB,Japan,MEDIUM,18.05201
2019,EN_LKW_QLTRB,Japan,LOW,51.79585
2019,EN_LKW_QLTRB,Japan,EXTREME,14.60952
2019,EN_LKW_QLTRB,Japan,HIGH,15.54262
2017,EN_LKW_QLTRB,Albania,MEDIUM,17.60016
2017,EN_LKW_QLTRB,Albania,LOW,59.76429
2017,EN_LKW_QLTRB,Albania,EXTREME,13.16209
2017,EN_LKW_QLTRB,Albania,HIGH,9.47345
2018,EN_LKW_QLTRB,Albania,HIGH,11.20496
2018,EN_LKW_QLTRB,Albania,LOW,66.90265
2018,EN_LKW_QLTRB,Albania,MEDIUM,15.72365
2018,EN_LKW_QLTRB,Albania,EXTREME,6.16874
2019,EN_LKW_QLTRB,Albania,EXTREME,8.8267
2019,EN_LKW_QLTRB,Albania,MEDIUM,21.31267
2019,EN_LKW_QLTRB,Albania,LOW,59.17404
2019,EN_LKW_QLTRB,Albania,HIGH,10.68659
2020,EN_LKW_QLTRB,Albania,MEDIUM,20.8531
2020,EN_LKW_QLTRB,Albania,HIGH,10.9054
2020,EN_LKW_QLTRB,Albania,EXTREME,9.34294
2020,EN_LKW_QLTRB,Albania,LOW,58.89857
2021,EN_LKW_QLTRB,Albania,HIGH,15.44464
2021,EN_LKW_QLTRB,Albania,LOW,56.35966
2021,EN_LKW_QLTRB,Albania,EXTREME,4.72094
2021,EN_LKW_QLTRB,Albania,MEDIUM,23.47475
2017,EN_LKW_QLTRB,Azerbaijan,LOW,57.68836
2017,EN_LKW_QLTRB,Azerbaijan,HIGH,14.29931
2017,EN_LKW_QLTRB,Azerbaijan,MEDIUM,17.74393
2017,EN_LKW_QLTRB,Azerbaijan,EXTREME,10.2684
2018,EN_LKW_QLTRB,Azerbaijan,EXTREME,11.48792
2018,EN_LKW_QLTRB,Azerbaijan,HIGH,14.81307
2018,EN_LKW_QLTRB,Azerbaijan,LOW,57.59015
2018,EN_LKW_QLTRB,Azerbaijan,MEDIUM,16.10887
2019,EN_LKW_QLTRB,Azerbaijan,MEDIUM,12.99313
2019,EN_LKW_QLTRB,Azerbaijan,EXTREME,8.28346
2019,EN_LKW_QLTRB,Azerbaijan,HIGH,12.44436
2019,EN_LKW_QLTRB,Azerbaijan,LOW,66.27905
2020,EN_LKW_QLTRB,Azerbaijan,LOW,64.65895
2020,EN_LKW_QLTRB,Azerbaijan,HIGH,12.54637
2020,EN_LKW_QLTRB,Azerbaijan,EXTREME,10.76038
2020,EN_LKW_QLTRB,Azerbaijan,MEDIUM,12.03429
2021,EN_LKW_QLTRB,Azerbaijan,MEDIUM,15.70937
2021,EN_LKW_QLTRB,Azerbaijan,EXTREME,7.03953
2021,EN_LKW_QLTRB,Azerbaijan,LOW,64.99308
2021,EN_LKW_QLTRB,Azerbaijan,HIGH,12.25801
2017,EN_LKW_QLTRB,Australia,MEDIUM,10.47036
2017,EN_LKW_QLTRB,Australia,HIGH,9.14093
2017,EN_LKW_QLTRB,Australia,EXTREME,15.26875
2017,EN_LKW_QLTRB,Australia,LOW,65.11997
2018,EN_LKW_QLTRB,Australia,EXTREME,12.74067
2018,EN_LKW_QLTRB,Australia,MEDIUM,10.32817
2018,EN_LKW_QLTRB,Australia,HIGH,8.70257
2018,EN_LKW_QLTRB,Australia,LOW,68.22859
2019,EN_LKW_QLTRB,Australia,LOW,58.44652
2019,EN_LKW_QLTRB,Australia,HIGH,10.3618
2019,EN_LKW_QLTRB,Australia,MEDIUM,10.90486
2019,EN_LKW_QLTRB,Australia,EXTREME,20.28682
2020,EN_LKW_QLTRB,Australia,LOW,56.90779
2020,EN_LKW_QLTRB,Australia,HIGH,11.61589
2020,EN_LKW_QLTRB,Australia,EXTREME,20.19546
2020,EN_LKW_QLTRB,Australia,MEDIUM,11.28085
2021,EN_LKW_QLTRB,Australia,HIGH,11.07072
2021,EN_LKW_QLTRB,Australia,MEDIUM,11.30113
2021,EN_LKW_QLTRB,Australia,EXTREME,17.86162
2021,EN_LKW_QLTRB,Australia,LOW,59.76653
2017,EN_LKW_QLTRB,Austria,EXTREME,5.6271
2017,EN_LKW_QLTRB,Austria,MEDIUM,13.63082
2017,EN_LKW_QLTRB,Austria,HIGH,10.50668
2017,EN_LKW_QLTRB,Austria,LOW,70.23541
2018,EN_LKW_QLTRB,Austria,HIGH,9.77092
2018,EN_LKW_QLTRB,Austria,LOW,67.80479
2018,EN_LKW_QLTRB,Austria,EXTREME,5.99612
2018,EN_LKW_QLTRB,Austria,MEDIUM,16.42817
2019,EN_LKW_QLTRB,Austria,LOW,61.13164
2019,EN_LKW_QLTRB,Austria,MEDIUM,16.87308
2019,EN_LKW_QLTRB,Austria,HIGH,14.91819
2019,EN_LKW_QLTRB,Austria,EXTREME,7.07708
2020,EN_LKW_QLTRB,Austria,MEDIUM,16.4287
2020,EN_LKW_QLTRB,Austria,EXTREME,11.3865
2020,EN_LKW_QLTRB,Austria,LOW,53.72039
2020,EN_LKW_QLTRB,Austria,HIGH,18.46441
2021,EN_LKW_QLTRB,Austria,EXTREME,13.22681
2021,EN_LKW_QLTRB,Austria,MEDIUM,20.86155
2021,EN_LKW_QLTRB,Austria,HIGH,13.48289
2021,EN_LKW_QLTRB,Austria,LOW,52.42876
2017,EN_LKW_QLTRB,Armenia,LOW,75.53652
2017,EN_LKW_QLTRB,Armenia,HIGH,3.2382
2017,EN_LKW_QLTRB,Armenia,MEDIUM,6.95451
2017,EN_LKW_QLTRB,Armenia,EXTREME,14.27077
2018,EN_LKW_QLTRB,Armenia,EXTREME,12.19704
