Year,SeriesCode,GeoAreaName,Value
2000,EN_RSRV_MXWAP,Albania,0.00056
2001,EN_RSRV_MXWAP,Albania,0.00121
2002,EN_RSRV_MXWAP,Albania,0.00184
2003,EN_RSRV_MXWAP,Albania,0.00244
2004,EN_RSRV_MXWAP,Albania,0.00311
2005,EN_RSRV_MXWAP,Albania,0.0032
2006,EN_RSRV_MXWAP,Albania,0.00322
2007,EN_RSRV_MXWAP,Albania,0.00326
2008,EN_RSRV_MXWAP,Albania,0.00324
2009,EN_RSRV_MXWAP,Albania,0.00322
2010,EN_RSRV_MXWAP,Albania,0.00323
2011,EN_RSRV_MXWAP,Albania,0.00323
2004,EN_RSRV_MXWAP,Estonia,0.0
2005,EN_RSRV_MXWAP,Estonia,0.0
2006,EN_RSRV_MXWAP,Estonia,0.0
2007,EN_RSRV_MXWAP,Estonia,0.0
2008,EN_RSRV_MXWAP,Estonia,0.0
2009,EN_RSRV_MXWAP,Estonia,0.0
2010,EN_RSRV_MXWAP,Estonia,0.0
2011,EN_RSRV_MXWAP,Estonia,0.0
2012,EN_RSRV_MXWAP,Estonia,0.0
2013,EN_RSRV_MXWAP,Estonia,0.0
2014,EN_RSRV_MXWAP,Estonia,0.0
2015,EN_RSRV_MXWAP,Estonia,0.0
2016,EN_RSRV_MXWAP,Estonia,0.0
2017,EN_RSRV_MXWAP,Estonia,0.0
2018,EN_RSRV_MXWAP,Estonia,0.0
2019,EN_RSRV_MXWAP,Estonia,0.0
2020,EN_RSRV_MXWAP,Estonia,0.0
2021,EN_RSRV_MXWAP,Estonia,0.0
2022,EN_RSRV_MXWAP,Estonia,0.0
2000,EN_RSRV_MXWAP,Finland,0.01076
2001,EN_RSRV_MXWAP,Finland,0.01562
2002,EN_RSRV_MXWAP,Finland,0.02047
2003,EN_RSRV_MXWAP,Finland,0.02422
2004,EN_RSRV_MXWAP,Finland,0.02377
2005,EN_RSRV_MXWAP,Finland,0.02379
2006,EN_RSRV_MXWAP,Finland,0.02383
2007,EN_RSRV_MXWAP,Finland,0.02384
