Year,SeriesCode,GeoAreaName,Activity,Value
2007,FC_ACC_SSID,Albania,ISIC4_C,37.37
2013,FC_ACC_SSID,Albania,ISIC4_C,21.41
2019,FC_ACC_SSID,Albania,ISIC4_C,20.89
2009,FC_ACC_SSID,Azerbaijan,ISIC4_C,25.16
2013,FC_ACC_SSID,Azerbaijan,ISIC4_C,28.04
2019,FC_ACC_SSID,Azerbaijan,ISIC4_C,0.0
2021,FC_ACC_SSID,Austria,ISIC4_C,47.49
2009,FC_ACC_SSID,Armenia,ISIC4_C,35.49
2013,FC_ACC_SSID,Armenia,ISIC4_C,20.83
2020,FC_ACC_SSID,Armenia,ISIC4_C,43.44
2020,FC_ACC_SSID,Belgium,ISIC4_C,80.84
2009,FC_ACC_SSID,Bosnia and Herzegovina,ISIC4_C,59.31
2013,FC_ACC_SSID,Bosnia and Herzegovina,ISIC4_C,73.66
2019,FC_ACC_SSID,Bosnia and Herzegovina,ISIC4_C,44.38
2007,FC_ACC_SSID,Bulgaria,ISIC4_C,27.29
2009,FC_ACC_SSID,Bulgaria,ISIC4_C,31.39
2013,FC_ACC_SSID,Bulgaria,ISIC4_C,38.02
2019,FC_ACC_SSID,Bulgaria,ISIC4_C,49.26
2008,FC_ACC_SSID,Belarus,ISIC4_C,23.5
2013,FC_ACC_SSID,Belarus,ISIC4_C,13.63
2018,FC_ACC_SSID,Belarus,ISIC4_C,16.49
2006,FC_ACC_SSID,Chile,ISIC4_C,40.83
2010,FC_ACC_SSID,Chile,ISIC4_C,69.75
2012,FC_ACC_SSID,China,ISIC4_C,11.39
2006,FC_ACC_SSID,Colombia,ISIC4_C,35.5
2010,FC_ACC_SSID,Colombia,ISIC4_C,59.21
2017,FC_ACC_SSID,Colombia,ISIC4_C,59.74
2010,FC_ACC_SSID,Costa Rica,ISIC4_C,55.39
2007,FC_ACC_SSID,Croatia,ISIC4_C,74.92
2013,FC_ACC_SSID,Croatia,ISIC4_C,47.94
2019,FC_ACC_SSID,Croatia,ISIC4_C,34.66
2019,FC_ACC_SSID,Cyprus,ISIC4_C,66.13
2009,FC_ACC_SSID,Czechia,ISIC4_C,41.66
2013,FC_ACC_SSID,Czechia,ISIC4_C,47.49
2019,FC_ACC_SSID,Czechia,ISIC4_C,41.49
2020,FC_ACC_SSID,Denmark,ISIC4_C,45.04
2009,FC_ACC_SSID,Estonia,ISIC4_C,51.67
2013,FC_ACC_SSID,Estonia,ISIC4_C,42.47
2019,FC_ACC_SSID,Estonia,ISIC4_C,38.32
2020,FC_ACC_SSID,Finland,ISIC4_C,66.54
2021,FC_ACC_SSID,France,ISIC4_C,70.11
2008,FC_ACC_SSID,Georgia,ISIC4_C,32.4
2013,FC_ACC_SSID,Georgia,ISIC4_C,35.76
2019,FC_ACC_SSID,Georgia,ISIC4_C,37.96
2021,FC_ACC_SSID,Germany,ISIC4_C,51.06
2018,FC_ACC_SSID,Greece,ISIC4_C,31.25
2009,FC_ACC_SSID,Hungary,ISIC4_C,42.55
2013,FC_ACC_SSID,Hungary,ISIC4_C,28.16
2019,FC_ACC_SSID,Hungary,ISIC4_C,49.44
2014,FC_ACC_SSID,India,ISIC4_C,27.98
2022,FC_ACC_SSID,India,ISIC4_C,10.36
2020,FC_ACC_SSID,Ireland,ISIC4_C,45.76
2013,FC_ACC_SSID,Israel,ISIC4_C,50.94
2019,FC_ACC_SSID,Italy,ISIC4_C,25.94
