Year,SeriesCode,GeoAreaName,Value
2000,IT_MOB_2GNTWK,Azerbaijan,93.5
2001,IT_MOB_2GNTWK,Azerbaijan,94.0
2002,IT_MOB_2GNTWK,Azerbaijan,95.0
2003,IT_MOB_2GNTWK,Azerbaijan,95.0
2004,IT_MOB_2GNTWK,Azerbaijan,97.0
2005,IT_MOB_2GNTWK,Azerbaijan,99.0
2006,IT_MOB_2GNTWK,Azerbaijan,95.0
2007,IT_MOB_2GNTWK,Azerbaijan,99.0
2008,IT_MOB_2GNTWK,Azerbaijan,99.0
2009,IT_MOB_2GNTWK,Azerbaijan,99.6
2010,IT_MOB_2GNTWK,Azerbaijan,100.0
2011,IT_MOB_2GNTWK,Azerbaijan,100.0
2012,IT_MOB_2GNTWK,Azerbaijan,100.0
2013,IT_MOB_2GNTWK,Azerbaijan,100.0
2014,IT_MOB_2GNTWK,Azerbaijan,100.0
2015,IT_MOB_2GNTWK,Azerbaijan,100.0
2016,IT_MOB_2GNTWK,Azerbaijan,100.0
2017,IT_MOB_2GNTWK,Azerbaijan,100.0
2018,IT_MOB_2GNTWK,Azerbaijan,100.0
2019,IT_MOB_2GNTWK,Azerbaijan,100.0
2020,IT_MOB_2GNTWK,Azerbaijan,100.0
2021,IT_MOB_2GNTWK,Azerbaijan,100.0
2000,IT_MOB_2GNTWK,Australia,95.6
2001,IT_MOB_2GNTWK,Australia,96.0
2002,IT_MOB_2GNTWK,Australia,96.0
2003,IT_MOB_2GNTWK,Australia,96.0
2004,IT_MOB_2GNTWK,Australia,96.0
2005,IT_MOB_2GNTWK,Australia,98.0
2006,IT_MOB_2GNTWK,Australia,98.1
2007,IT_MOB_2GNTWK,Australia,98.8
2008,IT_MOB_2GNTWK,Australia,98.8
2009,IT_MOB_2GNTWK,Australia,99.0
2010,IT_MOB_2GNTWK,Australia,99.0
2011,IT_MOB_2GNTWK,Australia,99.0
2012,IT_MOB_2GNTWK,Australia,99.0
2013,IT_MOB_2GNTWK,Australia,99.0
2014,IT_MOB_2GNTWK,Australia,99.0
2015,IT_MOB_2GNTWK,Australia,99.0
2016,IT_MOB_2GNTWK,Australia,99.3
2017,IT_MOB_2GNTWK,Australia,99.4
2018,IT_MOB_2GNTWK,Australia,99.4
2019,IT_MOB_2GNTWK,Australia,99.5
2020,IT_MOB_2GNTWK,Australia,99.5
2021,IT_MOB_2GNTWK,Australia,99.5
2000,IT_MOB_2GNTWK,Austria,98.0
2001,IT_MOB_2GNTWK,Austria,98.0
2002,IT_MOB_2GNTWK,Austria,98.0
2003,IT_MOB_2GNTWK,Austria,98.0
2004,IT_MOB_2GNTWK,Austria,98.5
2005,IT_MOB_2GNTWK,Austria,98.5
2006,IT_MOB_2GNTWK,Austria,98.5
2007,IT_MOB_2GNTWK,Austria,98.5
2008,IT_MOB_2GNTWK,Austria,99.0
2009,IT_MOB_2GNTWK,Austria,99.0
2000,IT_MOB_2GNTWK,Slovakia,98.0
2001,IT_MOB_2GNTWK,Slovakia,98.0
2002,IT_MOB_2GNTWK,Slovakia,98.0
2003,IT_MOB_2GNTWK,Slovakia,99.0
2004,IT_MOB_2GNTWK,Slovakia,99.0
2005,IT_MOB_2GNTWK,Slovakia,99.5
2006,IT_MOB_2GNTWK,Slovakia,99.7
2007,IT_MOB_2GNTWK,Slovakia,99.8
2008,IT_MOB_2GNTWK,Slovakia,99.82
2009,IT_MOB_2GNTWK,Slovakia,99.84
2010,IT_MOB_2GNTWK,Slovakia,99.85
2010,IT_MOB_2GNTWK,Austria,99.0
2011,IT_MOB_2GNTWK,Austria,99.0
2012,IT_MOB_2GNTWK,Austria,99.0
2013,IT_MOB_2GNTWK,Austria,99.0
2014,IT_MOB_2GNTWK,Austria,99.0
2015,IT_MOB_2GNTWK,Austria,99.0
2016,IT_MOB_2GNTWK,Austria,99.0
2017,IT_MOB_2GNTWK,Austria,99.0
2018,IT_MOB_2GNTWK,Austria,99.0
2019,IT_MOB_2GNTWK,Austria,99.0
2020,IT_MOB_2GNTWK,Austria,99.0
2021,IT_MOB_2GNTWK,Austria,99.0
2001,IT_MOB_2GNTWK,Armenia,38.0
2014,IT_MOB_4GNTWK,Albania,0.0
2015,IT_MOB_4GNTWK,Albania,35.0
2016,IT_MOB_4GNTWK,Albania,80.2
2017,IT_MOB_4GNTWK,Albania,85.3
2018,IT_MOB_4GNTWK,Albania,85.5
2019,IT_MOB_4GNTWK,Albania,95.0
2020,IT_MOB_4GNTWK,Albania,98.38
2021,IT_MOB_4GNTWK,Albania,98.9
2012,IT_MOB_4GNTWK,Azerbaijan,6.68
2013,IT_MOB_4GNTWK,Azerbaijan,14.31
2014,IT_MOB_4GNTWK,Azerbaijan,49.0
2015,IT_MOB_4GNTWK,Azerbaijan,39.0
2016,IT_MOB_4GNTWK,Azerbaijan,41.0
2001,IT_MOB_2GNTWK,Albania,84.0
2002,IT_MOB_2GNTWK,Albania,90.0
2003,IT_MOB_2GNTWK,Albania,90.4
2004,IT_MOB_2GNTWK,Albania,89.0
2005,IT_MOB_2GNTWK,Albania,91.0
2006,IT_MOB_2GNTWK,Albania,96.5
2007,IT_MOB_2GNTWK,Albania,96.5
2008,IT_MOB_2GNTWK,Albania,99.3
2010,IT_MOB_2GNTWK,Albania,98.2
2011,IT_MOB_2GNTWK,Albania,99.0
2012,IT_MOB_2GNTWK,Albania,99.0
2013,IT_MOB_2GNTWK,Albania,100.0
2011,IT_MOB_2GNTWK,Slovakia,100.0
2012,IT_MOB_2GNTWK,Slovakia,100.0
2013,IT_MOB_2GNTWK,Slovakia,100.0
2014,IT_MOB_2GNTWK,Slovakia,100.0
2015,IT_MOB_2GNTWK,Slovakia,100.0
2016,IT_MOB_2GNTWK,Slovakia,100.0
2017,IT_MOB_2GNTWK,Slovakia,100.0
2018,IT_MOB_2GNTWK,Slovakia,100.0
2019,IT_MOB_2GNTWK,Slovakia,100.0
2020,IT_MOB_2GNTWK,Slovakia,100.0
2021,IT_MOB_2GNTWK,Slovakia,100.0
2006,IT_MOB_2GNTWK,Viet Nam,70.0
2003,IT_MOB_2GNTWK,Armenia,83.4
2004,IT_MOB_2GNTWK,Armenia,84.0
2005,IT_MOB_2GNTWK,Armenia,85.17
2006,IT_MOB_2GNTWK,Armenia,87.8
2009,IT_MOB_2GNTWK,Armenia,95.0
2010,IT_MOB_2GNTWK,Armenia,98.9
2011,IT_MOB_2GNTWK,Armenia,98.0
2012,IT_MOB_2GNTWK,Armenia,99.8
2013,IT_MOB_2GNTWK,Armenia,100.0
2014,IT_MOB_2GNTWK,Armenia,100.0
2015,IT_MOB_2GNTWK,Armenia,100.0
2016,IT_MOB_2GNTWK,Armenia,100.0
2017,IT_MOB_2GNTWK,Armenia,100.0
2017,IT_MOB_4GNTWK,Azerbaijan,42.0
2018,IT_MOB_4GNTWK,Azerbaijan,49.0
2019,IT_MOB_4GNTWK,Azerbaijan,93.0
2020,IT_MOB_4GNTWK,Azerbaijan,93.0
2021,IT_MOB_4GNTWK,Azerbaijan,94.0
2012,IT_MOB_4GNTWK,Australia,52.21
2013,IT_MOB_4GNTWK,Australia,85.0
2014,IT_MOB_4GNTWK,Australia,95.0
2015,IT_MOB_4GNTWK,Australia,94.0
2016,IT_MOB_4GNTWK,Australia,98.0
2017,IT_MOB_4GNTWK,Australia,99.0
2018,IT_MOB_2GNTWK,Armenia,100.0
2019,IT_MOB_2GNTWK,Armenia,100.0
2020,IT_MOB_2GNTWK,Armenia,100.0
2021,IT_MOB_2GNTWK,Armenia,100.0
2000,IT_MOB_2GNTWK,Belgium,99.0
2001,IT_MOB_2GNTWK,Belgium,99.0
2002,IT_MOB_2GNTWK,Belgium,99.0
2003,IT_MOB_2GNTWK,Belgium,99.0
2004,IT_MOB_2GNTWK,Belgium,99.0
2005,IT_MOB_2GNTWK,Belgium,99.0
2006,IT_MOB_2GNTWK,Belgium,99.9
2015,IT_MOB_2GNTWK,Viet Nam,94.0
2016,IT_MOB_2GNTWK,Viet Nam,94.0
2017,IT_MOB_2GNTWK,Viet Nam,99.5
2018,IT_MOB_2GNTWK,Viet Nam,99.6
2019,IT_MOB_2GNTWK,Viet Nam,99.8
2020,IT_MOB_2GNTWK,Viet Nam,99.8
2021,IT_MOB_2GNTWK,Viet Nam,99.8
2000,IT_MOB_2GNTWK,Slovenia,97.8
2001,IT_MOB_2GNTWK,Slovenia,98.4
2002,IT_MOB_2GNTWK,Slovenia,99.0
2003,IT_MOB_2GNTWK,Slovenia,99.0
2004,IT_MOB_2GNTWK,Slovenia,99.0
2007,IT_MOB_2GNTWK,Belgium,99.9
2008,IT_MOB_2GNTWK,Belgium,99.9
2009,IT_MOB_2GNTWK,Belgium,99.9
2010,IT_MOB_2GNTWK,Belgium,99.9
2011,IT_MOB_2GNTWK,Belgium,99.9
2012,IT_MOB_2GNTWK,Belgium,99.9
2013,IT_MOB_2GNTWK,Belgium,99.9
2014,IT_MOB_2GNTWK,Belgium,99.9
2015,IT_MOB_2GNTWK,Belgium,100.0
2016,IT_MOB_2GNTWK,Belgium,100.0
2017,IT_MOB_2GNTWK,Belgium,100.0
2018,IT_MOB_2GNTWK,Belgium,100.0
2019,IT_MOB_2GNTWK,Belgium,100.0
2018,IT_MOB_4GNTWK,Australia,99.2
2019,IT_MOB_4GNTWK,Australia,99.4
2020,IT_MOB_4GNTWK,Australia,99.5
2021,IT_MOB_4GNTWK,Australia,99.5
2012,IT_MOB_4GNTWK,Austria,31.57
2013,IT_MOB_4GNTWK,Austria,58.41
2014,IT_MOB_4GNTWK,Austria,85.0
2015,IT_MOB_4GNTWK,Austria,98.0
2016,IT_MOB_4GNTWK,Austria,98.0
2017,IT_MOB_4GNTWK,Austria,98.0
2018,IT_MOB_4GNTWK,Austria,98.0
2019,IT_MOB_4GNTWK,Austria,98.0
2020,IT_MOB_4GNTWK,Austria,98.0
2021,IT_MOB_4GNTWK,Austria,98.0
2012,IT_MOB_4GNTWK,Armenia,17.54
2013,IT_MOB_4GNTWK,Armenia,44.0
2014,IT_MOB_4GNTWK,Armenia,46.0
2015,IT_MOB_4GNTWK,Armenia,46.5
2016,IT_MOB_4GNTWK,Armenia,52.48
2017,IT_MOB_4GNTWK,Armenia,90.05
2018,IT_MOB_4GNTWK,Armenia,99.1
2020,IT_MOB_2GNTWK,Belgium,100.0
2021,IT_MOB_2GNTWK,Belgium,100.0
2000,IT_MOB_2GNTWK,Bosnia and Herzegovina,60.0
2001,IT_MOB_2GNTWK,Bosnia and Herzegovina,80.0
2002,IT_MOB_2GNTWK,Bosnia and Herzegovina,90.0
2003,IT_MOB_2GNTWK,Bosnia and Herzegovina,93.0
2004,IT_MOB_2GNTWK,Bosnia and Herzegovina,95.0
2005,IT_MOB_2GNTWK,Bosnia and Herzegovina,97.0
2006,IT_MOB_2GNTWK,Bosnia and Herzegovina,99.0
2007,IT_MOB_2GNTWK,Bosnia and Herzegovina,99.0
2008,IT_MOB_2GNTWK,Bosnia and Herzegovina,99.3
2019,IT_MOB_4GNTWK,Armenia,99.3
2020,IT_MOB_4GNTWK,Armenia,100.0
2021,IT_MOB_4GNTWK,Armenia,100.0
2012,IT_MOB_4GNTWK,Belgium,12.23
2013,IT_MOB_4GNTWK,Belgium,51.7
2014,IT_MOB_4GNTWK,Belgium,88.0
2015,IT_MOB_4GNTWK,Belgium,99.89
2016,IT_MOB_4GNTWK,Belgium,100.0
2017,IT_MOB_4GNTWK,Belgium,100.0
2018,IT_MOB_4GNTWK,Belgium,100.0
2019,IT_MOB_4GNTWK,Belgium,100.0
2020,IT_MOB_4GNTWK,Belgium,100.0
2021,IT_MOB_4GNTWK,Belgium,100.0
2005,IT_MOB_2GNTWK,Slovenia,99.4
2006,IT_MOB_2GNTWK,Slovenia,99.6
2007,IT_MOB_2GNTWK,Slovenia,99.6
2008,IT_MOB_2GNTWK,Slovenia,99.6
2009,IT_MOB_2GNTWK,Slovenia,99.7
2010,IT_MOB_2GNTWK,Slovenia,99.7
2011,IT_MOB_2GNTWK,Slovenia,99.7
2012,IT_MOB_2GNTWK,Slovenia,99.7
2013,IT_MOB_2GNTWK,Slovenia,99.7
2014,IT_MOB_2GNTWK,Slovenia,99.7
2015,IT_MOB_2GNTWK,Slovenia,99.7
2016,IT_MOB_2GNTWK,Slovenia,99.7
2009,IT_MOB_2GNTWK,Bosnia and Herzegovina,99.5
2010,IT_MOB_2GNTWK,Bosnia and Herzegovina,99.7
2011,IT_MOB_2GNTWK,Bosnia and Herzegovina,99.7
2012,IT_MOB_2GNTWK,Bosnia and Herzegovina,99.8
2013,IT_MOB_2GNTWK,Bosnia and Herzegovina,99.8
2014,IT_MOB_2GNTWK,Bosnia and Herzegovina,99.8
2015,IT_MOB_2GNTWK,Bosnia and Herzegovina,100.0
2016,IT_MOB_2GNTWK,Bosnia and Herzegovina,100.0
2017,IT_MOB_2GNTWK,Bosnia and Herzegovina,100.0
2018,IT_MOB_2GNTWK,Bosnia and Herzegovina,100.0
2019,IT_MOB_2GNTWK,Bosnia and Herzegovina,100.0
2020,IT_MOB_2GNTWK,Bosnia and Herzegovina,100.0
2021,IT_MOB_2GNTWK,Bosnia and Herzegovina,100.0
2000,IT_MOB_2GNTWK,Bulgaria,95.0
2001,IT_MOB_2GNTWK,Bulgaria,95.0
2002,IT_MOB_2GNTWK,Bulgaria,95.73
2003,IT_MOB_2GNTWK,Bulgaria,99.36
2005,IT_MOB_2GNTWK,Bulgaria,99.7
2006,IT_MOB_2GNTWK,Bulgaria,99.82
2007,IT_MOB_2GNTWK,Bulgaria,99.95
2008,IT_MOB_2GNTWK,Bulgaria,99.96
2009,IT_MOB_2GNTWK,Bulgaria,99.97
2010,IT_MOB_2GNTWK,Bulgaria,99.99
2011,IT_MOB_2GNTWK,Bulgaria,99.99
2017,IT_MOB_2GNTWK,Slovenia,99.8
2018,IT_MOB_2GNTWK,Slovenia,99.8
2019,IT_MOB_2GNTWK,Slovenia,99.84
2020,IT_MOB_2GNTWK,Slovenia,99.92
2021,IT_MOB_2GNTWK,Slovenia,99.99
2000,IT_MOB_2GNTWK,Spain,99.0
2001,IT_MOB_2GNTWK,Spain,99.0
2002,IT_MOB_2GNTWK,Spain,99.0
2003,IT_MOB_2GNTWK,Spain,99.0
2004,IT_MOB_2GNTWK,Spain,99.0
2005,IT_MOB_2GNTWK,Spain,99.0
2006,IT_MOB_2GNTWK,Spain,99.0
2012,IT_MOB_2GNTWK,Bulgaria,99.99
2013,IT_MOB_2GNTWK,Bulgaria,99.99
2014,IT_MOB_2GNTWK,Bulgaria,99.99
2015,IT_MOB_2GNTWK,Bulgaria,99.99
2016,IT_MOB_2GNTWK,Bulgaria,99.99
2017,IT_MOB_2GNTWK,Bulgaria,99.99
2018,IT_MOB_2GNTWK,Bulgaria,99.99
2019,IT_MOB_2GNTWK,Bulgaria,99.99
2020,IT_MOB_2GNTWK,Bulgaria,99.99
2021,IT_MOB_2GNTWK,Bulgaria,99.99
2002,IT_MOB_2GNTWK,Belarus,87.0
2007,IT_MOB_2GNTWK,Spain,99.0
2008,IT_MOB_2GNTWK,Spain,99.0
2009,IT_MOB_2GNTWK,Spain,99.8
2010,IT_MOB_2GNTWK,Spain,99.8
2011,IT_MOB_2GNTWK,Spain,99.8
2012,IT_MOB_2GNTWK,Spain,99.8
2013,IT_MOB_2GNTWK,Spain,99.8
2014,IT_MOB_2GNTWK,Spain,99.8
2015,IT_MOB_2GNTWK,Spain,99.8
2016,IT_MOB_2GNTWK,Spain,99.8
2017,IT_MOB_2GNTWK,Spain,99.8
2018,IT_MOB_2GNTWK,Spain,99.8
2019,IT_MOB_2GNTWK,Spain,99.8
2014,IT_MOB_4GNTWK,Bosnia and Herzegovina,0.0
2015,IT_MOB_4GNTWK,Bosnia and Herzegovina,0.0
2016,IT_MOB_4GNTWK,Bosnia and Herzegovina,0.0
2017,IT_MOB_4GNTWK,Bosnia and Herzegovina,0.0
2018,IT_MOB_4GNTWK,Bosnia and Herzegovina,0.0
2019,IT_MOB_4GNTWK,Bosnia and Herzegovina,82.0
2020,IT_MOB_4GNTWK,Bosnia and Herzegovina,82.0
2021,IT_MOB_4GNTWK,Bosnia and Herzegovina,93.0
2012,IT_MOB_4GNTWK,Bulgaria,0.0
2013,IT_MOB_4GNTWK,Bulgaria,0.0
2014,IT_MOB_4GNTWK,Bulgaria,34.5
2015,IT_MOB_4GNTWK,Bulgaria,56.73
2020,IT_MOB_2GNTWK,Spain,99.8
2021,IT_MOB_2GNTWK,Spain,99.8
2001,IT_MOB_2GNTWK,Sweden,99.0
2002,IT_MOB_2GNTWK,Sweden,99.0
2003,IT_MOB_2GNTWK,Sweden,99.0
2004,IT_MOB_2GNTWK,Sweden,99.0
2005,IT_MOB_2GNTWK,Sweden,99.0
2006,IT_MOB_2GNTWK,Sweden,98.0
2007,IT_MOB_2GNTWK,Sweden,99.0
2008,IT_MOB_2GNTWK,Sweden,99.0
2009,IT_MOB_2GNTWK,Sweden,99.0
2010,IT_MOB_2GNTWK,Sweden,99.99
2016,IT_MOB_4GNTWK,Bulgaria,86.75
2017,IT_MOB_4GNTWK,Bulgaria,99.34
2018,IT_MOB_4GNTWK,Bulgaria,99.71
2019,IT_MOB_4GNTWK,Bulgaria,99.94
2020,IT_MOB_4GNTWK,Bulgaria,99.85
2021,IT_MOB_4GNTWK,Bulgaria,99.85
2014,IT_MOB_4GNTWK,Belarus,6.0
2015,IT_MOB_4GNTWK,Belarus,20.4
2016,IT_MOB_4GNTWK,Belarus,41.5
2017,IT_MOB_4GNTWK,Belarus,68.5
2018,IT_MOB_4GNTWK,Belarus,75.7
2019,IT_MOB_4GNTWK,Belarus,75.7
2011,IT_MOB_2GNTWK,Sweden,99.99
2012,IT_MOB_2GNTWK,Sweden,99.99
2014,IT_MOB_2GNTWK,Sweden,99.99
2015,IT_MOB_2GNTWK,Sweden,99.99
2016,IT_MOB_2GNTWK,Sweden,100.0
2017,IT_MOB_2GNTWK,Sweden,100.0
2018,IT_MOB_2GNTWK,Sweden,100.0
2019,IT_MOB_2GNTWK,Sweden,100.0
2020,IT_MOB_2GNTWK,Sweden,100.0
2021,IT_MOB_2GNTWK,Sweden,100.0
2000,IT_MOB_2GNTWK,Switzerland,98.0
2001,IT_MOB_2GNTWK,Switzerland,99.0
2002,IT_MOB_2GNTWK,Switzerland,99.0
2003,IT_MOB_2GNTWK,Switzerland,100.0
2004,IT_MOB_2GNTWK,Switzerland,100.0
2005,IT_MOB_2GNTWK,Switzerland,100.0
2006,IT_MOB_2GNTWK,Switzerland,100.0
2007,IT_MOB_2GNTWK,Switzerland,100.0
2008,IT_MOB_2GNTWK,Switzerland,100.0
2009,IT_MOB_2GNTWK,Switzerland,100.0
2010,IT_MOB_2GNTWK,Switzerland,100.0
2011,IT_MOB_2GNTWK,Switzerland,100.0
2012,IT_MOB_2GNTWK,Switzerland,100.0
2013,IT_MOB_2GNTWK,Switzerland,100.0
2014,IT_MOB_2GNTWK,Switzerland,100.0
2015,IT_MOB_2GNTWK,Switzerland,100.0
2016,IT_MOB_2GNTWK,Switzerland,100.0
2017,IT_MOB_2GNTWK,Switzerland,100.0
2020,IT_MOB_4GNTWK,Belarus,89.5
2021,IT_MOB_4GNTWK,Belarus,97.4
2012,IT_MOB_4GNTWK,Canada,67.0
2013,IT_MOB_4GNTWK,Canada,81.0
2014,IT_MOB_4GNTWK,Canada,93.0
2015,IT_MOB_4GNTWK,Canada,97.4
2016,IT_MOB_4GNTWK,Canada,98.5
2017,IT_MOB_4GNTWK,Canada,99.0
2018,IT_MOB_4GNTWK,Canada,99.3
2019,IT_MOB_4GNTWK,Canada,99.5
2020,IT_MOB_4GNTWK,Canada,99.5
2021,IT_MOB_4GNTWK,Canada,99.4
2013,IT_MOB_4GNTWK,Chile,34.52
2014,IT_MOB_4GNTWK,Chile,50.0
2015,IT_MOB_4GNTWK,Chile,76.0
2016,IT_MOB_4GNTWK,Chile,79.0
2017,IT_MOB_4GNTWK,Chile,88.0
2019,IT_MOB_4GNTWK,Chile,88.0
2020,IT_MOB_4GNTWK,Chile,88.0
2021,IT_MOB_4GNTWK,Chile,88.0
2013,IT_MOB_4GNTWK,China,10.0
2014,IT_MOB_4GNTWK,China,43.59
2015,IT_MOB_4GNTWK,China,85.0
2016,IT_MOB_4GNTWK,China,97.0
2017,IT_MOB_4GNTWK,China,98.0
2018,IT_MOB_4GNTWK,China,99.4
2018,IT_MOB_2GNTWK,Switzerland,100.0
2019,IT_MOB_2GNTWK,Switzerland,100.0
2020,IT_MOB_2GNTWK,Switzerland,100.0
2021,IT_MOB_2GNTWK,Switzerland,100.0
2001,IT_MOB_2GNTWK,Tajikistan,0.0
2015,IT_MOB_2GNTWK,Tajikistan,60.0
2016,IT_MOB_2GNTWK,Tajikistan,90.0
2017,IT_MOB_2GNTWK,Tajikistan,90.0
2019,IT_MOB_2GNTWK,Tajikistan,90.0
2020,IT_MOB_2GNTWK,Tajikistan,90.0
2021,IT_MOB_2GNTWK,Tajikistan,90.0
2000,IT_MOB_2GNTWK,United Arab Emirates,100.0
2001,IT_MOB_2GNTWK,United Arab Emirates,100.0
2019,IT_MOB_4GNTWK,China,99.9
2020,IT_MOB_4GNTWK,China,99.9
2021,IT_MOB_4GNTWK,China,99.9
2013,IT_MOB_4GNTWK,Colombia,10.0
2014,IT_MOB_4GNTWK,Colombia,56.0
2015,IT_MOB_4GNTWK,Colombia,81.0
2016,IT_MOB_4GNTWK,Colombia,92.0
2017,IT_MOB_4GNTWK,Colombia,96.0
2018,IT_MOB_4GNTWK,Colombia,98.0
2019,IT_MOB_4GNTWK,Colombia,98.0
2020,IT_MOB_4GNTWK,Colombia,98.0
2002,IT_MOB_2GNTWK,United Arab Emirates,100.0
2003,IT_MOB_2GNTWK,United Arab Emirates,100.0
2004,IT_MOB_2GNTWK,United Arab Emirates,100.0
2005,IT_MOB_2GNTWK,United Arab Emirates,100.0
2006,IT_MOB_2GNTWK,United Arab Emirates,100.0
2007,IT_MOB_2GNTWK,United Arab Emirates,100.0
2008,IT_MOB_2GNTWK,United Arab Emirates,100.0
2009,IT_MOB_2GNTWK,United Arab Emirates,100.0
2010,IT_MOB_2GNTWK,United Arab Emirates,100.0
2011,IT_MOB_2GNTWK,United Arab Emirates,100.0
2012,IT_MOB_2GNTWK,United Arab Emirates,100.0
2021,IT_MOB_4GNTWK,Colombia,99.5
2013,IT_MOB_4GNTWK,Costa Rica,10.0
2014,IT_MOB_4GNTWK,Costa Rica,21.0
2015,IT_MOB_4GNTWK,Costa Rica,68.9
2016,IT_MOB_4GNTWK,Costa Rica,71.0
2017,IT_MOB_4GNTWK,Costa Rica,82.2
2018,IT_MOB_4GNTWK,Costa Rica,86.54
2019,IT_MOB_4GNTWK,Costa Rica,93.8
2020,IT_MOB_4GNTWK,Costa Rica,93.0
2021,IT_MOB_4GNTWK,Costa Rica,93.0
2012,IT_MOB_4GNTWK,Croatia,13.9
2013,IT_MOB_4GNTWK,Croatia,23.0
2014,IT_MOB_4GNTWK,Croatia,45.0
2015,IT_MOB_4GNTWK,Croatia,98.0
2016,IT_MOB_4GNTWK,Croatia,96.85
2017,IT_MOB_4GNTWK,Croatia,98.31
2018,IT_MOB_4GNTWK,Croatia,98.5
2019,IT_MOB_4GNTWK,Croatia,99.44
2020,IT_MOB_4GNTWK,Croatia,99.53
2021,IT_MOB_4GNTWK,Croatia,99.45
2014,IT_MOB_4GNTWK,Cyprus,0.0
2015,IT_MOB_4GNTWK,Cyprus,60.0
2016,IT_MOB_4GNTWK,Cyprus,73.0
2017,IT_MOB_4GNTWK,Cyprus,96.0
2013,IT_MOB_2GNTWK,United Arab Emirates,100.0
2014,IT_MOB_2GNTWK,United Arab Emirates,100.0
2015,IT_MOB_2GNTWK,United Arab Emirates,100.0
2016,IT_MOB_2GNTWK,United Arab Emirates,100.0
2017,IT_MOB_2GNTWK,United Arab Emirates,100.0
2018,IT_MOB_2GNTWK,United Arab Emirates,100.0
2019,IT_MOB_2GNTWK,United Arab Emirates,100.0
2020,IT_MOB_2GNTWK,United Arab Emirates,100.0
2021,IT_MOB_2GNTWK,United Arab Emirates,100.0
2000,IT_MOB_2GNTWK,Türkiye,50.2
2001,IT_MOB_2GNTWK,Türkiye,87.5
2002,IT_MOB_2GNTWK,Türkiye,88.2
2003,IT_MOB_2GNTWK,Türkiye,94.96
2018,IT_MOB_4GNTWK,Cyprus,97.53
2019,IT_MOB_4GNTWK,Cyprus,99.6
2020,IT_MOB_4GNTWK,Cyprus,99.93
2021,IT_MOB_4GNTWK,Cyprus,99.91
2012,IT_MOB_4GNTWK,Czechia,0.0
2013,IT_MOB_4GNTWK,Czechia,0.0
2014,IT_MOB_4GNTWK,Czechia,92.1
2015,IT_MOB_4GNTWK,Czechia,98.7
2016,IT_MOB_4GNTWK,Czechia,99.7
2017,IT_MOB_4GNTWK,Czechia,99.8
2018,IT_MOB_4GNTWK,Czechia,99.8
2019,IT_MOB_4GNTWK,Czechia,99.8
2003,IT_MOB_2GNTWK,Belarus,87.0
2004,IT_MOB_2GNTWK,Belarus,88.0
2005,IT_MOB_2GNTWK,Belarus,90.0
2006,IT_MOB_2GNTWK,Belarus,92.5
2007,IT_MOB_2GNTWK,Belarus,96.6
2008,IT_MOB_2GNTWK,Belarus,98.6
2009,IT_MOB_2GNTWK,Belarus,99.4
2010,IT_MOB_2GNTWK,Belarus,99.7
2011,IT_MOB_2GNTWK,Belarus,99.7
2012,IT_MOB_2GNTWK,Belarus,99.7
2013,IT_MOB_2GNTWK,Belarus,99.9
2014,IT_MOB_2GNTWK,Belarus,99.8
2004,IT_MOB_2GNTWK,Türkiye,95.0
2005,IT_MOB_2GNTWK,Türkiye,96.3
2006,IT_MOB_2GNTWK,Türkiye,98.76
2007,IT_MOB_2GNTWK,Türkiye,98.01
2008,IT_MOB_2GNTWK,Türkiye,100.0
2009,IT_MOB_2GNTWK,Türkiye,100.0
2010,IT_MOB_2GNTWK,Türkiye,100.0
2013,IT_MOB_2GNTWK,Türkiye,98.0
2014,IT_MOB_2GNTWK,Türkiye,98.0
2015,IT_MOB_2GNTWK,Türkiye,98.51
2016,IT_MOB_2GNTWK,Türkiye,99.67
2017,IT_MOB_2GNTWK,Türkiye,99.84
2018,IT_MOB_2GNTWK,Türkiye,99.69
2019,IT_MOB_2GNTWK,Türkiye,99.7
2020,IT_MOB_2GNTWK,Türkiye,99.7
2021,IT_MOB_2GNTWK,Türkiye,99.75
2001,IT_MOB_2GNTWK,Turkmenistan,12.4
2005,IT_MOB_2GNTWK,Turkmenistan,13.7
2006,IT_MOB_2GNTWK,Turkmenistan,13.7
