Year,SeriesCode,GeoAreaName,Age,Sex,Value
2000,SI_POV_EMP1,Albania,15-24,BOTHSEX,3.98
2000,SI_POV_EMP1,Albania,15-24,MALE,2.39
2000,SI_POV_EMP1,Albania,25+,BOTHSEX,0.94
2000,SI_POV_EMP1,Albania,25+,MALE,0.89
2000,SI_POV_EMP1,Albania,15+,BOTHSEX,1.48
2000,SI_POV_EMP1,Albania,15-24,FEMALE,5.64
2000,SI_POV_EMP1,Albania,25+,FEMALE,1.03
2000,SI_POV_EMP1,Albania,15+,FEMALE,1.97
2000,SI_POV_EMP1,Albania,15+,MALE,1.12
2001,SI_POV_EMP1,Albania,15-24,MALE,1.6
2001,SI_POV_EMP1,Albania,25+,MALE,0.59
2001,SI_POV_EMP1,Albania,15-24,FEMALE,3.8
2001,SI_POV_EMP1,Albania,25+,BOTHSEX,0.63
2001,SI_POV_EMP1,Albania,25+,FEMALE,0.68
2001,SI_POV_EMP1,Albania,15+,BOTHSEX,0.98
2001,SI_POV_EMP1,Albania,15+,FEMALE,1.3
2001,SI_POV_EMP1,Albania,15+,MALE,0.75
2001,SI_POV_EMP1,Albania,15-24,BOTHSEX,2.64
2002,SI_POV_EMP1,Albania,15-24,BOTHSEX,1.53
2002,SI_POV_EMP1,Albania,15+,FEMALE,0.74
2002,SI_POV_EMP1,Albania,15+,MALE,0.43
2002,SI_POV_EMP1,Albania,15+,BOTHSEX,0.56
2002,SI_POV_EMP1,Albania,25+,MALE,0.34
2002,SI_POV_EMP1,Albania,15-24,FEMALE,2.23
2002,SI_POV_EMP1,Albania,25+,FEMALE,0.38
2002,SI_POV_EMP1,Albania,25+,BOTHSEX,0.35
2002,SI_POV_EMP1,Albania,15-24,MALE,0.91
2003,SI_POV_EMP1,Albania,15-24,BOTHSEX,0.91
2003,SI_POV_EMP1,Albania,25+,MALE,0.2
2003,SI_POV_EMP1,Albania,15-24,FEMALE,1.35
2003,SI_POV_EMP1,Albania,15+,MALE,0.25
2003,SI_POV_EMP1,Albania,15+,FEMALE,0.44
2003,SI_POV_EMP1,Albania,25+,BOTHSEX,0.21
2003,SI_POV_EMP1,Albania,15-24,MALE,0.53
2003,SI_POV_EMP1,Albania,15+,BOTHSEX,0.33
2003,SI_POV_EMP1,Albania,25+,FEMALE,0.23
2004,SI_POV_EMP1,Albania,15-24,MALE,0.51
2004,SI_POV_EMP1,Albania,15-24,BOTHSEX,0.87
2004,SI_POV_EMP1,Albania,15+,MALE,0.24
2004,SI_POV_EMP1,Albania,15-24,FEMALE,1.3
2004,SI_POV_EMP1,Albania,25+,BOTHSEX,0.2
2004,SI_POV_EMP1,Albania,25+,FEMALE,0.22
2004,SI_POV_EMP1,Albania,15+,FEMALE,0.41
2004,SI_POV_EMP1,Albania,25+,MALE,0.19
2004,SI_POV_EMP1,Albania,15+,BOTHSEX,0.31
2005,SI_POV_EMP1,Albania,15+,BOTHSEX,0.25
2005,SI_POV_EMP1,Albania,15-24,FEMALE,1.09
2005,SI_POV_EMP1,Albania,25+,FEMALE,0.18
2005,SI_POV_EMP1,Albania,15+,FEMALE,0.33
2005,SI_POV_EMP1,Albania,15-24,BOTHSEX,0.72
2005,SI_POV_EMP1,Albania,25+,BOTHSEX,0.17
2005,SI_POV_EMP1,Albania,15+,MALE,0.2
2005,SI_POV_EMP1,Albania,25+,MALE,0.16
2005,SI_POV_EMP1,Albania,15-24,MALE,0.42
2006,SI_POV_EMP1,Albania,25+,MALE,0.12
2006,SI_POV_EMP1,Albania,15-24,MALE,0.31
2006,SI_POV_EMP1,Albania,25+,FEMALE,0.14
2006,SI_POV_EMP1,Albania,15-24,FEMALE,0.83
2006,SI_POV_EMP1,Albania,25+,BOTHSEX,0.13
2006,SI_POV_EMP1,Albania,15+,BOTHSEX,0.19
2006,SI_POV_EMP1,Albania,15+,FEMALE,0.25
2006,SI_POV_EMP1,Albania,15-24,BOTHSEX,0.54
2006,SI_POV_EMP1,Albania,15+,MALE,0.15
2007,SI_POV_EMP1,Albania,15-24,FEMALE,0.56
2007,SI_POV_EMP1,Albania,15-24,MALE,0.21
2007,SI_POV_EMP1,Albania,15+,FEMALE,0.16
2007,SI_POV_EMP1,Albania,25+,MALE,0.08
2007,SI_POV_EMP1,Albania,15+,BOTHSEX,0.12
2007,SI_POV_EMP1,Albania,25+,FEMALE,0.09
2007,SI_POV_EMP1,Albania,15-24,BOTHSEX,0.36
2007,SI_POV_EMP1,Albania,15+,MALE,0.09
2007,SI_POV_EMP1,Albania,25+,BOTHSEX,0.08
2008,SI_POV_EMP1,Albania,25+,BOTHSEX,0.07
2008,SI_POV_EMP1,Albania,15-24,BOTHSEX,0.28
2008,SI_POV_EMP1,Albania,15-24,FEMALE,0.43
2008,SI_POV_EMP1,Albania,15-24,MALE,0.16
2008,SI_POV_EMP1,Albania,15+,FEMALE,0.12
2008,SI_POV_EMP1,Albania,15+,BOTHSEX,0.09
2008,SI_POV_EMP1,Albania,15+,MALE,0.07
2008,SI_POV_EMP1,Albania,25+,FEMALE,0.07
2008,SI_POV_EMP1,Albania,25+,MALE,0.06
2009,SI_POV_EMP1,Albania,15-24,BOTHSEX,0.35
2009,SI_POV_EMP1,Albania,15-24,MALE,0.21
2009,SI_POV_EMP1,Albania,25+,MALE,0.09
2009,SI_POV_EMP1,Albania,15+,FEMALE,0.15
2009,SI_POV_EMP1,Albania,15-24,FEMALE,0.56
2009,SI_POV_EMP1,Albania,15+,MALE,0.1
2009,SI_POV_EMP1,Albania,25+,FEMALE,0.09
2009,SI_POV_EMP1,Albania,15+,BOTHSEX,0.12
2009,SI_POV_EMP1,Albania,25+,BOTHSEX,0.09
2010,SI_POV_EMP1,Albania,15+,BOTHSEX,0.18
2010,SI_POV_EMP1,Albania,25+,FEMALE,0.14
2010,SI_POV_EMP1,Albania,15-24,MALE,0.31
2010,SI_POV_EMP1,Albania,15-24,BOTHSEX,0.51
2010,SI_POV_EMP1,Albania,25+,BOTHSEX,0.14
2010,SI_POV_EMP1,Albania,15+,FEMALE,0.21
2010,SI_POV_EMP1,Albania,15-24,FEMALE,0.82
2010,SI_POV_EMP1,Albania,25+,MALE,0.13
2010,SI_POV_EMP1,Albania,15+,MALE,0.15
2011,SI_POV_EMP1,Albania,25+,MALE,0.13
2011,SI_POV_EMP1,Albania,15-24,FEMALE,0.9
2011,SI_POV_EMP1,Albania,25+,FEMALE,0.14
2011,SI_POV_EMP1,Albania,15+,FEMALE,0.25
2011,SI_POV_EMP1,Albania,25+,BOTHSEX,0.14
2011,SI_POV_EMP1,Albania,15+,BOTHSEX,0.2
2011,SI_POV_EMP1,Albania,15-24,MALE,0.35
2011,SI_POV_EMP1,Albania,15-24,BOTHSEX,0.58
2011,SI_POV_EMP1,Albania,15+,MALE,0.17
2012,SI_POV_EMP1,Albania,15+,MALE,0.32
2012,SI_POV_EMP1,Albania,25+,FEMALE,0.3
