Year,SeriesCode,GeoAreaName,Quantile,Value
2017,SI_HEI_TOTL,Albania,_T,6.96
2017,SI_HEI_TOTL,Albania,B40,8.81
2018,SI_HEI_TOTL,Australia,B40,-0.49
2018,SI_HEI_TOTL,Australia,_T,-0.26
2020,SI_HEI_TOTL,Austria,_T,1.29
2020,SI_HEI_TOTL,Austria,B40,1.61
2018,SI_HEI_TOTL,Armenia,_T,2.4
2018,SI_HEI_TOTL,Armenia,B40,1.26
2020,SI_HEI_TOTL,Belgium,B40,2.2
2020,SI_HEI_TOTL,Belgium,_T,1.09
2020,SI_HEI_TOTL,Bulgaria,_T,9.91
2020,SI_HEI_TOTL,Bulgaria,B40,10.13
2020,SI_HEI_TOTL,Belarus,B40,3.32
2020,SI_HEI_TOTL,Belarus,_T,2.6
2018,SI_HEI_TOTL,Canada,_T,0.86
2018,SI_HEI_TOTL,Canada,B40,1.84
2020,SI_HEI_TOTL,Chile,_T,2.5
2020,SI_HEI_TOTL,Chile,B40,1.92
2019,SI_HEI_TOTL,China,_T,6.28
2019,SI_HEI_TOTL,China,B40,7.2
2021,SI_HEI_TOTL,Colombia,B40,-2.39
2021,SI_HEI_TOTL,Colombia,_T,-1.62
2021,SI_HEI_TOTL,Costa Rica,_T,-0.4
2021,SI_HEI_TOTL,Costa Rica,B40,-0.37
2020,SI_HEI_TOTL,Croatia,_T,6.18
2020,SI_HEI_TOTL,Croatia,B40,7.12
2020,SI_HEI_TOTL,Cyprus,_T,3.26
2020,SI_HEI_TOTL,Cyprus,B40,4.64
2020,SI_HEI_TOTL,Czechia,B40,3.5
2020,SI_HEI_TOTL,Czechia,_T,3.62
2020,SI_HEI_TOTL,Denmark,B40,1.69
2020,SI_HEI_TOTL,Denmark,_T,1.59
2020,SI_HEI_TOTL,Estonia,_T,5.56
2020,SI_HEI_TOTL,Estonia,B40,6.63
2020,SI_HEI_TOTL,Finland,B40,1.38
2020,SI_HEI_TOTL,Finland,_T,1.3
2020,SI_HEI_TOTL,France,_T,-0.52
2020,SI_HEI_TOTL,France,B40,-0.11
2021,SI_HEI_TOTL,Georgia,B40,0.2
2021,SI_HEI_TOTL,Georgia,_T,-0.89
2019,SI_HEI_TOTL,Germany,_T,2.34
2019,SI_HEI_TOTL,Germany,B40,2.14
2020,SI_HEI_TOTL,Greece,B40,4.2
2020,SI_HEI_TOTL,Greece,_T,2.76
2020,SI_HEI_TOTL,Hungary,_T,6.34
2020,SI_HEI_TOTL,Hungary,B40,6.81
2017,SI_HEI_TOTL,Iceland,_T,5.26
2017,SI_HEI_TOTL,Iceland,B40,5.65
2019,SI_HEI_TOTL,India,B40,4.48
2019,SI_HEI_TOTL,India,_T,4.86
2020,SI_HEI_TOTL,Ireland,_T,4.52
2020,SI_HEI_TOTL,Ireland,B40,5.93
2018,SI_HEI_TOTL,Israel,_T,2.83
2018,SI_HEI_TOTL,Israel,B40,3.69
2020,SI_HEI_TOTL,Italy,_T,1.67
2020,SI_HEI_TOTL,Italy,B40,2.19
2018,SI_HEI_TOTL,Kazakhstan,B40,-0.3
2018,SI_HEI_TOTL,Kazakhstan,_T,-0.23
2016,SI_HEI_TOTL,Republic of Korea,B40,2.52
2016,SI_HEI_TOTL,Republic of Korea,_T,2.25
2020,SI_HEI_TOTL,Kyrgyzstan,B40,0.76
2020,SI_HEI_TOTL,Kyrgyzstan,_T,1.14
2020,SI_HEI_TOTL,Latvia,_T,6.79
2020,SI_HEI_TOTL,Latvia,B40,5.99
2020,SI_HEI_TOTL,Lithuania,B40,10.66
2020,SI_HEI_TOTL,Lithuania,_T,8.98
2020,SI_HEI_TOTL,Luxembourg,B40,4.49
2020,SI_HEI_TOTL,Luxembourg,_T,4.9
2020,SI_HEI_TOTL,Malta,B40,3.21
2020,SI_HEI_TOTL,Malta,_T,4.43
2020,SI_HEI_TOTL,Mexico,B40,0.7
2020,SI_HEI_TOTL,Mexico,_T,-0.68
2021,SI_HEI_TOTL,Republic of Moldova,_T,1.12
2021,SI_HEI_TOTL,Republic of Moldova,B40,1.3
2018,SI_HEI_TOTL,Montenegro,_T,1.9
2018,SI_HEI_TOTL,Montenegro,B40,3.43
2020,SI_HEI_TOTL,Netherlands (Kingdom of the),B40,3.07
2020,SI_HEI_TOTL,Netherlands (Kingdom of the),_T,2.1
2019,SI_HEI_TOTL,Norway,B40,-0.24
2019,SI_HEI_TOTL,Norway,_T,0.36
2019,SI_HEI_TOTL,Poland,B40,8.82
2019,SI_HEI_TOTL,Poland,_T,6.34
2020,SI_HEI_TOTL,Portugal,_T,3.86
2020,SI_HEI_TOTL,Portugal,B40,4.5
2020,SI_HEI_TOTL,Romania,B40,15.29
2020,SI_HEI_TOTL,Romania,_T,14.23
2020,SI_HEI_TOTL,Serbia,B40,13.4
2020,SI_HEI_TOTL,Serbia,_T,7.63
2019,SI_HEI_TOTL,Slovakia,B40,4.47
2019,SI_HEI_TOTL,Slovakia,_T,2.9
2020,SI_HEI_TOTL,Viet Nam,B40,4.69
2020,SI_HEI_TOTL,Viet Nam,_T,5.61
2020,SI_HEI_TOTL,Slovenia,B40,4.54
2020,SI_HEI_TOTL,Slovenia,_T,3.73
2020,SI_HEI_TOTL,Spain,_T,1.99
2020,SI_HEI_TOTL,Spain,B40,2.68
2020,SI_HEI_TOTL,Sweden,B40,1.29
2020,SI_HEI_TOTL,Sweden,_T,1.3
2018,SI_HEI_TOTL,Switzerland,_T,0.08
2018,SI_HEI_TOTL,Switzerland,B40,-0.34
2015,SI_HEI_TOTL,Tajikistan,B40,1.32
2015,SI_HEI_TOTL,Tajikistan,_T,2.67
2018,SI_HEI_TOTL,United Arab Emirates,_T,1.84
2018,SI_HEI_TOTL,United Arab Emirates,B40,7.08
2019,SI_HEI_TOTL,Türkiye,B40,0.85
2019,SI_HEI_TOTL,Türkiye,_T,1.47
2020,SI_HEI_TOTL,Ukraine,_T,4.12
2020,SI_HEI_TOTL,Ukraine,B40,4.13
2019,SI_HEI_TOTL,North Macedonia,B40,6.09
2019,SI_HEI_TOTL,North Macedonia,_T,5.34
2020,SI_HEI_TOTL,United Kingdom of Great Britain and Northern Ireland,B40,0.84
2020,SI_HEI_TOTL,United Kingdom of Great Britain and Northern Ireland,_T,0.57
2020,SI_HEI_TOTL,United Kingdom of Great Britain and Northern Ireland,_T,0.57
