Year,SeriesCode,GeoAreaName,Value
2015,SG_HAZ_CMRROTDAM,Malta,9.8
2020,SG_HAZ_CMRROTDAM,Malta,87.93
2015,SG_HAZ_CMRROTDAM,Mexico,92.16
2020,SG_HAZ_CMRROTDAM,Mexico,81.03
2015,SG_HAZ_CMRROTDAM,Republic of Moldova,78.43
2020,SG_HAZ_CMRROTDAM,Republic of Moldova,84.48
2015,SG_HAZ_CMRROTDAM,Montenegro,0.0
2020,SG_HAZ_CMRROTDAM,Montenegro,96.55
2015,SG_HAZ_CMRROTDAM,Netherlands (Kingdom of the),100.0
2020,SG_HAZ_CMRROTDAM,Netherlands (Kingdom of the),96.55
2015,SG_HAZ_CMRROTDAM,New Zealand,90.2
2020,SG_HAZ_CMRROTDAM,New Zealand,79.31
2015,SG_HAZ_CMRROTDAM,Norway,94.12
2020,SG_HAZ_CMRROTDAM,Norway,93.1
2015,SG_HAZ_CMRROTDAM,Poland,100.0
2020,SG_HAZ_CMRROTDAM,Poland,96.55
2015,SG_HAZ_CMRROTDAM,Portugal,100.0
2020,SG_HAZ_CMRROTDAM,Portugal,96.55
2015,SG_HAZ_CMRROTDAM,Romania,100.0
2020,SG_HAZ_CMRROTDAM,Romania,96.55
2015,SG_HAZ_CMRROTDAM,Serbia,100.0
2020,SG_HAZ_CMRROTDAM,Serbia,96.55
2015,SG_HAZ_CMRROTDAM,Slovakia,100.0
2020,SG_HAZ_CMRROTDAM,Slovakia,96.55
2015,SG_HAZ_CMRROTDAM,Viet Nam,60.78
2020,SG_HAZ_CMRROTDAM,Viet Nam,63.79
2015,SG_HAZ_CMRROTDAM,Slovenia,100.0
2020,SG_HAZ_CMRROTDAM,Slovenia,96.55
2015,SG_HAZ_CMRROTDAM,Spain,100.0
2020,SG_HAZ_CMRROTDAM,Spain,96.55
2015,SG_HAZ_CMRROTDAM,Sweden,100.0
2020,SG_HAZ_CMRROTDAM,Sweden,96.55
2015,SG_HAZ_CMRROTDAM,Switzerland,100.0
2020,SG_HAZ_CMRROTDAM,Switzerland,96.55
2015,SG_HAZ_CMRROTDAM,Tajikistan,9.8
2015,SG_HAZ_CMRROTDAM,United Arab Emirates,92.16
2020,SG_HAZ_CMRROTDAM,United Arab Emirates,89.66
2015,SG_HAZ_CMRROTDAM,Türkiye,9.8
2020,SG_HAZ_CMRROTDAM,Türkiye,50.0
2015,SG_HAZ_CMRROTDAM,Ukraine,9.8
2020,SG_HAZ_CMRROTDAM,Ukraine,36.21
2015,SG_HAZ_CMRROTDAM,North Macedonia,92.16
2015,SG_HAZ_CMRROTDAM,Albania,92.16
2020,SG_HAZ_CMRROTDAM,Albania,96.55
2015,SG_HAZ_CMRROTDAM,Australia,100.0
2020,SG_HAZ_CMRROTDAM,Australia,96.55
2015,SG_HAZ_CMRROTDAM,Austria,100.0
2020,SG_HAZ_CMRROTDAM,Austria,96.55
2015,SG_HAZ_CMRROTDAM,Armenia,37.25
2020,SG_HAZ_CMRROTDAM,Armenia,81.03
2015,SG_HAZ_CMRROTDAM,Belgium,100.0
2020,SG_HAZ_CMRROTDAM,Belgium,96.55
2015,SG_HAZ_CMRROTDAM,Bosnia and Herzegovina,72.55
2020,SG_HAZ_CMRROTDAM,Bosnia and Herzegovina,91.38
2015,SG_HAZ_CMRROTDAM,Bulgaria,100.0
2020,SG_HAZ_CMRROTDAM,Bulgaria,96.55
2015,SG_HAZ_CMRROTDAM,Canada,100.0
