Year,SeriesCode,GeoAreaName,Value
2018,ER_RDE_OSEX,Australia,4.668
2019,ER_RDE_OSEX,Australia,4.677
2020,ER_RDE_OSEX,Australia,3.948
2021,ER_RDE_OSEX,Australia,4.088
2013,ER_RDE_OSEX,Belgium,0.37339
2014,ER_RDE_OSEX,Belgium,0.35534
2015,ER_RDE_OSEX,Belgium,0.29857
2016,ER_RDE_OSEX,Belgium,0.28028
2017,ER_RDE_OSEX,Belgium,0.26589
2018,ER_RDE_OSEX,Belgium,0.039
2019,ER_RDE_OSEX,Belgium,0.122
2020,ER_RDE_OSEX,Belgium,0.136
2021,ER_RDE_OSEX,Belgium,0.121
2013,ER_RDE_OSEX,Bulgaria,0.0869
2014,ER_RDE_OSEX,Bulgaria,0.06631
2015,ER_RDE_OSEX,Bulgaria,0.04895
2016,ER_RDE_OSEX,Bulgaria,0.05712
2017,ER_RDE_OSEX,Bulgaria,0.06366
2013,ER_RDE_OSEX,Canada,0.88456
2014,ER_RDE_OSEX,Canada,0.78075
2015,ER_RDE_OSEX,Canada,0.6991
2016,ER_RDE_OSEX,Canada,0.66731
2017,ER_RDE_OSEX,Canada,0.80792
2018,ER_RDE_OSEX,Chile,0.013
2019,ER_RDE_OSEX,Chile,0.015
2013,ER_RDE_OSEX,Colombia,0.11202
2014,ER_RDE_OSEX,Colombia,0.1637
2015,ER_RDE_OSEX,Colombia,0.11677
2016,ER_RDE_OSEX,Colombia,0.0888
2017,ER_RDE_OSEX,Colombia,0.08323
2018,ER_RDE_OSEX,Colombia,0.049
2019,ER_RDE_OSEX,Colombia,0.05
2020,ER_RDE_OSEX,Colombia,0.041
2021,ER_RDE_OSEX,Colombia,0.046
2013,ER_RDE_OSEX,Croatia,2.92606
2013,ER_RDE_OSEX,Finland,0.31524
2014,ER_RDE_OSEX,Finland,0.33874
2015,ER_RDE_OSEX,Finland,0.30814
2016,ER_RDE_OSEX,Finland,0.31978
2017,ER_RDE_OSEX,Finland,0.31646
2017,ER_RDE_OSEX,France,0.52954
2020,ER_RDE_OSEX,France,0.56
2021,ER_RDE_OSEX,France,0.579
2013,ER_RDE_OSEX,Germany,0.3217
2014,ER_RDE_OSEX,Germany,0.30502
2015,ER_RDE_OSEX,Germany,0.24607
2016,ER_RDE_OSEX,Germany,0.25098
2017,ER_RDE_OSEX,Germany,0.24542
2018,ER_RDE_OSEX,Germany,0.273
2019,ER_RDE_OSEX,Germany,0.247
2020,ER_RDE_OSEX,Germany,0.282
2021,ER_RDE_OSEX,Germany,0.338
2013,ER_RDE_OSEX,India,0.26906
2018,ER_RDE_OSEX,India,0.017
2019,ER_RDE_OSEX,India,0.017
2020,ER_RDE_OSEX,India,0.011
2021,ER_RDE_OSEX,India,0.011
2017,ER_RDE_OSEX,Ireland,4.80811
2013,ER_RDE_OSEX,Italy,0.36694
2014,ER_RDE_OSEX,Italy,0.35486
2015,ER_RDE_OSEX,Italy,0.30667
2016,ER_RDE_OSEX,Italy,0.30592
2017,ER_RDE_OSEX,Italy,0.194
2013,ER_RDE_OSEX,Japan,0.82353
2014,ER_RDE_OSEX,Japan,0.35975
2015,ER_RDE_OSEX,Japan,0.45281
2016,ER_RDE_OSEX,Japan,0.38686
2017,ER_RDE_OSEX,Japan,0.32965
2013,ER_RDE_OSEX,Republic of Korea,0.4096
2014,ER_RDE_OSEX,Republic of Korea,0.37052
2015,ER_RDE_OSEX,Republic of Korea,0.33064
2016,ER_RDE_OSEX,Republic of Korea,0.31798
2017,ER_RDE_OSEX,Republic of Korea,0.25362
2013,ER_RDE_OSEX,Netherlands (Kingdom of the),0.24938
2014,ER_RDE_OSEX,Netherlands (Kingdom of the),0.2361
2015,ER_RDE_OSEX,Netherlands (Kingdom of the),0.20488
2016,ER_RDE_OSEX,Netherlands (Kingdom of the),0.21217
2017,ER_RDE_OSEX,Netherlands (Kingdom of the),0.23503
2013,ER_RDE_OSEX,Norway,6.98989
2015,ER_RDE_OSEX,Norway,5.60533
2017,ER_RDE_OSEX,Norway,5.35469
2013,ER_RDE_OSEX,Poland,0.17224
2014,ER_RDE_OSEX,Poland,0.18258
2015,ER_RDE_OSEX,Poland,0.12176
2016,ER_RDE_OSEX,Poland,0.1196
2017,ER_RDE_OSEX,Poland,0.11541
2014,ER_RDE_OSEX,Portugal,2.20526
2015,ER_RDE_OSEX,Portugal,2.50724
2016,ER_RDE_OSEX,Portugal,2.39374
2016,ER_RDE_OSEX,Spain,0.49478
2017,ER_RDE_OSEX,Spain,0.45241
2013,ER_RDE_OSEX,Türkiye,0.07806
2014,ER_RDE_OSEX,Türkiye,0.08081
2015,ER_RDE_OSEX,Türkiye,0.05074
2016,ER_RDE_OSEX,Türkiye,0.04463
2017,ER_RDE_OSEX,Türkiye,0.03682
2018,ER_RDE_OSEX,Türkiye,0.905
2019,ER_RDE_OSEX,Türkiye,1.226
2020,ER_RDE_OSEX,Türkiye,0.997
2016,ER_RDE_OSEX,United Kingdom of Great Britain and Northern Ireland,0.5444
2017,ER_RDE_OSEX,United Kingdom of Great Britain and Northern Ireland,0.61253
2013,ER_RDE_OSEX,United Kingdom of Great Britain and Northern Ireland,0.66732
2014,ER_RDE_OSEX,United Kingdom of Great Britain and Northern Ireland,0.55823
2015,ER_RDE_OSEX,United Kingdom of Great Britain and Northern Ireland,0.49393
2015,ER_RDE_OSEX,United Kingdom of Great Britain and Northern Ireland,0.49393
