Year,SeriesCode,GeoAreaName,Value
2021,ER_UNCLOS_RATACC,Azerbaijan,67
2023,ER_UNCLOS_RATACC,Australia,100
2021,ER_UNCLOS_RATACC,Austria,100
2021,ER_UNCLOS_RATACC,Bulgaria,100
2021,ER_UNCLOS_RATACC,Belarus,67
2021,ER_UNCLOS_RATACC,China,67
2021,ER_UNCLOS_RATACC,Colombia,0
2021,ER_UNCLOS_RATACC,Croatia,100
2021,ER_UNCLOS_RATACC,Czechia,100
2021,ER_UNCLOS_RATACC,Denmark,100
2021,ER_UNCLOS_RATACC,Estonia,100
2023,ER_UNCLOS_RATACC,France,100
2021,ER_UNCLOS_RATACC,Germany,100
2021,ER_UNCLOS_RATACC,Greece,100
2021,ER_UNCLOS_RATACC,Iceland,100
2023,ER_UNCLOS_RATACC,Iceland,100
2021,ER_UNCLOS_RATACC,Ireland,100
2021,ER_UNCLOS_RATACC,Japan,100
2021,ER_UNCLOS_RATACC,Kazakhstan,0
2021,ER_UNCLOS_RATACC,Republic of Korea,100
2023,ER_UNCLOS_RATACC,Latvia,100
2021,ER_UNCLOS_RATACC,Liechtenstein,0
2021,ER_UNCLOS_RATACC,Lithuania,100
2021,ER_UNCLOS_RATACC,Montenegro,67
2021,ER_UNCLOS_RATACC,New Zealand,100
2023,ER_UNCLOS_RATACC,New Zealand,100
2021,ER_UNCLOS_RATACC,Portugal,100
2023,ER_UNCLOS_RATACC,Portugal,100
2021,ER_UNCLOS_RATACC,Romania,100
2021,ER_UNCLOS_RATACC,Slovakia,100
2021,ER_UNCLOS_RATACC,Slovenia,100
2023,ER_UNCLOS_RATACC,Slovenia,100
2021,ER_UNCLOS_RATACC,Switzerland,67
2023,ER_UNCLOS_RATACC,Switzerland,67
2021,ER_UNCLOS_RATACC,United Kingdom of Great Britain and Northern Ireland,100
2021,ER_UNCLOS_IMPLE,Azerbaijan,80
2023,ER_UNCLOS_IMPLE,Australia,100
2021,ER_UNCLOS_IMPLE,Austria,95
2021,ER_UNCLOS_IMPLE,Bulgaria,100
2021,ER_UNCLOS_IMPLE,Belarus,48
2021,ER_UNCLOS_IMPLE,China,95
2021,ER_UNCLOS_IMPLE,Colombia,50
2021,ER_UNCLOS_IMPLE,Croatia,93
2021,ER_UNCLOS_IMPLE,Czechia,90
2021,ER_UNCLOS_IMPLE,Denmark,90
2021,ER_UNCLOS_IMPLE,Estonia,63
2023,ER_UNCLOS_IMPLE,France,93
2021,ER_UNCLOS_IMPLE,Germany,100
2021,ER_UNCLOS_IMPLE,Greece,100
2021,ER_UNCLOS_IMPLE,Iceland,100
2023,ER_UNCLOS_IMPLE,Iceland,97
2021,ER_UNCLOS_IMPLE,Ireland,100
2021,ER_UNCLOS_IMPLE,Japan,100
2021,ER_UNCLOS_IMPLE,Republic of Korea,93
2023,ER_UNCLOS_IMPLE,Latvia,77
2021,ER_UNCLOS_IMPLE,Liechtenstein,0
2021,ER_UNCLOS_IMPLE,Lithuania,93
2021,ER_UNCLOS_IMPLE,Montenegro,40
2021,ER_UNCLOS_IMPLE,New Zealand,100
2023,ER_UNCLOS_IMPLE,New Zealand,100
2021,ER_UNCLOS_IMPLE,Portugal,85
2023,ER_UNCLOS_IMPLE,Portugal,90
2021,ER_UNCLOS_IMPLE,Romania,90
2021,ER_UNCLOS_IMPLE,Slovenia,93
2023,ER_UNCLOS_IMPLE,Slovenia,93
2021,ER_UNCLOS_IMPLE,Switzerland,100
2023,ER_UNCLOS_IMPLE,Switzerland,90
2021,ER_UNCLOS_IMPLE,United Kingdom of Great Britain and Northern Ireland,100
2021,ER_UNCLOS_IMPLE,United Kingdom of Great Britain and Northern Ireland,100
