Year,SeriesCode,GeoAreaName,Sex,Value
2009,VC_VOV_ROBB,Australia,FEMALE,0.3
2009,VC_VOV_ROBB,Australia,BOTHSEX,0.6
2009,VC_VOV_ROBB,Australia,MALE,0.8
2010,VC_VOV_ROBB,Australia,FEMALE,0.3
2010,VC_VOV_ROBB,Australia,MALE,0.5
2010,VC_VOV_ROBB,Australia,BOTHSEX,0.4
2011,VC_VOV_ROBB,Australia,BOTHSEX,0.4
2011,VC_VOV_ROBB,Australia,FEMALE,0.3
2011,VC_VOV_ROBB,Australia,MALE,0.5
2012,VC_VOV_ROBB,Australia,FEMALE,0.3
2012,VC_VOV_ROBB,Australia,MALE,0.4
2012,VC_VOV_ROBB,Australia,BOTHSEX,0.4
2013,VC_VOV_ROBB,Australia,FEMALE,0.2
2013,VC_VOV_ROBB,Australia,MALE,0.6
2013,VC_VOV_ROBB,Australia,BOTHSEX,0.4
2014,VC_VOV_ROBB,Australia,BOTHSEX,0.4
2014,VC_VOV_ROBB,Australia,FEMALE,0.3
2014,VC_VOV_ROBB,Australia,MALE,0.4
2015,VC_VOV_ROBB,Australia,BOTHSEX,0.3
2015,VC_VOV_ROBB,Australia,FEMALE,0.3
2015,VC_VOV_ROBB,Australia,MALE,0.3
2016,VC_VOV_ROBB,Australia,BOTHSEX,0.4
2016,VC_VOV_ROBB,Australia,MALE,0.4
2016,VC_VOV_ROBB,Australia,FEMALE,0.3
2017,VC_VOV_ROBB,Australia,FEMALE,0.4
2017,VC_VOV_ROBB,Australia,MALE,0.4
2017,VC_VOV_ROBB,Australia,BOTHSEX,0.4
2018,VC_VOV_ROBB,Australia,BOTHSEX,0.3
2018,VC_VOV_ROBB,Australia,MALE,0.3
2018,VC_VOV_ROBB,Australia,FEMALE,0.2
2019,VC_VOV_ROBB,Australia,BOTHSEX,0.4
2019,VC_VOV_ROBB,Australia,FEMALE,0.3
2019,VC_VOV_ROBB,Australia,MALE,0.4
2020,VC_VOV_ROBB,Australia,BOTHSEX,0.3
2020,VC_VOV_ROBB,Australia,FEMALE,0.3
2020,VC_VOV_ROBB,Australia,MALE,0.5
2021,VC_VOV_ROBB,Australia,FEMALE,0.2
2021,VC_VOV_ROBB,Australia,BOTHSEX,0.3
2021,VC_VOV_ROBB,Australia,MALE,0.3
2006,VC_VOV_ROBB,Belgium,BOTHSEX,4.79
2006,VC_VOV_ROBB,Belgium,FEMALE,2.71
2006,VC_VOV_ROBB,Belgium,MALE,2.08
2009,VC_VOV_ROBB,Belgium,FEMALE,2.54
2009,VC_VOV_ROBB,Belgium,BOTHSEX,4.48
2009,VC_VOV_ROBB,Belgium,MALE,1.94
2018,VC_VOV_ROBB,Belgium,BOTHSEX,4.14
2004,VC_VOV_ROBB,Canada,BOTHSEX,1.1
2004,VC_VOV_ROBB,Canada,FEMALE,0.8
2009,VC_VOV_ROBB,Canada,BOTHSEX,1.3
2009,VC_VOV_ROBB,Canada,FEMALE,1.0
2009,VC_VOV_ROBB,Canada,MALE,1.6
2014,VC_VOV_ROBB,Canada,FEMALE,0.5
2014,VC_VOV_ROBB,Canada,MALE,0.8
2014,VC_VOV_ROBB,Canada,BOTHSEX,0.6
2019,VC_VOV_ROBB,Canada,BOTHSEX,0.6
2019,VC_VOV_ROBB,Canada,FEMALE,0.7
2019,VC_VOV_ROBB,Canada,MALE,0.5
2006,VC_VOV_ROBB,Chile,FEMALE,2.0
2006,VC_VOV_ROBB,Chile,BOTHSEX,2.94
2006,VC_VOV_ROBB,Chile,MALE,0.94
2007,VC_VOV_ROBB,Chile,MALE,1.22
2007,VC_VOV_ROBB,Chile,BOTHSEX,3.0
2007,VC_VOV_ROBB,Chile,FEMALE,1.82
2008,VC_VOV_ROBB,Chile,FEMALE,1.54
2008,VC_VOV_ROBB,Chile,BOTHSEX,2.4
2008,VC_VOV_ROBB,Chile,MALE,0.9
2009,VC_VOV_ROBB,Chile,MALE,0.85
2009,VC_VOV_ROBB,Chile,BOTHSEX,2.4
2009,VC_VOV_ROBB,Chile,FEMALE,1.52
2010,VC_VOV_ROBB,Chile,BOTHSEX,2.2
2010,VC_VOV_ROBB,Chile,FEMALE,1.8
2010,VC_VOV_ROBB,Chile,MALE,2.7
2011,VC_VOV_ROBB,Chile,MALE,2.8
2011,VC_VOV_ROBB,Chile,FEMALE,1.8
2011,VC_VOV_ROBB,Chile,BOTHSEX,2.3
2012,VC_VOV_ROBB,Chile,MALE,2.2
2012,VC_VOV_ROBB,Chile,BOTHSEX,1.9
2012,VC_VOV_ROBB,Chile,FEMALE,1.7
2013,VC_VOV_ROBB,Chile,BOTHSEX,3.2
2013,VC_VOV_ROBB,Chile,FEMALE,1.2
2013,VC_VOV_ROBB,Chile,MALE,2.3
2014,VC_VOV_ROBB,Chile,MALE,2.1
2014,VC_VOV_ROBB,Chile,FEMALE,1.5
2014,VC_VOV_ROBB,Chile,BOTHSEX,4.0
2015,VC_VOV_ROBB,Chile,MALE,3.4
2015,VC_VOV_ROBB,Chile,BOTHSEX,4.2
2015,VC_VOV_ROBB,Chile,FEMALE,5.0
2016,VC_VOV_ROBB,Chile,FEMALE,4.3
2016,VC_VOV_ROBB,Chile,BOTHSEX,4.1
2016,VC_VOV_ROBB,Chile,MALE,3.9
2017,VC_VOV_ROBB,Chile,BOTHSEX,4.4
2017,VC_VOV_ROBB,Chile,FEMALE,4.9
2017,VC_VOV_ROBB,Chile,MALE,3.9
2018,VC_VOV_ROBB,Chile,BOTHSEX,4.1
2018,VC_VOV_ROBB,Chile,MALE,3.7
2018,VC_VOV_ROBB,Chile,FEMALE,4.5
2019,VC_VOV_ROBB,Chile,BOTHSEX,3.3
2019,VC_VOV_ROBB,Chile,MALE,2.8
2019,VC_VOV_ROBB,Chile,FEMALE,3.9
2020,VC_VOV_ROBB,Chile,BOTHSEX,3.6
2020,VC_VOV_ROBB,Chile,MALE,3.6
2020,VC_VOV_ROBB,Chile,FEMALE,3.6
2021,VC_VOV_ROBB,Chile,BOTHSEX,3.0
2021,VC_VOV_ROBB,Chile,MALE,3.0
2021,VC_VOV_ROBB,Chile,FEMALE,3.1
2012,VC_VOV_ROBB,Colombia,MALE,13.6
2012,VC_VOV_ROBB,Colombia,BOTHSEX,13.2
2012,VC_VOV_ROBB,Colombia,FEMALE,12.8
2013,VC_VOV_ROBB,Colombia,BOTHSEX,11.4
2013,VC_VOV_ROBB,Colombia,FEMALE,11.2
2013,VC_VOV_ROBB,Colombia,MALE,11.6
2014,VC_VOV_ROBB,Colombia,BOTHSEX,11.2
2014,VC_VOV_ROBB,Colombia,FEMALE,10.9
2014,VC_VOV_ROBB,Colombia,MALE,11.5
2015,VC_VOV_ROBB,Colombia,BOTHSEX,10.5
2015,VC_VOV_ROBB,Colombia,MALE,10.1
2015,VC_VOV_ROBB,Colombia,FEMALE,10.9
2016,VC_VOV_ROBB,Colombia,BOTHSEX,7.1
2017,VC_VOV_ROBB,Colombia,MALE,6.79
2017,VC_VOV_ROBB,Colombia,FEMALE,6.1
2017,VC_VOV_ROBB,Colombia,BOTHSEX,6.42
2019,VC_VOV_ROBB,Colombia,BOTHSEX,4.09
2019,VC_VOV_ROBB,Colombia,MALE,4.37
2019,VC_VOV_ROBB,Colombia,FEMALE,3.82
2020,VC_VOV_ROBB,Colombia,FEMALE,2.86
2020,VC_VOV_ROBB,Colombia,BOTHSEX,3.14
2020,VC_VOV_ROBB,Colombia,MALE,3.43
2008,VC_VOV_ROBB,Costa Rica,BOTHSEX,15.75
2010,VC_VOV_ROBB,Costa Rica,BOTHSEX,13.03
2014,VC_VOV_ROBB,Costa Rica,BOTHSEX,12.94
2008,VC_VOV_ROBB,Croatia,BOTHSEX,0.4
2010,VC_VOV_ROBB,Croatia,BOTHSEX,0.9
2010,VC_VOV_ROBB,Czechia,BOTHSEX,3.1
2013,VC_VOV_ROBB,Czechia,BOTHSEX,3.1
2008,VC_VOV_ROBB,Denmark,BOTHSEX,0.8
2008,VC_VOV_ROBB,Denmark,MALE,0.9
2008,VC_VOV_ROBB,Denmark,FEMALE,0.8
2009,VC_VOV_ROBB,Denmark,FEMALE,1.1
2009,VC_VOV_ROBB,Denmark,BOTHSEX,1.1
2010,VC_VOV_ROBB,Denmark,MALE,0.8
2010,VC_VOV_ROBB,Denmark,BOTHSEX,1.1
2010,VC_VOV_ROBB,Denmark,FEMALE,1.4
2011,VC_VOV_ROBB,Denmark,BOTHSEX,0.8
2011,VC_VOV_ROBB,Denmark,MALE,0.9
2011,VC_VOV_ROBB,Denmark,FEMALE,0.7
2012,VC_VOV_ROBB,Denmark,FEMALE,0.7
2012,VC_VOV_ROBB,Denmark,MALE,1.0
2012,VC_VOV_ROBB,Denmark,BOTHSEX,0.9
2013,VC_VOV_ROBB,Denmark,FEMALE,0.8
2013,VC_VOV_ROBB,Denmark,MALE,0.8
2013,VC_VOV_ROBB,Denmark,BOTHSEX,0.8
2014,VC_VOV_ROBB,Denmark,BOTHSEX,0.8
2014,VC_VOV_ROBB,Denmark,FEMALE,0.8
2014,VC_VOV_ROBB,Denmark,MALE,0.8
2004,VC_VOV_ROBB,Estonia,BOTHSEX,1.8
2009,VC_VOV_ROBB,Estonia,BOTHSEX,2.1
2014,VC_VOV_ROBB,Estonia,BOTHSEX,1.4
2015,VC_VOV_ROBB,Estonia,BOTHSEX,1.4
2016,VC_VOV_ROBB,Estonia,BOTHSEX,1.3
2017,VC_VOV_ROBB,Estonia,BOTHSEX,0.9
2018,VC_VOV_ROBB,Estonia,BOTHSEX,0.7
2007,VC_VOV_ROBB,France,BOTHSEX,0.7
2007,VC_VOV_ROBB,France,FEMALE,0.4
2007,VC_VOV_ROBB,France,MALE,0.9
2008,VC_VOV_ROBB,France,BOTHSEX,0.61
2008,VC_VOV_ROBB,France,FEMALE,0.32
2008,VC_VOV_ROBB,France,MALE,0.92
2009,VC_VOV_ROBB,France,MALE,0.62
2009,VC_VOV_ROBB,France,FEMALE,0.28
2009,VC_VOV_ROBB,France,BOTHSEX,0.44
2010,VC_VOV_ROBB,France,BOTHSEX,0.58
2010,VC_VOV_ROBB,France,FEMALE,0.49
2010,VC_VOV_ROBB,France,MALE,0.67
2011,VC_VOV_ROBB,France,MALE,0.62
2011,VC_VOV_ROBB,France,BOTHSEX,0.59
2011,VC_VOV_ROBB,France,FEMALE,0.57
2012,VC_VOV_ROBB,France,FEMALE,0.42
2012,VC_VOV_ROBB,France,BOTHSEX,0.54
2012,VC_VOV_ROBB,France,MALE,0.66
2013,VC_VOV_ROBB,France,FEMALE,0.56
2013,VC_VOV_ROBB,France,MALE,0.64
2013,VC_VOV_ROBB,France,BOTHSEX,0.6
2014,VC_VOV_ROBB,France,FEMALE,0.79
2014,VC_VOV_ROBB,France,BOTHSEX,0.72
2014,VC_VOV_ROBB,France,MALE,0.65
2015,VC_VOV_ROBB,France,MALE,0.28
2015,VC_VOV_ROBB,France,BOTHSEX,0.38
2015,VC_VOV_ROBB,France,FEMALE,0.46
2016,VC_VOV_ROBB,France,BOTHSEX,0.47
2016,VC_VOV_ROBB,France,MALE,0.51
2016,VC_VOV_ROBB,France,FEMALE,0.44
