Year,SeriesCode,GeoAreaName,Age,Sex,Value
2012,VC_HTF_DETVSX,Costa Rica,ALLAGE,BOTHSEX,10
2013,VC_HTF_DETVSX,Costa Rica,ALLAGE,BOTHSEX,11
2016,VC_HTF_DETVSX,Costa Rica,ALLAGE,BOTHSEX,12
2016,VC_HTF_DETVSX,Costa Rica,18+,MALE,5
2017,VC_HTF_DETVSX,Costa Rica,<18Y,BOTHSEX,9
2017,VC_HTF_DETVSX,Costa Rica,18+,BOTHSEX,12
2017,VC_HTF_DETVSX,Costa Rica,18+,MALE,28
2017,VC_HTF_DETVSX,Costa Rica,<18Y,MALE,21
2017,VC_HTF_DETVSX,Costa Rica,ALLAGE,BOTHSEX,23
2018,VC_HTF_DETVSX,Costa Rica,<18Y,MALE,11
2018,VC_HTF_DETVSX,Costa Rica,ALLAGE,BOTHSEX,5
2018,VC_HTF_DETVSX,Costa Rica,18+,MALE,15
2018,VC_HTF_DETVSX,Costa Rica,18+,BOTHSEX,8
2019,VC_HTF_DETVSX,Costa Rica,18+,BOTHSEX,12
2019,VC_HTF_DETVSX,Costa Rica,18+,MALE,10
2019,VC_HTF_DETVSX,Costa Rica,ALLAGE,BOTHSEX,16
2020,VC_HTF_DETVSX,Costa Rica,18+,BOTHSEX,8
2020,VC_HTF_DETVSX,Costa Rica,ALLAGE,BOTHSEX,16
2020,VC_HTF_DETVSX,Costa Rica,<18Y,BOTHSEX,7
2020,VC_HTF_DETVSX,Costa Rica,18+,MALE,7
2021,VC_HTF_DETVSX,Costa Rica,ALLAGE,BOTHSEX,10
2004,VC_HTF_DETVSX,Croatia,ALLAGE,BOTHSEX,14
2007,VC_HTF_DETVSX,Croatia,ALLAGE,BOTHSEX,13
2009,VC_HTF_DETVSX,Croatia,ALLAGE,BOTHSEX,5
2011,VC_HTF_DETVSX,Croatia,ALLAGE,BOTHSEX,11
2012,VC_HTF_DETVSX,Croatia,ALLAGE,BOTHSEX,7
2014,VC_HTF_DETVSX,Croatia,ALLAGE,BOTHSEX,29
