Year,SeriesCode,GeoAreaName,Value
2007,IC_FRM_BRIB,Albania,26.49
2013,IC_FRM_BRIB,Albania,20.4
2019,IC_FRM_BRIB,Albania,36.1
2009,IC_FRM_BRIB,Azerbaijan,52.04
2013,IC_FRM_BRIB,Azerbaijan,16.04
2019,IC_FRM_BRIB,Azerbaijan,12.06
2021,IC_FRM_BRIB,Austria,1.29
2009,IC_FRM_BRIB,Armenia,15.5
2013,IC_FRM_BRIB,Armenia,8.7
2020,IC_FRM_BRIB,Armenia,1.45
2020,IC_FRM_BRIB,Belgium,4.34
2009,IC_FRM_BRIB,Bosnia and Herzegovina,10.19
2013,IC_FRM_BRIB,Bosnia and Herzegovina,13.0
2019,IC_FRM_BRIB,Bosnia and Herzegovina,16.0
2007,IC_FRM_BRIB,Bulgaria,6.67
2009,IC_FRM_BRIB,Bulgaria,10.87
2013,IC_FRM_BRIB,Bulgaria,7.32
2019,IC_FRM_BRIB,Bulgaria,10.05
2008,IC_FRM_BRIB,Belarus,15.47
2013,IC_FRM_BRIB,Belarus,7.86
2018,IC_FRM_BRIB,Belarus,4.91
2006,IC_FRM_BRIB,Chile,7.77
2010,IC_FRM_BRIB,Chile,1.29
2012,IC_FRM_BRIB,China,11.59
2006,IC_FRM_BRIB,Colombia,3.51
2010,IC_FRM_BRIB,Colombia,2.22
2017,IC_FRM_BRIB,Colombia,6.57
2010,IC_FRM_BRIB,Costa Rica,8.7
2007,IC_FRM_BRIB,Croatia,4.92
2013,IC_FRM_BRIB,Croatia,5.96
2019,IC_FRM_BRIB,Croatia,10.14
2019,IC_FRM_BRIB,Cyprus,0.17
2009,IC_FRM_BRIB,Czechia,7.15
2013,IC_FRM_BRIB,Czechia,3.69
2019,IC_FRM_BRIB,Czechia,3.46
2020,IC_FRM_BRIB,Denmark,3.37
2009,IC_FRM_BRIB,Estonia,5.66
2013,IC_FRM_BRIB,Estonia,0.0
2019,IC_FRM_BRIB,Estonia,0.0
2020,IC_FRM_BRIB,Finland,2.85
2021,IC_FRM_BRIB,France,1.59
2008,IC_FRM_BRIB,Georgia,9.84
2013,IC_FRM_BRIB,Georgia,1.43
2019,IC_FRM_BRIB,Georgia,1.31
2021,IC_FRM_BRIB,Germany,2.25
2018,IC_FRM_BRIB,Greece,5.55
2009,IC_FRM_BRIB,Hungary,0.97
2013,IC_FRM_BRIB,Hungary,2.24
2019,IC_FRM_BRIB,Hungary,4.72
2014,IC_FRM_BRIB,India,22.66
2022,IC_FRM_BRIB,India,27.23
