Year,Metric,GeoAreaName,Value
2021,Regulatory Quality,Albania,0.192754015
2020,Regulatory Quality,Albania,0.235864624
2019,Regulatory Quality,Albania,0.285658628
2018,Regulatory Quality,Albania,0.266459137
2017,Regulatory Quality,Albania,0.23308672
2016,Regulatory Quality,Albania,0.196168706
2015,Regulatory Quality,Albania,0.189514965
2014,Regulatory Quality,Albania,0.279037684
2013,Regulatory Quality,Albania,0.254160255
2012,Regulatory Quality,Albania,0.240491986
2011,Regulatory Quality,Albania,0.283972561
2010,Regulatory Quality,Albania,0.233281955
2009,Regulatory Quality,Albania,0.241446003
2008,Regulatory Quality,Albania,0.137666509
2007,Regulatory Quality,Albania,0.034550302
2006,Regulatory Quality,Albania,-0.148599386
2005,Regulatory Quality,Albania,-0.400731236
2004,Regulatory Quality,Albania,-0.187491566
2003,Regulatory Quality,Albania,-0.490216553
2002,Regulatory Quality,Albania,-0.311400771
2000,Regulatory Quality,Albania,-0.415910125
1998,Regulatory Quality,Albania,-0.441555828
1996,Regulatory Quality,Albania,-0.474401653
2021,Regulatory Quality,Armenia,0.145152628
2020,Regulatory Quality,Armenia,0.251729071
2019,Regulatory Quality,Armenia,0.255927444
2018,Regulatory Quality,Armenia,0.360776484
2017,Regulatory Quality,Armenia,0.240957707
2016,Regulatory Quality,Armenia,0.214404643
2015,Regulatory Quality,Armenia,0.201865211
2014,Regulatory Quality,Armenia,0.158519909
2013,Regulatory Quality,Armenia,0.235182688
2012,Regulatory Quality,Armenia,0.334273398
2011,Regulatory Quality,Armenia,0.246940598
2010,Regulatory Quality,Armenia,0.268946558
2009,Regulatory Quality,Armenia,0.27345407
2008,Regulatory Quality,Armenia,0.300939858
2007,Regulatory Quality,Armenia,0.265207171
2006,Regulatory Quality,Armenia,0.292330682
2005,Regulatory Quality,Armenia,0.089062668
2004,Regulatory Quality,Armenia,0.109250002
2003,Regulatory Quality,Armenia,0.167570353
2002,Regulatory Quality,Armenia,0.056333646
2000,Regulatory Quality,Armenia,-0.172101572
1998,Regulatory Quality,Armenia,-0.252395779
1996,Regulatory Quality,Armenia,-0.282764524
2021,Regulatory Quality,Austria,1.348706007
2020,Regulatory Quality,Austria,1.405209184
2019,Regulatory Quality,Austria,1.4575665
2018,Regulatory Quality,Austria,1.530134678
2017,Regulatory Quality,Austria,1.435420275
2016,Regulatory Quality,Austria,1.437176466
2015,Regulatory Quality,Austria,1.398648381
2014,Regulatory Quality,Austria,1.482170105
2013,Regulatory Quality,Austria,1.482213736
2012,Regulatory Quality,Austria,1.517164707
2011,Regulatory Quality,Austria,1.376976848
