Year,SeriesCode,GeoAreaName,Age,Disability status,Population Group,Sex,Type of occupation,Value
2021,SG_DMK_JDC_HGR,Austria,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.99
2022,SG_DMK_JDC_HGR,Austria,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.01
2022,SG_DMK_JDC_HGR,Austria,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.35
2021,SG_DMK_JDC_HGR,Bosnia and Herzegovina,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.38
2020,SG_DMK_JDC_HGR,Croatia,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.33
2020,SG_DMK_JDC_HGR,Croatia,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.69
2021,SG_DMK_JDC_HGR,Croatia,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.33
2021,SG_DMK_JDC_HGR,Croatia,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.69
2021,SG_DMK_JDC_HGR,Croatia,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,0.93
2021,SG_DMK_JDC_HGR,Croatia,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.03
2021,SG_DMK_JDC_HGR,Czechia,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.05
2022,SG_DMK_JDC_HGR,Czechia,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.11
2022,SG_DMK_JDC_HGR,Czechia,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.06
2019,SG_DMK_JDC_HGR,Denmark,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.01
2019,SG_DMK_JDC_HGR,Denmark,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.56
2020,SG_DMK_JDC_HGR,Denmark,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.09
2020,SG_DMK_JDC_HGR,Denmark,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.0
2020,SG_DMK_JDC_HGR,Denmark,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.6
2020,SG_DMK_JDC_HGR,Denmark,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.49
2020,SG_DMK_JDC_HGR,Estonia,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.13
2020,SG_DMK_JDC_HGR,Estonia,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.74
2021,SG_DMK_JDC_HGR,Estonia,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.81
2021,SG_DMK_JDC_HGR,Estonia,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.45
2021,SG_DMK_JDC_HGR,Estonia,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.39
2021,SG_DMK_JDC_HGR,Estonia,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.13
2020,SG_DMK_JDC_HGR,Finland,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.0
2020,SG_DMK_JDC_HGR,Finland,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.16
2019,SG_DMK_JDC_HGR,Germany,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.76
2020,SG_DMK_JDC_HGR,Greece,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.35
2021,SG_DMK_JDC_HGR,Israel,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.95
2022,SG_DMK_JDC_HGR,Israel,ALLAGE,_T,POP_A,BOTHSEX,JUDGES,0.24
2022,SG_DMK_JDC_HGR,Israel,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.96
2021,SG_DMK_JDC_HGR,Kazakhstan,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.46
2021,SG_DMK_JDC_HGR,Kazakhstan,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.94
2022,SG_DMK_JDC_HGR,Kazakhstan,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.97
2022,SG_DMK_JDC_HGR,Kazakhstan,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.17
2022,SG_DMK_JDC_HGR,Kazakhstan,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.51
2022,SG_DMK_JDC_HGR,Kazakhstan,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.35
2020,SG_DMK_JDC_HGR,Latvia,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.54
2020,SG_DMK_JDC_HGR,Latvia,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.86
2021,SG_DMK_JDC_HGR,Latvia,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.53
2021,SG_DMK_JDC_HGR,Latvia,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.86
2021,SG_DMK_JDC_HGR,Latvia,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.12
2021,SG_DMK_JDC_HGR,Latvia,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.62
2020,SG_DMK_JDC_HGR,Liechtenstein,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.82
2020,SG_DMK_JDC_HGR,Lithuania,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.92
2020,SG_DMK_JDC_HGR,Lithuania,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.0
2021,SG_DMK_JDC_HGR,Lithuania,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.37
2021,SG_DMK_JDC_HGR,Lithuania,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,0.97
2021,SG_DMK_JDC_HGR,Lithuania,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.21
2021,SG_DMK_JDC_HGR,Lithuania,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.25
2020,SG_DMK_JDC_HGR,Malta,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.57
2021,SG_DMK_JDC_HGR,Malta,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.08
2021,SG_DMK_JDC_HGR,Malta,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.84
2019,SG_DMK_JDC_HGR,Mexico,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.37
2020,SG_DMK_JDC_HGR,Mexico,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.52
2020,SG_DMK_JDC_HGR,Mexico,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.3
2020,SG_DMK_JDC_HGR,Mexico,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.11
2019,SG_DMK_JDC_HGR,Republic of Moldova,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.4
2019,SG_DMK_JDC_HGR,Republic of Moldova,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.89
2021,SG_DMK_JDC_HGR,Republic of Moldova,ALLAGE,PD,TOTAL,BOTHSEX,REGISTRARS,0.05
2021,SG_DMK_JDC_HGR,Republic of Moldova,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,2.05
2021,SG_DMK_JDC_HGR,Republic of Moldova,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.7
2021,SG_DMK_JDC_HGR,Republic of Moldova,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.84
2021,SG_DMK_JDC_HGR,Republic of Moldova,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.4
2018,SG_DMK_JDC_HGR,Poland,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.08
2018,SG_DMK_JDC_HGR,Poland,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.54
2020,SG_DMK_JDC_HGR,Poland,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.06
2020,SG_DMK_JDC_HGR,Poland,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.52
2020,SG_DMK_JDC_HGR,Poland,ALLAGE,PD,TOTAL,BOTHSEX,JUDGES,0.11
2020,SG_DMK_JDC_HGR,Poland,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.02
2020,SG_DMK_JDC_HGR,Poland,ALLAGE,PD,TOTAL,BOTHSEX,REGISTRARS,0.4
2020,SG_DMK_JDC_HGR,Poland,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.51
2020,SG_DMK_JDC_HGR,Slovakia,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.99
2020,SG_DMK_JDC_HGR,Slovakia,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.67
2021,SG_DMK_JDC_HGR,Slovakia,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.2
2021,SG_DMK_JDC_HGR,Slovakia,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.98
2021,SG_DMK_JDC_HGR,Slovakia,<45Y,_T,TOTAL,BOTHSEX,JUDGES,1.77
2021,SG_DMK_JDC_HGR,Slovakia,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.06
2022,SG_DMK_JDC_HGR,Spain,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.1
2022,SG_DMK_JDC_HGR,Spain,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.1
