Year,SeriesCode,GeoAreaName,Age,Value
2021,SG_DMK_PARLYP_UC,Australia,<=45Y,28.95
2022,SG_DMK_PARLYP_UC,Australia,<=45Y,28.95
2023,SG_DMK_PARLYP_UC,Australia,<=45Y,21.74
2021,SG_DMK_PARLYP_UC,Austria,<=45Y,26.23
2022,SG_DMK_PARLYP_UC,Austria,<=45Y,31.15
2023,SG_DMK_PARLYP_UC,Austria,<=45Y,31.15
2021,SG_DMK_PARLYP_UC,Belgium,<=45Y,48.33
2022,SG_DMK_PARLYP_UC,Belgium,<=45Y,48.33
2023,SG_DMK_PARLYP_UC,Belgium,<=45Y,48.33
2021,SG_DMK_PARLYP_UC,Bosnia and Herzegovina,<=45Y,6.67
2022,SG_DMK_PARLYP_UC,Bosnia and Herzegovina,<=45Y,6.67
2023,SG_DMK_PARLYP_UC,Bosnia and Herzegovina,<=45Y,6.67
2021,SG_DMK_PARLYP_UC,Belarus,<=45Y,16.67
2022,SG_DMK_PARLYP_UC,Belarus,<=45Y,16.67
2023,SG_DMK_PARLYP_UC,Belarus,<=45Y,16.67
2023,SG_DMK_PARLYP_UC,Canada,<=45Y,1.09
2022,SG_DMK_PARLYP_UC,Chile,<=45Y,18.6
2023,SG_DMK_PARLYP_UC,Chile,<=45Y,18.0
2021,SG_DMK_PARLYP_UC,Colombia,<=45Y,33.02
2022,SG_DMK_PARLYP_UC,Colombia,<=45Y,33.02
2023,SG_DMK_PARLYP_UC,Colombia,<=45Y,44.0
2021,SG_DMK_PARLYP_UC,Czechia,<=45Y,4.94
2022,SG_DMK_PARLYP_UC,Czechia,<=45Y,4.94
2023,SG_DMK_PARLYP_UC,Czechia,<=45Y,8.54
2021,SG_DMK_PARLYP_UC,France,<=45Y,7.18
2022,SG_DMK_PARLYP_UC,France,<=45Y,7.18
2023,SG_DMK_PARLYP_UC,France,<=45Y,7.18
2022,SG_DMK_PARLYP_UC,Germany,<=45Y,13.04
2023,SG_DMK_PARLYP_UC,Germany,<=45Y,13.04
2021,SG_DMK_PARLYP_UC,India,<=45Y,4.41
2022,SG_DMK_PARLYP_UC,India,<=45Y,4.41
2023,SG_DMK_PARLYP_UC,India,<=45Y,7.53
2021,SG_DMK_PARLYP_UC,Ireland,<=45Y,27.12
2022,SG_DMK_PARLYP_UC,Ireland,<=45Y,27.12
2023,SG_DMK_PARLYP_UC,Ireland,<=45Y,27.12
2021,SG_DMK_PARLYP_UC,Italy,<=45Y,26.88
2022,SG_DMK_PARLYP_UC,Italy,<=45Y,26.88
2023,SG_DMK_PARLYP_UC,Italy,<=45Y,8.74
2021,SG_DMK_PARLYP_UC,Japan,<=45Y,18.78
2022,SG_DMK_PARLYP_UC,Japan,<=45Y,18.78
2023,SG_DMK_PARLYP_UC,Japan,<=45Y,10.25
2022,SG_DMK_PARLYP_UC,Kazakhstan,<=45Y,2.08
2023,SG_DMK_PARLYP_UC,Kazakhstan,<=45Y,2.08
2021,SG_DMK_PARLYP_UC,Mexico,<=45Y,29.41
2022,SG_DMK_PARLYP_UC,Mexico,<=45Y,29.41
2023,SG_DMK_PARLYP_UC,Mexico,<=45Y,29.41
2021,SG_DMK_PARLYP_UC,Netherlands (Kingdom of the),<=45Y,12.0
2022,SG_DMK_PARLYP_UC,Netherlands (Kingdom of the),<=45Y,12.0
2023,SG_DMK_PARLYP_UC,Netherlands (Kingdom of the),<=45Y,12.0
2021,SG_DMK_PARLYP_UC,Poland,<=45Y,9.0
2022,SG_DMK_PARLYP_UC,Poland,<=45Y,9.0
2023,SG_DMK_PARLYP_UC,Poland,<=45Y,9.0
2021,SG_DMK_PARLYP_UC,Romania,<=45Y,34.56
2022,SG_DMK_PARLYP_UC,Romania,<=45Y,34.56
2023,SG_DMK_PARLYP_UC,Romania,<=45Y,34.56
2022,SG_DMK_PARLYP_UC,Slovenia,<=45Y,5.0
2023,SG_DMK_PARLYP_UC,Slovenia,<=45Y,20.0
2021,SG_DMK_PARLYP_UC,Spain,<=45Y,22.35
2022,SG_DMK_PARLYP_UC,Spain,<=45Y,22.35
2023,SG_DMK_PARLYP_UC,Spain,<=45Y,22.35
2021,SG_DMK_PARLYP_UC,Switzerland,<=45Y,17.39
2022,SG_DMK_PARLYP_UC,Switzerland,<=45Y,17.39
2023,SG_DMK_PARLYP_UC,Switzerland,<=45Y,17.39
2022,SG_DMK_PARLYP_UC,Tajikistan,<=45Y,22.58
2023,SG_DMK_PARLYP_UC,Tajikistan,<=45Y,22.58
2021,SG_DMK_PARLYP_UC,United Kingdom of Great Britain and Northern Ireland,<=45Y,1.91
2022,SG_DMK_PARLYP_UC,United Kingdom of Great Britain and Northern Ireland,<=45Y,1.91
2023,SG_DMK_PARLYP_UC,United Kingdom of Great Britain and Northern Ireland,<=45Y,1.91
2022,SG_DMK_PARLYP_UC,Uzbekistan,<=45Y,16.84
2023,SG_DMK_PARLYP_UC,Uzbekistan,<=45Y,16.84
2023,SG_DMK_PARLYP_UC,Uzbekistan,<=45Y,16.84
