Year,SeriesCode,GeoAreaName,Value
2000,BX_KLT_DINV_WD_GD_ZS,Belarus,0.93273
2001,BX_KLT_DINV_WD_GD_ZS,Belarus,0.77541
2002,BX_KLT_DINV_WD_GD_ZS,Belarus,1.69313
2003,BX_KLT_DINV_WD_GD_ZS,Belarus,0.96366
2004,BX_KLT_DINV_WD_GD_ZS,Belarus,0.70773
2005,BX_KLT_DINV_WD_GD_ZS,Belarus,1.01498
2006,BX_KLT_DINV_WD_GD_ZS,Belarus,0.96633
2007,BX_KLT_DINV_WD_GD_ZS,Belarus,3.99162
2008,BX_KLT_DINV_WD_GD_ZS,Belarus,3.60068
2009,BX_KLT_DINV_WD_GD_ZS,Belarus,3.68852
2010,BX_KLT_DINV_WD_GD_ZS,Belarus,2.43506
2011,BX_KLT_DINV_WD_GD_ZS,Belarus,6.4808
2012,BX_KLT_DINV_WD_GD_ZS,Belarus,2.22821
2013,BX_KLT_DINV_WD_GD_ZS,Belarus,2.97386
2014,BX_KLT_DINV_WD_GD_ZS,Belarus,2.36253
2015,BX_KLT_DINV_WD_GD_ZS,Belarus,2.92677
2016,BX_KLT_DINV_WD_GD_ZS,Belarus,2.61281
2017,BX_KLT_DINV_WD_GD_ZS,Belarus,2.33214
2000,BX_KLT_DINV_WD_GD_ZS,Georgia,4.29984
2001,BX_KLT_DINV_WD_GD_ZS,Georgia,3.4127
2002,BX_KLT_DINV_WD_GD_ZS,Georgia,4.72354
2003,BX_KLT_DINV_WD_GD_ZS,Georgia,8.39056
2004,BX_KLT_DINV_WD_GD_ZS,Georgia,9.61362
2005,BX_KLT_DINV_WD_GD_ZS,Georgia,7.06785
2006,BX_KLT_DINV_WD_GD_ZS,Georgia,15.12376
2007,BX_KLT_DINV_WD_GD_ZS,Georgia,18.59939
2008,BX_KLT_DINV_WD_GD_ZS,Georgia,12.52226
2018,BX_KLT_DINV_WD_GD_ZS,Belarus,2.37626
2019,BX_KLT_DINV_WD_GD_ZS,Belarus,1.97688
2020,BX_KLT_DINV_WD_GD_ZS,Belarus,2.27012
2021,BX_KLT_DINV_WD_GD_ZS,Belarus,1.80444
2000,BX_KLT_DINV_WD_GD_ZS,Canada,9.17102
2001,BX_KLT_DINV_WD_GD_ZS,Canada,3.84192
2002,BX_KLT_DINV_WD_GD_ZS,Canada,3.21915
2003,BX_KLT_DINV_WD_GD_ZS,Canada,0.78297
2004,BX_KLT_DINV_WD_GD_ZS,Canada,0.14147
2009,BX_KLT_DINV_WD_GD_ZS,Georgia,6.13737
2010,BX_KLT_DINV_WD_GD_ZS,Georgia,7.52167
2011,BX_KLT_DINV_WD_GD_ZS,Georgia,7.74511
2012,BX_KLT_DINV_WD_GD_ZS,Georgia,5.87198
2013,BX_KLT_DINV_WD_GD_ZS,Georgia,6.08836
2014,BX_KLT_DINV_WD_GD_ZS,Georgia,10.42082
2015,BX_KLT_DINV_WD_GD_ZS,Georgia,11.60419
2016,BX_KLT_DINV_WD_GD_ZS,Georgia,10.96187
2017,BX_KLT_DINV_WD_GD_ZS,Georgia,11.88445
2005,BX_KLT_DINV_WD_GD_ZS,Canada,2.17816
2006,BX_KLT_DINV_WD_GD_ZS,Canada,4.8741
2007,BX_KLT_DINV_WD_GD_ZS,Canada,8.20056
2008,BX_KLT_DINV_WD_GD_ZS,Canada,4.51514
2009,BX_KLT_DINV_WD_GD_ZS,Canada,1.52413
2010,BX_KLT_DINV_WD_GD_ZS,Canada,1.83726
2011,BX_KLT_DINV_WD_GD_ZS,Canada,2.13783
2012,BX_KLT_DINV_WD_GD_ZS,Canada,2.70017
2013,BX_KLT_DINV_WD_GD_ZS,Canada,3.6298
2000,BX_KLT_DINV_WD_GD_ZS,Albania,4.10878
2001,BX_KLT_DINV_WD_GD_ZS,Albania,5.28543
2002,BX_KLT_DINV_WD_GD_ZS,Albania,3.10483
2003,BX_KLT_DINV_WD_GD_ZS,Albania,3.17271
2004,BX_KLT_DINV_WD_GD_ZS,Albania,4.75017
2005,BX_KLT_DINV_WD_GD_ZS,Albania,3.25977
2006,BX_KLT_DINV_WD_GD_ZS,Albania,3.65485
2007,BX_KLT_DINV_WD_GD_ZS,Albania,6.10898
2008,BX_KLT_DINV_WD_GD_ZS,Albania,9.68207
