Year,SeriesCode,GeoAreaName,Value
2000,GC_TAX_TOTL_GD_ZS,Chile,16.0724
2001,GC_TAX_TOTL_GD_ZS,Chile,15.91313
2002,GC_TAX_TOTL_GD_ZS,Chile,16.07307
2003,GC_TAX_TOTL_GD_ZS,Chile,15.76883
2004,GC_TAX_TOTL_GD_ZS,Chile,16.42395
2005,GC_TAX_TOTL_GD_ZS,Chile,18.12089
2006,GC_TAX_TOTL_GD_ZS,Chile,19.61202
2007,GC_TAX_TOTL_GD_ZS,Chile,20.37903
2008,GC_TAX_TOTL_GD_ZS,Chile,18.70927
2009,GC_TAX_TOTL_GD_ZS,Chile,14.60586
2010,GC_TAX_TOTL_GD_ZS,Chile,17.47101
2002,GC_TAX_TOTL_GD_ZS,Albania,16.48424
2003,GC_TAX_TOTL_GD_ZS,Albania,17.19614
2004,GC_TAX_TOTL_GD_ZS,Albania,17.96508
2011,GC_TAX_TOTL_GD_ZS,Albania,18.02201
2012,GC_TAX_TOTL_GD_ZS,Albania,17.48323
2013,GC_TAX_TOTL_GD_ZS,Albania,16.50327
2014,GC_TAX_TOTL_GD_ZS,Albania,18.30194
2015,GC_TAX_TOTL_GD_ZS,Albania,18.51579
2016,GC_TAX_TOTL_GD_ZS,Albania,17.59023
2017,GC_TAX_TOTL_GD_ZS,Albania,18.88749
2018,GC_TAX_TOTL_GD_ZS,Albania,18.54595
2011,GC_TAX_TOTL_GD_ZS,Chile,18.9361
2012,GC_TAX_TOTL_GD_ZS,Chile,18.99106
2013,GC_TAX_TOTL_GD_ZS,Chile,17.45877
2014,GC_TAX_TOTL_GD_ZS,Chile,17.0445
2015,GC_TAX_TOTL_GD_ZS,Chile,17.54608
2016,GC_TAX_TOTL_GD_ZS,Chile,17.46896
2017,GC_TAX_TOTL_GD_ZS,Chile,17.50579
2018,GC_TAX_TOTL_GD_ZS,Chile,18.39552
2019,GC_TAX_TOTL_GD_ZS,Chile,17.85362
2020,GC_TAX_TOTL_GD_ZS,Chile,16.24493
2005,GC_TAX_TOTL_GD_ZS,China,8.56924
2006,GC_TAX_TOTL_GD_ZS,China,9.05725
2007,GC_TAX_TOTL_GD_ZS,China,9.77141
2008,GC_TAX_TOTL_GD_ZS,China,10.10143
2009,GC_TAX_TOTL_GD_ZS,China,10.30944
2010,GC_TAX_TOTL_GD_ZS,China,10.21205
2011,GC_TAX_TOTL_GD_ZS,China,10.31279
2012,GC_TAX_TOTL_GD_ZS,China,10.25677
2013,GC_TAX_TOTL_GD_ZS,China,9.90773
2014,GC_TAX_TOTL_GD_ZS,China,9.67862
2015,GC_TAX_TOTL_GD_ZS,China,9.37692
2016,GC_TAX_TOTL_GD_ZS,China,9.12292
2017,GC_TAX_TOTL_GD_ZS,China,9.41932
2018,GC_TAX_TOTL_GD_ZS,China,9.05269
2019,GC_TAX_TOTL_GD_ZS,China,8.49286
2020,GC_TAX_TOTL_GD_ZS,China,8.09063
2000,GC_TAX_TOTL_GD_ZS,Colombia,11.21975
2003,GC_TAX_TOTL_GD_ZS,Colombia,11.25883
2008,GC_TAX_TOTL_GD_ZS,Colombia,13.03151
2009,GC_TAX_TOTL_GD_ZS,Colombia,12.67523
2010,GC_TAX_TOTL_GD_ZS,Colombia,12.14217
2011,GC_TAX_TOTL_GD_ZS,Colombia,14.57588
2012,GC_TAX_TOTL_GD_ZS,Colombia,13.22699
2019,GC_TAX_TOTL_GD_ZS,Albania,18.14438
2020,GC_TAX_TOTL_GD_ZS,Albania,17.01791
2008,GC_TAX_TOTL_GD_ZS,Azerbaijan,16.42118
2009,GC_TAX_TOTL_GD_ZS,Azerbaijan,14.10671
2010,GC_TAX_TOTL_GD_ZS,Azerbaijan,12.15778
2011,GC_TAX_TOTL_GD_ZS,Azerbaijan,12.22476
2012,GC_TAX_TOTL_GD_ZS,Azerbaijan,12.77864
2013,GC_TAX_TOTL_GD_ZS,Azerbaijan,13.38833
2014,GC_TAX_TOTL_GD_ZS,Azerbaijan,14.21254
2015,GC_TAX_TOTL_GD_ZS,Azerbaijan,15.60316
2016,GC_TAX_TOTL_GD_ZS,Azerbaijan,14.55552
2000,GC_TAX_TOTL_GD_ZS,Poland,16.96084
2001,GC_TAX_TOTL_GD_ZS,Poland,16.05596
2002,GC_TAX_TOTL_GD_ZS,Poland,16.84076
2003,GC_TAX_TOTL_GD_ZS,Poland,16.72132
2004,GC_TAX_TOTL_GD_ZS,Poland,15.68968
2005,GC_TAX_TOTL_GD_ZS,Poland,16.47381
2006,GC_TAX_TOTL_GD_ZS,Poland,17.1551
2007,GC_TAX_TOTL_GD_ZS,Poland,18.08653
2008,GC_TAX_TOTL_GD_ZS,Poland,18.26737
2009,GC_TAX_TOTL_GD_ZS,Poland,16.05189
2010,GC_TAX_TOTL_GD_ZS,Poland,16.62098
2013,GC_TAX_TOTL_GD_ZS,Colombia,14.02211
2014,GC_TAX_TOTL_GD_ZS,Colombia,15.69975
2015,GC_TAX_TOTL_GD_ZS,Colombia,15.79726
2016,GC_TAX_TOTL_GD_ZS,Colombia,14.38521
2017,GC_TAX_TOTL_GD_ZS,Colombia,14.85082
2018,GC_TAX_TOTL_GD_ZS,Colombia,14.67433
2019,GC_TAX_TOTL_GD_ZS,Colombia,15.08499
2020,GC_TAX_TOTL_GD_ZS,Colombia,14.22769
2000,GC_TAX_TOTL_GD_ZS,Costa Rica,12.83971
2001,GC_TAX_TOTL_GD_ZS,Costa Rica,13.36103
2002,GC_TAX_TOTL_GD_ZS,Costa Rica,13.36811
2011,GC_TAX_TOTL_GD_ZS,Poland,16.78013
2012,GC_TAX_TOTL_GD_ZS,Poland,16.09957
2013,GC_TAX_TOTL_GD_ZS,Poland,15.74774
2014,GC_TAX_TOTL_GD_ZS,Poland,15.71572
2015,GC_TAX_TOTL_GD_ZS,Poland,15.7099
2016,GC_TAX_TOTL_GD_ZS,Poland,16.32059
2017,GC_TAX_TOTL_GD_ZS,Poland,16.8541
2018,GC_TAX_TOTL_GD_ZS,Poland,17.35518
2019,GC_TAX_TOTL_GD_ZS,Poland,17.33648
2020,GC_TAX_TOTL_GD_ZS,Poland,17.47782
2000,GC_TAX_TOTL_GD_ZS,Portugal,20.8784
2001,GC_TAX_TOTL_GD_ZS,Portugal,20.51404
2002,GC_TAX_TOTL_GD_ZS,Portugal,20.8275
2003,GC_TAX_TOTL_GD_ZS,Portugal,19.88117
2004,GC_TAX_TOTL_GD_ZS,Portugal,19.97953
2005,GC_TAX_TOTL_GD_ZS,Portugal,20.58193
2006,GC_TAX_TOTL_GD_ZS,Portugal,21.12516
2007,GC_TAX_TOTL_GD_ZS,Portugal,21.3473
2008,GC_TAX_TOTL_GD_ZS,Portugal,21.04683
2009,GC_TAX_TOTL_GD_ZS,Portugal,19.0577
2010,GC_TAX_TOTL_GD_ZS,Portugal,19.64281
2011,GC_TAX_TOTL_GD_ZS,Portugal,21.13334
2012,GC_TAX_TOTL_GD_ZS,Portugal,20.77016
2013,GC_TAX_TOTL_GD_ZS,Portugal,22.66209
2014,GC_TAX_TOTL_GD_ZS,Portugal,22.6474
2015,GC_TAX_TOTL_GD_ZS,Portugal,22.78872
2016,GC_TAX_TOTL_GD_ZS,Portugal,22.33199
2017,GC_TAX_TOTL_GD_ZS,Portugal,22.37059
2018,GC_TAX_TOTL_GD_ZS,Portugal,22.65335
2019,GC_TAX_TOTL_GD_ZS,Portugal,22.20119
2020,GC_TAX_TOTL_GD_ZS,Portugal,22.04132
2000,GC_TAX_TOTL_GD_ZS,Romania,17.96271
2001,GC_TAX_TOTL_GD_ZS,Romania,16.63342
2002,GC_TAX_TOTL_GD_ZS,Romania,16.4891
2003,GC_TAX_TOTL_GD_ZS,Romania,17.77476
2004,GC_TAX_TOTL_GD_ZS,Romania,17.42127
2005,GC_TAX_TOTL_GD_ZS,Romania,17.46806
2006,GC_TAX_TOTL_GD_ZS,Romania,17.94706
2007,GC_TAX_TOTL_GD_ZS,Romania,17.53953
2008,GC_TAX_TOTL_GD_ZS,Romania,16.78534
2009,GC_TAX_TOTL_GD_ZS,Romania,15.27296
2010,GC_TAX_TOTL_GD_ZS,Romania,16.24329
2011,GC_TAX_TOTL_GD_ZS,Romania,17.21673
2012,GC_TAX_TOTL_GD_ZS,Romania,17.15692
2013,GC_TAX_TOTL_GD_ZS,Romania,17.763
2014,GC_TAX_TOTL_GD_ZS,Romania,17.93968
2015,GC_TAX_TOTL_GD_ZS,Romania,18.91884
2016,GC_TAX_TOTL_GD_ZS,Romania,17.1105
2017,GC_TAX_TOTL_GD_ZS,Romania,15.587
2018,GC_TAX_TOTL_GD_ZS,Romania,14.38335
2019,GC_TAX_TOTL_GD_ZS,Romania,14.53609
2020,GC_TAX_TOTL_GD_ZS,Romania,14.1752
2007,GC_TAX_TOTL_GD_ZS,Serbia,21.30211
2008,GC_TAX_TOTL_GD_ZS,Serbia,21.14784
2009,GC_TAX_TOTL_GD_ZS,Serbia,20.00481
2010,GC_TAX_TOTL_GD_ZS,Serbia,20.22927
2011,GC_TAX_TOTL_GD_ZS,Serbia,19.05474
2012,GC_TAX_TOTL_GD_ZS,Serbia,18.5525
2013,GC_TAX_TOTL_GD_ZS,Serbia,20.83874
2014,GC_TAX_TOTL_GD_ZS,Serbia,21.97014
2015,GC_TAX_TOTL_GD_ZS,Serbia,22.35521
2016,GC_TAX_TOTL_GD_ZS,Serbia,23.28992
2017,GC_TAX_TOTL_GD_ZS,Serbia,24.06804
2018,GC_TAX_TOTL_GD_ZS,Serbia,23.59819
2019,GC_TAX_TOTL_GD_ZS,Serbia,24.04973
2020,GC_TAX_TOTL_GD_ZS,Serbia,23.48857
2017,GC_TAX_TOTL_GD_ZS,Azerbaijan,13.16405
2018,GC_TAX_TOTL_GD_ZS,Azerbaijan,12.97127
2019,GC_TAX_TOTL_GD_ZS,Azerbaijan,14.21885
2000,GC_TAX_TOTL_GD_ZS,Australia,23.04201
2001,GC_TAX_TOTL_GD_ZS,Australia,24.87565
2002,GC_TAX_TOTL_GD_ZS,Australia,23.56098
2003,GC_TAX_TOTL_GD_ZS,Australia,24.3125
2004,GC_TAX_TOTL_GD_ZS,Australia,24.27144
2005,GC_TAX_TOTL_GD_ZS,Australia,24.76836
2006,GC_TAX_TOTL_GD_ZS,Australia,24.52848
2007,GC_TAX_TOTL_GD_ZS,Australia,24.05567
2008,GC_TAX_TOTL_GD_ZS,Australia,24.21747
2009,GC_TAX_TOTL_GD_ZS,Australia,22.02415
2010,GC_TAX_TOTL_GD_ZS,Australia,20.48279
