Year,SeriesCode,GeoAreaName,Value
2016,SG_PLN_REPOLRES,Albania,81.06667
2018,SG_PLN_REPOLRES,Albania,68.9863
2018,SG_PLN_REPOLRES,Azerbaijan,51.55556
2016,SG_PLN_REPOLRES,Armenia,63.3
2018,SG_PLN_REPOLRES,Armenia,57.22222
2018,SG_PLN_REPOLRES,Bosnia and Herzegovina,33.85746
2016,SG_PLN_REPOLRES,Belarus,73.8
2018,SG_PLN_REPOLRES,Belarus,45.71901
2016,SG_PLN_REPOLRES,Colombia,57.43333
2016,SG_PLN_REPOLRES,Costa Rica,54.96667
2018,SG_PLN_REPOLRES,Costa Rica,42.09023
2018,SG_PLN_REPOLRES,Georgia,43.7096
2016,SG_PLN_REPOLRES,Kyrgyzstan,90.76667
2016,SG_PLN_REPOLRES,Republic of Moldova,56.2
2018,SG_PLN_REPOLRES,Republic of Moldova,60.43758
2018,SG_PLN_REPOLRES,Montenegro,62.53968
2016,SG_PLN_REPOLRES,Viet Nam,50.23333
2018,SG_PLN_REPOLRES,Viet Nam,65.76296
2016,SG_PLN_REPOLRES,Tajikistan,73.66667
2016,SG_PLN_REPOLRES,Tajikistan,73.66667
