Year,SeriesCode,GeoAreaName,Value
2019,SG_REG_CENSUSN,Azerbaijan,1
2016,SG_REG_CENSUSN,Australia,1
2021,SG_REG_CENSUSN,Austria,1
2021,SG_REG_CENSUSN,Belgium,1
2021,SG_REG_CENSUSN,Bulgaria,1
2019,SG_REG_CENSUSN,Belarus,1
2016,SG_REG_CENSUSN,Canada,1
2017,SG_REG_CENSUSN,Chile,1
2020,SG_REG_CENSUSN,China,1
2018,SG_REG_CENSUSN,Colombia,1
2022,SG_REG_CENSUSN,Costa Rica,1
2021,SG_REG_CENSUSN,Croatia,1
2021,SG_REG_CENSUSN,Cyprus,1
2021,SG_REG_CENSUSN,Czechia,1
2021,SG_REG_CENSUSN,Denmark,1
2021,SG_REG_CENSUSN,Estonia,1
2021,SG_REG_CENSUSN,Finland,1
2015,SG_REG_CENSUSN,France,1
2022,SG_REG_CENSUSN,Germany,1
2021,SG_REG_CENSUSN,Greece,1
2021,SG_REG_CENSUSN,Iceland,1
2016,SG_REG_CENSUSN,Ireland,1
2022,SG_REG_CENSUSN,Israel,1
2021,SG_REG_CENSUSN,Italy,1
2015,SG_REG_CENSUSN,Japan,1
2020,SG_REG_CENSUSN,Kazakhstan,1
2015,SG_REG_CENSUSN,Republic of Korea,1
2022,SG_REG_CENSUSN,Kyrgyzstan,1
2021,SG_REG_CENSUSN,Latvia,1
2015,SG_REG_CENSUSN,Liechtenstein,1
2021,SG_REG_CENSUSN,Lithuania,1
2021,SG_REG_CENSUSN,Luxembourg,1
2021,SG_REG_CENSUSN,Malta,1
2020,SG_REG_CENSUSN,Mexico,1
2021,SG_REG_CENSUSN,Netherlands (Kingdom of the),1
2018,SG_REG_CENSUSN,New Zealand,1
2021,SG_REG_CENSUSN,Norway,1
2021,SG_REG_CENSUSN,Poland,1
2021,SG_REG_CENSUSN,Portugal,1
2022,SG_REG_CENSUSN,Romania,1
2021,SG_REG_CENSUSN,Slovakia,1
2019,SG_REG_CENSUSN,Viet Nam,1
2015,SG_REG_CENSUSN,Slovenia,1
2021,SG_REG_CENSUSN,Spain,1
2021,SG_REG_CENSUSN,Sweden,1
2021,SG_REG_CENSUSN,Switzerland,1
2020,SG_REG_CENSUSN,Tajikistan,1
2021,SG_REG_CENSUSN,Türkiye,1
2021,SG_REG_CENSUSN,North Macedonia,1
2021,SG_REG_CENSUSN,United Kingdom of Great Britain and Northern Ireland,1
2021,SG_REG_CENSUSN,United Kingdom of Great Britain and Northern Ireland,1
