Year,SeriesCode,GeoAreaName,Value
2019,DC_OSSD_OFFNL,Albania,166.46623
2020,DC_OSSD_OFFNL,Albania,285.45624
2021,DC_OSSD_OFFNL,Albania,234.46667
2019,DC_OSSD_OFFNL,Azerbaijan,685.19797
2020,DC_OSSD_OFFNL,Azerbaijan,497.37001
2021,DC_OSSD_OFFNL,Azerbaijan,642.48771
2019,DC_OSSD_OFFNL,Armenia,313.48856
2020,DC_OSSD_OFFNL,Armenia,257.60362
2021,DC_OSSD_OFFNL,Armenia,347.64531
2019,DC_OSSD_OFFNL,Bosnia and Herzegovina,206.29082
2020,DC_OSSD_OFFNL,Bosnia and Herzegovina,419.31387
2021,DC_OSSD_OFFNL,Bosnia and Herzegovina,492.29026
2019,DC_OSSD_OFFNL,Belarus,329.94836
2020,DC_OSSD_OFFNL,Belarus,487.60571
2021,DC_OSSD_OFFNL,Belarus,248.69888
2019,DC_OSSD_OFFNL,Chile,1088.0
2020,DC_OSSD_OFFNL,Chile,827.0
2021,DC_OSSD_OFFNL,Chile,1441.94823
2019,DC_OSSD_OFFNL,China,4602.40416
2020,DC_OSSD_OFFNL,China,5405.73779
2021,DC_OSSD_OFFNL,China,6139.13497
2019,DC_OSSD_OFFNL,Colombia,4073.2924
2020,DC_OSSD_OFFNL,Colombia,5092.65469
2021,DC_OSSD_OFFNL,Colombia,4262.64015
2019,DC_OSSD_OFFNL,Costa Rica,634.60644
2020,DC_OSSD_OFFNL,Costa Rica,1193.01162
2021,DC_OSSD_OFFNL,Costa Rica,1478.09074
2019,DC_OSSD_OFFNL,Georgia,530.56685
2020,DC_OSSD_OFFNL,Georgia,1174.06612
2021,DC_OSSD_OFFNL,Georgia,1674.78149
2019,DC_OSSD_OFFNL,India,6353.69877
2020,DC_OSSD_OFFNL,India,12086.60629
2021,DC_OSSD_OFFNL,India,9072.03367
2019,DC_OSSD_OFFNL,Kazakhstan,967.02194
2020,DC_OSSD_OFFNL,Kazakhstan,1705.34224
2021,DC_OSSD_OFFNL,Kazakhstan,1358.93641
2019,DC_OSSD_OFFNL,Kyrgyzstan,42.39013
2020,DC_OSSD_OFFNL,Kyrgyzstan,36.45533
2021,DC_OSSD_OFFNL,Kyrgyzstan,88.32749
2019,DC_OSSD_OFFNL,Mexico,3052.08552
2020,DC_OSSD_OFFNL,Mexico,4463.43837
2021,DC_OSSD_OFFNL,Mexico,3649.75997
2019,DC_OSSD_OFFNL,Republic of Moldova,62.94563
2020,DC_OSSD_OFFNL,Republic of Moldova,290.38511
2021,DC_OSSD_OFFNL,Republic of Moldova,250.2836
2019,DC_OSSD_OFFNL,Montenegro,69.41898
2020,DC_OSSD_OFFNL,Montenegro,236.66967
2021,DC_OSSD_OFFNL,Montenegro,153.54421
2019,DC_OSSD_OFFNL,Serbia,985.19601
2020,DC_OSSD_OFFNL,Serbia,1132.90809
2021,DC_OSSD_OFFNL,Serbia,1321.45374
2019,DC_OSSD_OFFNL,Viet Nam,873.8729
2020,DC_OSSD_OFFNL,Viet Nam,777.99225
2021,DC_OSSD_OFFNL,Viet Nam,976.11277
2019,DC_OSSD_OFFNL,Tajikistan,86.56414
2020,DC_OSSD_OFFNL,Tajikistan,75.85979
2021,DC_OSSD_OFFNL,Tajikistan,190.62068
2019,DC_OSSD_OFFNL,Türkiye,1925.63477
2020,DC_OSSD_OFFNL,Türkiye,3419.9478
2021,DC_OSSD_OFFNL,Türkiye,3240.18776
2019,DC_OSSD_OFFNL,Turkmenistan,134.36684
2020,DC_OSSD_OFFNL,Turkmenistan,230.96806
2021,DC_OSSD_OFFNL,Turkmenistan,170.92731
2019,DC_OSSD_OFFNL,Ukraine,1223.66977
2020,DC_OSSD_OFFNL,Ukraine,1809.36434
2021,DC_OSSD_OFFNL,Ukraine,2270.69613
2019,DC_OSSD_OFFNL,North Macedonia,190.31739
2020,DC_OSSD_OFFNL,North Macedonia,317.39898
2021,DC_OSSD_OFFNL,North Macedonia,300.6753
2019,DC_OSSD_OFFNL,Uzbekistan,1616.82958
2020,DC_OSSD_OFFNL,Uzbekistan,2065.34847
2021,DC_OSSD_OFFNL,Uzbekistan,1333.41684
2021,DC_OSSD_OFFNL,Uzbekistan,1333.41684
