Year,SeriesCode,GeoAreaName,Value
2001,AG_PRD_AGVAS,Azerbaijan,14.84
2002,AG_PRD_AGVAS,Azerbaijan,13.95
2003,AG_PRD_AGVAS,Azerbaijan,12.43
2004,AG_PRD_AGVAS,Azerbaijan,10.99
2005,AG_PRD_AGVAS,Azerbaijan,9.09
2006,AG_PRD_AGVAS,Azerbaijan,7.09
2007,AG_PRD_AGVAS,Azerbaijan,6.7
2008,AG_PRD_AGVAS,Azerbaijan,5.6
2009,AG_PRD_AGVAS,Azerbaijan,6.12
2010,AG_PRD_AGVAS,Azerbaijan,5.52
2011,AG_PRD_AGVAS,Azerbaijan,5.08
2012,AG_PRD_AGVAS,Azerbaijan,5.14
2013,AG_PRD_AGVAS,Azerbaijan,5.37
2014,AG_PRD_AGVAS,Azerbaijan,5.32
2015,AG_PRD_AGVAS,Azerbaijan,6.18
2016,AG_PRD_AGVAS,Azerbaijan,5.6
2017,AG_PRD_AGVAS,Azerbaijan,5.61
2018,AG_PRD_AGVAS,Azerbaijan,5.21
2019,AG_PRD_AGVAS,Azerbaijan,5.7
2020,AG_PRD_AGVAS,Azerbaijan,6.74
2021,AG_PRD_AGVAS,Azerbaijan,5.88
2001,AG_PRD_AGVAS,Australia,3.95
2002,AG_PRD_AGVAS,Australia,2.89
2003,AG_PRD_AGVAS,Australia,3.06
2004,AG_PRD_AGVAS,Australia,2.89
2005,AG_PRD_AGVAS,Australia,2.73
2006,AG_PRD_AGVAS,Australia,2.21
2007,AG_PRD_AGVAS,Australia,2.34
2008,AG_PRD_AGVAS,Australia,2.3
2009,AG_PRD_AGVAS,Australia,2.2
2010,AG_PRD_AGVAS,Australia,2.29
2011,AG_PRD_AGVAS,Australia,2.27
2012,AG_PRD_AGVAS,Australia,2.29
2013,AG_PRD_AGVAS,Australia,2.22
2014,AG_PRD_AGVAS,Australia,2.38
2015,AG_PRD_AGVAS,Australia,2.4
2016,AG_PRD_AGVAS,Australia,2.7
2017,AG_PRD_AGVAS,Australia,2.46
2018,AG_PRD_AGVAS,Australia,2.12
2019,AG_PRD_AGVAS,Australia,2.01
2020,AG_PRD_AGVAS,Australia,2.31
2021,AG_PRD_AGVAS,Australia,3.17
2001,AG_PRD_AGVAS,Austria,1.67
2002,AG_PRD_AGVAS,Austria,1.56
2003,AG_PRD_AGVAS,Austria,1.49
2004,AG_PRD_AGVAS,Austria,1.48
2005,AG_PRD_AGVAS,Austria,1.26
2006,AG_PRD_AGVAS,Austria,1.3
2007,AG_PRD_AGVAS,Austria,1.42
2008,AG_PRD_AGVAS,Austria,1.34
2009,AG_PRD_AGVAS,Austria,1.15
2010,AG_PRD_AGVAS,Austria,1.27
2011,AG_PRD_AGVAS,Austria,1.4
2012,AG_PRD_AGVAS,Austria,1.35
2013,AG_PRD_AGVAS,Austria,1.25
2014,AG_PRD_AGVAS,Austria,1.2
2015,AG_PRD_AGVAS,Austria,1.13
2016,AG_PRD_AGVAS,Austria,1.11
2017,AG_PRD_AGVAS,Austria,1.21
2018,AG_PRD_AGVAS,Austria,1.13
2019,AG_PRD_AGVAS,Austria,1.05
2020,AG_PRD_AGVAS,Austria,1.09
2021,AG_PRD_AGVAS,Austria,1.21
2001,AG_PRD_AGVAS,Armenia,24.0
2002,AG_PRD_AGVAS,Armenia,22.0
2003,AG_PRD_AGVAS,Armenia,20.18
2001,AG_PRD_AGVAS,New Zealand,7.98
2002,AG_PRD_AGVAS,New Zealand,5.85
2003,AG_PRD_AGVAS,New Zealand,5.73
