Year,SeriesCode,GeoAreaName,Age,Location,Sex,Value
2005,SH_PRV_SMOK,Croatia,15+,,MALE,40.5
2005,SH_PRV_SMOK,Croatia,15+,,FEMALE,29.2
2005,SH_PRV_SMOK,Croatia,15+,,BOTHSEX,34.9
2010,SH_PRV_SMOK,Croatia,15+,,MALE,39.5
2010,SH_PRV_SMOK,Croatia,15+,,FEMALE,31.3
2010,SH_PRV_SMOK,Croatia,15+,,BOTHSEX,35.4
2015,SH_PRV_SMOK,Croatia,15+,,MALE,38.5
2015,SH_PRV_SMOK,Croatia,15+,,FEMALE,33.7
2015,SH_PRV_SMOK,Croatia,15+,,BOTHSEX,36.1
2018,SH_PRV_SMOK,Croatia,15+,,BOTHSEX,36.7
2018,SH_PRV_SMOK,Croatia,15+,,FEMALE,34.9
2018,SH_PRV_SMOK,Croatia,15+,,MALE,38.0
2019,SH_PRV_SMOK,Croatia,15+,,MALE,37.8
2019,SH_PRV_SMOK,Croatia,15+,,BOTHSEX,36.7
2019,SH_PRV_SMOK,Croatia,15+,,FEMALE,35.6
2020,SH_PRV_SMOK,Croatia,15+,,FEMALE,36.1
2000,SH_PRV_SMOK,Albania,15+,,BOTHSEX,35.0
2000,SH_PRV_SMOK,Albania,15+,,MALE,59.0
2000,SH_PRV_SMOK,Albania,15+,,FEMALE,10.9
2005,SH_PRV_SMOK,Albania,15+,,MALE,53.2
2005,SH_PRV_SMOK,Albania,15+,,FEMALE,9.4
2005,SH_PRV_SMOK,Albania,15+,,BOTHSEX,31.3
2010,SH_PRV_SMOK,Albania,15+,,BOTHSEX,28.0
2010,SH_PRV_SMOK,Albania,15+,,MALE,47.9
2010,SH_PRV_SMOK,Albania,15+,,FEMALE,8.1
2015,SH_PRV_SMOK,Albania,15+,,MALE,43.2
2015,SH_PRV_SMOK,Albania,15+,,FEMALE,6.9
2015,SH_PRV_SMOK,Albania,15+,,BOTHSEX,25.1
2018,SH_PRV_SMOK,Albania,15+,,BOTHSEX,23.0
2018,SH_PRV_SMOK,Albania,15+,,FEMALE,6.4
2018,SH_PRV_SMOK,Albania,15+,,MALE,40.7
2019,SH_PRV_SMOK,Albania,15+,,MALE,39.8
2020,SH_PRV_SMOK,Croatia,15+,,BOTHSEX,36.9
2020,SH_PRV_SMOK,Croatia,15+,,MALE,37.6
2000,SH_PRV_SMOK,Cyprus,15+,,MALE,60.6
2000,SH_PRV_SMOK,Cyprus,15+,,FEMALE,21.1
2000,SH_PRV_SMOK,Cyprus,15+,,BOTHSEX,40.9
2005,SH_PRV_SMOK,Cyprus,15+,,MALE,56.7
2005,SH_PRV_SMOK,Cyprus,15+,,FEMALE,21.6
2005,SH_PRV_SMOK,Cyprus,15+,,BOTHSEX,39.2
