Year,SeriesCode,GeoAreaName,Age,Sex,Type of skill,Value
2012,SE_ADT_FUNS,Australia,16-65,BOTHSEX,LITE,87.20045
2012,SE_ADT_FUNS,Australia,16-65,FEMALE,NUME,76.64972
2012,SE_ADT_FUNS,Australia,16-65,MALE,NUME,82.37283
2012,SE_ADT_FUNS,Australia,16-65,MALE,LITE,87.04392
2012,SE_ADT_FUNS,Australia,16-65,FEMALE,LITE,87.35749
2012,SE_ADT_FUNS,Australia,16-65,BOTHSEX,NUME,79.51601
2012,SE_ADT_FUNS,Austria,16-65,BOTHSEX,NUME,85.46951
2012,SE_ADT_FUNS,Austria,16-65,BOTHSEX,LITE,84.42585
2012,SE_ADT_FUNS,Austria,16-65,MALE,NUME,87.60377
2012,SE_ADT_FUNS,Austria,16-65,FEMALE,LITE,83.85798
2012,SE_ADT_FUNS,Austria,16-65,MALE,LITE,84.997
2012,SE_ADT_FUNS,Austria,16-65,FEMALE,NUME,83.34751
2013,SE_ADT_FUNS,Armenia,16-65,BOTHSEX,LITE,98.9712
2012,SE_ADT_FUNS,Belgium,16-65,FEMALE,NUME,83.37262
2012,SE_ADT_FUNS,Belgium,16-65,MALE,NUME,88.40691
2012,SE_ADT_FUNS,Belgium,16-65,BOTHSEX,LITE,85.21011
2012,SE_ADT_FUNS,Belgium,16-65,BOTHSEX,NUME,85.91872
2012,SE_ADT_FUNS,Belgium,16-65,FEMALE,LITE,84.28462
2012,SE_ADT_FUNS,Belgium,16-65,MALE,LITE,86.11456
2012,SE_ADT_FUNS,Canada,16-65,MALE,LITE,83.71857
2012,SE_ADT_FUNS,Canada,16-65,FEMALE,LITE,83.22706
2012,SE_ADT_FUNS,Canada,16-65,BOTHSEX,LITE,83.47287
2012,SE_ADT_FUNS,Canada,16-65,BOTHSEX,NUME,77.45051
2012,SE_ADT_FUNS,Canada,16-65,FEMALE,NUME,74.38133
2012,SE_ADT_FUNS,Canada,16-65,MALE,NUME,80.51836
2015,SE_ADT_FUNS,Chile,16-65,MALE,LITE,48.95728
2015,SE_ADT_FUNS,Chile,16-65,BOTHSEX,LITE,46.4913
2015,SE_ADT_FUNS,Chile,16-65,BOTHSEX,NUME,37.89699
2015,SE_ADT_FUNS,Chile,16-65,FEMALE,LITE,44.02853
2015,SE_ADT_FUNS,Chile,16-65,MALE,NUME,44.57371
2015,SE_ADT_FUNS,Chile,16-65,FEMALE,NUME,31.22895
2012,SE_ADT_FUNS,Colombia,16-65,BOTHSEX,LITE,95.6689
2012,SE_ADT_FUNS,Cyprus,16-65,BOTHSEX,LITE,85.60425
2012,SE_ADT_FUNS,Cyprus,16-65,FEMALE,LITE,86.19786
2012,SE_ADT_FUNS,Cyprus,16-65,BOTHSEX,NUME,81.2151
2012,SE_ADT_FUNS,Cyprus,16-65,FEMALE,NUME,79.10392
2012,SE_ADT_FUNS,Cyprus,16-65,MALE,NUME,83.56026
2012,SE_ADT_FUNS,Cyprus,16-65,MALE,LITE,84.94484
2012,SE_ADT_FUNS,Czechia,16-65,BOTHSEX,LITE,88.12896
2012,SE_ADT_FUNS,Czechia,16-65,FEMALE,NUME,85.09798
2012,SE_ADT_FUNS,Czechia,16-65,BOTHSEX,NUME,87.06573
2012,SE_ADT_FUNS,Czechia,16-65,MALE,LITE,88.66247
2012,SE_ADT_FUNS,Czechia,16-65,MALE,NUME,88.99929
2012,SE_ADT_FUNS,Czechia,16-65,FEMALE,LITE,87.58601
2012,SE_ADT_FUNS,Denmark,16-65,MALE,LITE,82.89488
2012,SE_ADT_FUNS,Denmark,16-65,FEMALE,NUME,84.60281
2012,SE_ADT_FUNS,Denmark,16-65,MALE,NUME,86.80215
2012,SE_ADT_FUNS,Denmark,16-65,BOTHSEX,NUME,85.70948
2012,SE_ADT_FUNS,Denmark,16-65,FEMALE,LITE,85.60064
2012,SE_ADT_FUNS,Denmark,16-65,BOTHSEX,LITE,84.23915
2012,SE_ADT_FUNS,Estonia,16-65,BOTHSEX,LITE,86.93386
2012,SE_ADT_FUNS,Estonia,16-65,FEMALE,LITE,87.48161
2012,SE_ADT_FUNS,Estonia,16-65,BOTHSEX,NUME,85.65057
2012,SE_ADT_FUNS,Estonia,16-65,MALE,NUME,86.61527
2012,SE_ADT_FUNS,Estonia,16-65,FEMALE,NUME,84.76597
2012,SE_ADT_FUNS,Estonia,16-65,MALE,LITE,86.33652
2012,SE_ADT_FUNS,Finland,16-65,FEMALE,NUME,86.18579
2012,SE_ADT_FUNS,Finland,16-65,MALE,NUME,88.13833
2012,SE_ADT_FUNS,Finland,16-65,BOTHSEX,NUME,87.16763
2012,SE_ADT_FUNS,Finland,16-65,FEMALE,LITE,90.28474
2012,SE_ADT_FUNS,Finland,16-65,BOTHSEX,LITE,89.38966
2012,SE_ADT_FUNS,Finland,16-65,MALE,LITE,88.50471
2012,SE_ADT_FUNS,France,16-65,BOTHSEX,NUME,71.73375
2012,SE_ADT_FUNS,France,16-65,MALE,NUME,73.98215
2012,SE_ADT_FUNS,France,16-65,FEMALE,NUME,69.58778
2012,SE_ADT_FUNS,France,16-65,BOTHSEX,LITE,78.25999
2012,SE_ADT_FUNS,France,16-65,FEMALE,LITE,78.95599
2012,SE_ADT_FUNS,France,16-65,MALE,LITE,77.53078
2013,SE_ADT_FUNS,Georgia,16-65,BOTHSEX,LITE,95.866
2012,SE_ADT_FUNS,Germany,16-65,MALE,LITE,83.27415
2012,SE_ADT_FUNS,Germany,16-65,FEMALE,LITE,81.14138
2012,SE_ADT_FUNS,Germany,16-65,BOTHSEX,LITE,82.21861
2012,SE_ADT_FUNS,Germany,16-65,FEMALE,NUME,77.40175
2012,SE_ADT_FUNS,Germany,16-65,MALE,NUME,85.17989
2012,SE_ADT_FUNS,Germany,16-65,BOTHSEX,NUME,81.33037
2015,SE_ADT_FUNS,Greece,16-65,FEMALE,LITE,75.09602
2015,SE_ADT_FUNS,Greece,16-65,FEMALE,NUME,69.13732
2015,SE_ADT_FUNS,Greece,16-65,MALE,LITE,71.27958
2015,SE_ADT_FUNS,Greece,16-65,BOTHSEX,LITE,73.22185
2015,SE_ADT_FUNS,Greece,16-65,BOTHSEX,NUME,71.16701
2015,SE_ADT_FUNS,Greece,16-65,MALE,NUME,73.27045
2017,SE_ADT_FUNS,Hungary,16-65,MALE,LITE,79.73573
2017,SE_ADT_FUNS,Hungary,16-65,FEMALE,NUME,82.63985
2017,SE_ADT_FUNS,Hungary,16-65,FEMALE,LITE,82.93382
2017,SE_ADT_FUNS,Hungary,16-65,MALE,NUME,81.75169
2017,SE_ADT_FUNS,Hungary,16-65,BOTHSEX,NUME,82.20148
2017,SE_ADT_FUNS,Hungary,16-65,BOTHSEX,LITE,81.35535
2012,SE_ADT_FUNS,Ireland,16-65,BOTHSEX,NUME,74.70376
2012,SE_ADT_FUNS,Ireland,16-65,FEMALE,LITE,82.71765
2012,SE_ADT_FUNS,Ireland,16-65,MALE,NUME,78.08518
2012,SE_ADT_FUNS,Ireland,16-65,MALE,LITE,82.22414
2012,SE_ADT_FUNS,Ireland,16-65,FEMALE,NUME,71.46496
2012,SE_ADT_FUNS,Ireland,16-65,BOTHSEX,LITE,82.47621
2015,SE_ADT_FUNS,Israel,16-65,BOTHSEX,NUME,68.33002
2015,SE_ADT_FUNS,Israel,16-65,MALE,NUME,71.39946
2015,SE_ADT_FUNS,Israel,16-65,FEMALE,NUME,65.38005
2015,SE_ADT_FUNS,Israel,16-65,BOTHSEX,LITE,72.23684
2015,SE_ADT_FUNS,Israel,16-65,FEMALE,LITE,72.6085
2015,SE_ADT_FUNS,Israel,16-65,MALE,LITE,71.85014
2012,SE_ADT_FUNS,Italy,16-65,BOTHSEX,NUME,68.11127
2012,SE_ADT_FUNS,Italy,16-65,MALE,NUME,71.03962
2012,SE_ADT_FUNS,Italy,16-65,FEMALE,LITE,73.46418
2012,SE_ADT_FUNS,Italy,16-65,FEMALE,NUME,65.18254
2012,SE_ADT_FUNS,Italy,16-65,MALE,LITE,70.80733
2012,SE_ADT_FUNS,Italy,16-65,BOTHSEX,LITE,72.13567
2012,SE_ADT_FUNS,Japan,16-65,MALE,LITE,94.90152
