Year,SeriesCode,GeoAreaName,Education level,Sex,Value
2017,SE_ACS_SANIT,Albania,UPPSEC,,82.93651
2018,SE_ACS_SANIT,Albania,PRIMAR,,82.75689
2018,SE_ACS_SANIT,Albania,LOWSEC,,95.39033
2018,SE_ACS_SANIT,Albania,UPPSEC,,89.89899
2019,SE_ACS_SANIT,Albania,LOWSEC,,95.11426
2019,SE_ACS_SANIT,Albania,PRIMAR,,73.79973
2019,SE_ACS_SANIT,Albania,UPPSEC,,89.53722
2020,SE_ACS_SANIT,Albania,UPPSEC,,100.0
2020,SE_ACS_SANIT,Albania,PRIMAR,,81.34398
2020,SE_ACS_SANIT,Albania,LOWSEC,,100.0
2021,SE_ACS_SANIT,Albania,LOWSEC,,81.82594
2021,SE_ACS_SANIT,Albania,PRIMAR,,81.82594
2021,SE_ACS_SANIT,Albania,UPPSEC,,90.96386
2016,SE_ACS_SANIT,Azerbaijan,LOWSEC,,100.0
2016,SE_ACS_SANIT,Azerbaijan,PRIMAR,,100.0
2016,SE_ACS_SANIT,Azerbaijan,UPPSEC,,100.0
2017,SE_ACS_SANIT,Azerbaijan,UPPSEC,,100.0
2017,SE_ACS_SANIT,Azerbaijan,PRIMAR,,100.0
2017,SE_ACS_SANIT,Azerbaijan,LOWSEC,,100.0
2018,SE_ACS_SANIT,Azerbaijan,LOWSEC,,100.0
2018,SE_ACS_SANIT,Azerbaijan,PRIMAR,,100.0
2018,SE_ACS_SANIT,Azerbaijan,UPPSEC,,100.0
2019,SE_ACS_SANIT,Azerbaijan,LOWSEC,,100.0
2019,SE_ACS_SANIT,Azerbaijan,UPPSEC,,100.0
2019,SE_ACS_SANIT,Azerbaijan,PRIMAR,,100.0
2020,SE_ACS_SANIT,Azerbaijan,LOWSEC,,100.0
2020,SE_ACS_SANIT,Azerbaijan,PRIMAR,,100.0
2020,SE_ACS_SANIT,Azerbaijan,UPPSEC,,100.0
2021,SE_ACS_SANIT,Azerbaijan,UPPSEC,,100.0
2021,SE_ACS_SANIT,Azerbaijan,PRIMAR,,100.0
2021,SE_ACS_SANIT,Azerbaijan,LOWSEC,,100.0
2000,SE_ACS_SANIT,Australia,UPPSEC,,100.0
2000,SE_ACS_SANIT,Australia,PRIMAR,,100.0
2000,SE_ACS_SANIT,Australia,LOWSEC,,100.0
2001,SE_ACS_SANIT,Australia,PRIMAR,,100.0
2001,SE_ACS_SANIT,Australia,UPPSEC,,100.0
2001,SE_ACS_SANIT,Australia,LOWSEC,,100.0
2002,SE_ACS_SANIT,Australia,UPPSEC,,100.0
2002,SE_ACS_SANIT,Australia,PRIMAR,,100.0
2002,SE_ACS_SANIT,Australia,LOWSEC,,100.0
2003,SE_ACS_SANIT,Australia,LOWSEC,,100.0
2003,SE_ACS_SANIT,Australia,PRIMAR,,100.0
2003,SE_ACS_SANIT,Australia,UPPSEC,,100.0
2004,SE_ACS_SANIT,Australia,UPPSEC,,100.0
2020,SE_ACS_SANIT,Lithuania,LOWSEC,,100.0
2020,SE_ACS_SANIT,Lithuania,UPPSEC,,100.0
2020,SE_ACS_SANIT,Lithuania,PRIMAR,,100.0
2016,SE_ACS_SANIT,Mexico,UPPSEC,,81.30525
2016,SE_ACS_SANIT,Mexico,PRIMAR,,74.7
2016,SE_ACS_SANIT,Republic of Moldova,PRIMAR,,100.0
2016,SE_ACS_SANIT,Republic of Moldova,UPPSEC,,100.0
2016,SE_ACS_SANIT,Republic of Moldova,LOWSEC,,100.0
2017,SE_ACS_SANIT,Republic of Moldova,LOWSEC,,100.0
2017,SE_ACS_SANIT,Republic of Moldova,UPPSEC,,100.0
2017,SE_ACS_SANIT,Republic of Moldova,PRIMAR,,100.0
2004,SE_ACS_SANIT,Australia,PRIMAR,,100.0
2004,SE_ACS_SANIT,Australia,LOWSEC,,100.0
2005,SE_ACS_SANIT,Australia,LOWSEC,,100.0
2005,SE_ACS_SANIT,Australia,PRIMAR,,100.0
2005,SE_ACS_SANIT,Australia,UPPSEC,,100.0
2006,SE_ACS_SANIT,Australia,PRIMAR,,100.0
2006,SE_ACS_SANIT,Australia,LOWSEC,,100.0
2006,SE_ACS_SANIT,Australia,UPPSEC,,100.0
2007,SE_ACS_SANIT,Australia,LOWSEC,,100.0
2007,SE_ACS_SANIT,Australia,PRIMAR,,100.0
2007,SE_ACS_SANIT,Australia,UPPSEC,,100.0
2018,SE_ACS_SANIT,Republic of Moldova,PRIMAR,,100.0
2018,SE_ACS_SANIT,Republic of Moldova,UPPSEC,,100.0
2018,SE_ACS_SANIT,Republic of Moldova,LOWSEC,,100.0
2019,SE_ACS_SANIT,Republic of Moldova,LOWSEC,,100.0
2019,SE_ACS_SANIT,Republic of Moldova,UPPSEC,,100.0
2019,SE_ACS_SANIT,Republic of Moldova,PRIMAR,,100.0
2000,SE_ACS_SANIT,Netherlands (Kingdom of the),PRIMAR,,100.0
2000,SE_ACS_SANIT,Netherlands (Kingdom of the),UPPSEC,,100.0
2000,SE_ACS_SANIT,Netherlands (Kingdom of the),LOWSEC,,100.0
2001,SE_ACS_SANIT,Netherlands (Kingdom of the),PRIMAR,,100.0
2008,SE_ACS_SANIT,Australia,UPPSEC,,100.0
2008,SE_ACS_SANIT,Australia,PRIMAR,,100.0
2008,SE_ACS_SANIT,Australia,LOWSEC,,100.0
2009,SE_ACS_SANIT,Australia,LOWSEC,,100.0
2009,SE_ACS_SANIT,Australia,PRIMAR,,100.0
2009,SE_ACS_SANIT,Australia,UPPSEC,,100.0
2010,SE_ACS_SANIT,Australia,UPPSEC,,100.0
2010,SE_ACS_SANIT,Australia,PRIMAR,,100.0
2010,SE_ACS_SANIT,Australia,LOWSEC,,100.0
2011,SE_ACS_SANIT,Australia,PRIMAR,,100.0
2011,SE_ACS_SANIT,Australia,UPPSEC,,100.0
2001,SE_ACS_SANIT,Netherlands (Kingdom of the),LOWSEC,,100.0
2001,SE_ACS_SANIT,Netherlands (Kingdom of the),UPPSEC,,100.0
2002,SE_ACS_SANIT,Netherlands (Kingdom of the),PRIMAR,,100.0
2002,SE_ACS_SANIT,Netherlands (Kingdom of the),UPPSEC,,100.0
2002,SE_ACS_SANIT,Netherlands (Kingdom of the),LOWSEC,,100.0
2003,SE_ACS_SANIT,Netherlands (Kingdom of the),LOWSEC,,100.0
2003,SE_ACS_SANIT,Netherlands (Kingdom of the),UPPSEC,,100.0
2003,SE_ACS_SANIT,Netherlands (Kingdom of the),PRIMAR,,100.0
2004,SE_ACS_SANIT,Netherlands (Kingdom of the),PRIMAR,,100.0
