Year,SeriesCode,GeoAreaName,Value
2022,SH_LGR_ACSRHEC6,Germany,100
2022,SH_LGR_ACSRHEC6,Greece,0
2022,SH_LGR_ACSRHEC6,Hungary,100
2022,SH_LGR_ACSRHEC6,India,100
2022,SH_LGR_ACSRHEC6,Japan,100
2022,SH_LGR_ACSRHEC6,Kazakhstan,100
2019,SH_LGR_ACSRHEC6,Kyrgyzstan,100
2019,SH_LGR_ACSRHEC6,Latvia,100
2022,SH_LGR_ACSRHEC6,Lithuania,100
2019,SH_LGR_ACSRHEC6,Malta,100
2022,SH_LGR_ACSRHEC6,Mexico,100
2019,SH_LGR_ACSRHEC6,Republic of Moldova,100
2019,SH_LGR_ACSRHEC6,Montenegro,0
2022,SH_LGR_ACSRHEC6,Netherlands (Kingdom of the),100
2019,SH_LGR_ACSRHEC6,New Zealand,100
2022,SH_LGR_ACSRHEC6,Norway,100
2022,SH_LGR_ACSRHEC6,Poland,100
2022,SH_LGR_ACSRHEC6,Portugal,100
2022,SH_LGR_ACSRHEC6,Romania,100
2022,SH_LGR_ACSRHEC6,Serbia,100
2022,SH_LGR_ACSRHEC6,Slovakia,100
2019,SH_LGR_ACSRHEC6,Viet Nam,0
2022,SH_LGR_ACSRHEC6,Slovenia,100
2019,SH_LGR_ACSRHEC6,Sweden,100
2019,SH_LGR_ACSRHEC6,Switzerland,100
2022,SH_LGR_ACSRHEC6,United Arab Emirates,100
2022,SH_LGR_ACSRHEC6,Türkiye,100
2022,SH_LGR_ACSRHEC6,Turkmenistan,100
2022,SH_LGR_ACSRHEC6,Albania,100
2022,SH_LGR_ACSRHEC6,Australia,100
2022,SH_LGR_ACSRHEC6,Austria,100
2019,SH_LGR_ACSRHEC6,Armenia,100
2019,SH_LGR_ACSRHEC6,Belgium,100
2022,SH_LGR_ACSRHEC6,Bosnia and Herzegovina,100
2022,SH_LGR_ACSRHEC6,Bulgaria,0
2022,SH_LGR_ACSRHEC6,Belarus,100
2022,SH_LGR_ACSRHEC6,Canada,100
2022,SH_LGR_ACSRHEC6,Chile,100
2022,SH_LGR_ACSRHEC6,China,100
2022,SH_LGR_ACSRHEC6,Colombia,100
2022,SH_LGR_ACSRHEC6,Costa Rica,100
2022,SH_LGR_ACSRHEC6,Croatia,100
2022,SH_LGR_ACSRHEC6,Ukraine,100
2022,SH_LGR_ACSRHEC6,North Macedonia,100
2022,SH_LGR_ACSRHEC6,United Kingdom of Great Britain and Northern Ireland,100
2022,SH_LGR_ACSRHEC6,Uzbekistan,100
2022,SH_LGR_ACSRHEC6,Cyprus,100
2022,SH_LGR_ACSRHEC6,Czechia,100
2022,SH_LGR_ACSRHEC6,Denmark,100
2022,SH_LGR_ACSRHEC6,Estonia,100
2022,SH_LGR_ACSRHEC6,Finland,100
2022,SH_LGR_ACSRHEC6,Georgia,100
2022,SH_LGR_ACSRHEC6,Georgia,100
