Year,SeriesCode,GeoAreaName,Level/Status,Value
2017,ER_H2O_IWRMD_IP,Albania,_T,65
2020,ER_H2O_IWRMD_IP,Albania,_T,58
2017,ER_H2O_IWRMD_IP,Azerbaijan,_T,59
2020,ER_H2O_IWRMD_IP,Azerbaijan,_T,61
2017,ER_H2O_IWRMD_IP,Australia,_T,88
2020,ER_H2O_IWRMD_IP,Australia,_T,89
2017,ER_H2O_IWRMD_IP,Austria,_T,95
2020,ER_H2O_IWRMD_IP,Austria,_T,95
2017,ER_H2O_IWRMD_IP,Armenia,_T,40
2020,ER_H2O_IWRMD_IP,Armenia,_T,46
2017,ER_H2O_IWRMD_IP,Belgium,_T,94
2020,ER_H2O_IWRMD_IP,Belgium,_T,95
2017,ER_H2O_IWRMD_IP,Bosnia and Herzegovina,_T,62
2020,ER_H2O_IWRMD_IP,Bosnia and Herzegovina,_T,53
2017,ER_H2O_IWRMD_IP,Bulgaria,_T,65
2020,ER_H2O_IWRMD_IP,Bulgaria,_T,72
2017,ER_H2O_IWRMD_IP,Belarus,_T,35
2020,ER_H2O_IWRMD_IP,Belarus,_T,56
2020,ER_H2O_IWRMD_IP,Canada,_T,0
2017,ER_H2O_IWRMD_IP,Chile,_T,26
2020,ER_H2O_IWRMD_IP,Chile,_T,39
2017,ER_H2O_IWRMD_IP,China,_T,75
2020,ER_H2O_IWRMD_IP,China,_T,75
2017,ER_H2O_IWRMD_IP,Colombia,_T,55
2020,ER_H2O_IWRMD_IP,Colombia,_T,70
2017,ER_H2O_IWRMD_IP,Costa Rica,_T,44
2020,ER_H2O_IWRMD_IP,Costa Rica,_T,56
2017,ER_H2O_IWRMD_IP,Croatia,_T,98
2020,ER_H2O_IWRMD_IP,Croatia,_T,98
2017,ER_H2O_IWRMD_IP,Cyprus,_T,91
2020,ER_H2O_IWRMD_IP,Cyprus,_T,96
2017,ER_H2O_IWRMD_IP,Czechia,_T,83
2020,ER_H2O_IWRMD_IP,Czechia,_T,83
2017,ER_H2O_IWRMD_IP,Denmark,_T,94
2020,ER_H2O_IWRMD_IP,Denmark,_T,96
2017,ER_H2O_IWRMD_IP,Estonia,_T,93
2020,ER_H2O_IWRMD_IP,Estonia,_T,96
2017,ER_H2O_IWRMD_IP,Finland,_T,79
2020,ER_H2O_IWRMD_IP,Finland,_T,80
