Year,SeriesCode,GeoAreaName,Value
2017,EG_TBA_H2COAQ,Albania,89.32
2020,EG_TBA_H2COAQ,Albania,51.67
2020,EG_TBA_H2COAQ,Azerbaijan,3.86
2017,EG_TBA_H2COAQ,Austria,100.0
2020,EG_TBA_H2COAQ,Austria,100.0
2017,EG_TBA_H2COAQ,Armenia,0.0
2020,EG_TBA_H2COAQ,Armenia,0.0
2017,EG_TBA_H2COAQ,Belgium,100.0
2020,EG_TBA_H2COAQ,Belgium,100.0
2017,EG_TBA_H2COAQ,Bosnia and Herzegovina,73.32
2020,EG_TBA_H2COAQ,Bosnia and Herzegovina,73.32
2017,EG_TBA_H2COAQ,Bulgaria,98.0
2020,EG_TBA_H2COAQ,Bulgaria,97.59
2020,EG_TBA_H2COAQ,Belarus,67.43
2017,EG_TBA_H2COAQ,Canada,0.0
2020,EG_TBA_H2COAQ,Canada,0.0
2017,EG_TBA_H2COAQ,Chile,0.0
2020,EG_TBA_H2COAQ,Chile,0.0
2020,EG_TBA_H2COAQ,Costa Rica,0.0
2020,EG_TBA_H2COAQ,Croatia,100.0
2017,EG_TBA_H2COAQ,Czechia,100.0
2020,EG_TBA_H2COAQ,Czechia,100.0
2017,EG_TBA_H2COAQ,Estonia,100.0
2020,EG_TBA_H2COAQ,Estonia,100.0
2017,EG_TBA_H2COAQ,Georgia,0.0
2020,EG_TBA_H2COAQ,Georgia,0.0
2017,EG_TBA_H2COAQ,Germany,100.0
2020,EG_TBA_H2COAQ,Germany,100.0
2018,EG_TBA_H2COAQ,Greece,1.0
2020,EG_TBA_H2COAQ,Greece,1.03
2017,EG_TBA_H2COAQ,Hungary,100.0
2020,EG_TBA_H2COAQ,Hungary,100.0
2017,EG_TBA_H2COAQ,Ireland,100.0
2020,EG_TBA_H2COAQ,Ireland,100.0
2017,EG_TBA_H2COAQ,Italy,100.0
2020,EG_TBA_H2COAQ,Italy,100.0
2017,EG_TBA_H2COAQ,Kazakhstan,0.0
2020,EG_TBA_H2COAQ,Kazakhstan,0.0
2017,EG_TBA_H2COAQ,Republic of Korea,0.0
2020,EG_TBA_H2COAQ,Republic of Korea,0.0
2020,EG_TBA_H2COAQ,Kyrgyzstan,0.0
2017,EG_TBA_H2COAQ,Latvia,95.04
2020,EG_TBA_H2COAQ,Latvia,94.52
2020,EG_TBA_H2COAQ,Liechtenstein,100.0
2017,EG_TBA_H2COAQ,Lithuania,50.17
2020,EG_TBA_H2COAQ,Lithuania,50.17
2017,EG_TBA_H2COAQ,Luxembourg,100.0
2020,EG_TBA_H2COAQ,Luxembourg,100.0
2017,EG_TBA_H2COAQ,Mexico,0.0
2020,EG_TBA_H2COAQ,Mexico,21.67
2018,EG_TBA_H2COAQ,Republic of Moldova,100.0
2020,EG_TBA_H2COAQ,Republic of Moldova,100.0
2017,EG_TBA_H2COAQ,Montenegro,0.0
2020,EG_TBA_H2COAQ,Montenegro,20.19
2017,EG_TBA_H2COAQ,Netherlands (Kingdom of the),100.0
2020,EG_TBA_H2COAQ,Netherlands (Kingdom of the),100.0
2017,EG_TBA_H2COAQ,Norway,54.41
2020,EG_TBA_H2COAQ,Norway,88.31
2017,EG_TBA_H2COAQ,Poland,100.0
2020,EG_TBA_H2COAQ,Poland,100.0
2017,EG_TBA_H2COAQ,Romania,100.0
2020,EG_TBA_H2COAQ,Romania,100.0
2017,EG_TBA_H2COAQ,Serbia,78.09
2020,EG_TBA_H2COAQ,Serbia,73.73
2017,EG_TBA_H2COAQ,Slovakia,100.0
2020,EG_TBA_H2COAQ,Slovakia,21.94
2020,EG_TBA_H2COAQ,Viet Nam,0.0
2017,EG_TBA_H2COAQ,Slovenia,100.0
2020,EG_TBA_H2COAQ,Slovenia,100.0
2017,EG_TBA_H2COAQ,Sweden,100.0
2020,EG_TBA_H2COAQ,Sweden,100.0
2020,EG_TBA_H2COAQ,Switzerland,74.11
2020,EG_TBA_H2COAQ,United Arab Emirates,0.0
2020,EG_TBA_H2COAQ,Ukraine,100.0
2020,EG_TBA_H2COAQ,North Macedonia,12.22
2017,EG_TBA_H2COAQ,United Kingdom of Great Britain and Northern Ireland,0.0
2020,EG_TBA_H2COAQ,United Kingdom of Great Britain and Northern Ireland,0.0
2020,EG_TBA_H2COAQ,Uzbekistan,0.0
2020,EG_TBA_H2COAQ,Uzbekistan,0.0
