Year,GeoAreaName,Value
2000,Estonia,19.76
2001,Estonia,18.85
2002,Estonia,19.34
2003,Estonia,19.88
2004,Estonia,20.0
2005,Estonia,18.9
2006,Estonia,17.22
2007,Estonia,18.65
2008,Estonia,20.45
2009,Estonia,24.21
2010,Estonia,25.32
2011,Estonia,25.16
2012,Estonia,24.96
2013,Estonia,24.47
2014,Estonia,25.29
2015,Estonia,28.17
2016,Estonia,27.23
2017,Estonia,27.52
2018,Estonia,28.59
2019,Estonia,31.34
2020,Estonia,40.0
2000,Finland,31.68
2001,Finland,29.25
2002,Finland,29.52
2003,Finland,28.35
2004,Finland,31.1
2005,Finland,31.52
2006,Finland,31.25
2007,Finland,31.8
2008,Finland,34.61
2009,Finland,32.46
2010,Finland,33.43
2011,Finland,35.14
2012,Finland,38.72
2013,Finland,38.52
2014,Finland,41.25
2015,Finland,43.23
2016,Finland,42.4
2017,Finland,44.48
2018,Finland,44.3
2019,Finland,45.6
2020,Finland,47.49
2000,Albania,41.36
2001,Albania,39.04
2002,Albania,35.82
2003,Albania,33.67
2004,Albania,35.84
2005,Albania,36.77
2006,Albania,31.62
2007,Albania,32.0
2008,Albania,35.79
2009,Albania,37.09
2010,Albania,36.99
2011,Albania,35.84
2012,Albania,39.91
2013,Albania,41.14
2000,France,9.32
2001,France,9.46
2002,France,8.73
2003,France,8.91
2004,France,8.95
2005,France,8.66
2006,France,8.52
2007,France,9.46
2008,France,10.6
2009,France,11.32
2010,France,11.99
2011,France,10.65
2012,France,12.35
2013,France,13.44
2000,Uzbekistan,0.72
2001,Uzbekistan,0.78
2002,Uzbekistan,1.02
2003,Uzbekistan,1.42
2004,Uzbekistan,1.05
2005,Uzbekistan,1.62
2006,Uzbekistan,0.85
2007,Uzbekistan,0.9
2008,Uzbekistan,0.8
2009,Uzbekistan,1.25
2010,Uzbekistan,1.35
2011,Uzbekistan,0.95
2012,Uzbekistan,1.34
2014,France,13.19
2015,France,13.34
2016,France,14.25
2017,France,14.12
2018,France,15.21
2019,France,15.53
2020,France,16.87
2000,Georgia,47.25
2001,Georgia,53.15
2002,Georgia,56.76
2003,Georgia,55.33
2004,Georgia,54.53
2005,Georgia,41.48
2006,Georgia,37.22
2014,Albania,38.56
2015,Albania,38.49
2016,Albania,39.44
2017,Albania,36.94
2018,Albania,37.83
2019,Albania,40.11
2020,Albania,44.58
2000,Azerbaijan,2.07
2001,Azerbaijan,1.75
2002,Azerbaijan,2.35
2003,Azerbaijan,2.94
2004,Azerbaijan,3.07
2005,Azerbaijan,3.36
2006,Azerbaijan,2.86
2007,Azerbaijan,3.78
2008,Azerbaijan,3.08
2009,Azerbaijan,3.27
2010,Azerbaijan,4.45
2011,Azerbaijan,3.55
2012,Azerbaijan,2.84
2013,Azerbaijan,2.52
2014,Azerbaijan,2.12
2015,Azerbaijan,2.33
2016,Azerbaijan,1.94
2017,Azerbaijan,1.91
2018,Azerbaijan,1.93
2007,Georgia,36.22
2008,Georgia,36.3
2009,Georgia,36.72
2010,Georgia,39.15
2011,Georgia,31.53
2012,Georgia,28.69
2013,Georgia,32.41
2014,Georgia,30.69
2015,Georgia,27.54
2016,Georgia,27.18
2017,Georgia,27.52
2018,Georgia,27.37
2019,Georgia,24.69
2020,Georgia,23.45
2019,Azerbaijan,1.62
2020,Azerbaijan,1.23
2000,Austria,26.43
2001,Austria,25.53
2002,Austria,24.68
2003,Austria,22.56
2004,Austria,23.17
2005,Austria,24.41
2006,Austria,26.64
2007,Austria,28.99
2008,Austria,29.68
2009,Austria,31.31
2010,Austria,31.15
2000,Germany,3.7
2001,Germany,3.9
2002,Germany,4.41
2003,Germany,5.44
2004,Germany,6.34
2005,Germany,7.28
2006,Germany,8.59
2007,Germany,10.47
2008,Germany,10.25
2009,Germany,10.72
2010,Germany,11.61
2011,Germany,12.54
2012,Germany,13.64
2013,Germany,13.63
2011,Austria,31.64
2012,Austria,34.37
2013,Austria,34.58
2014,Austria,35.67
2015,Austria,34.82
2016,Austria,34.63
2017,Austria,33.97
2018,Austria,34.08
2019,Austria,33.98
2020,Austria,35.77
2000,Armenia,7.16
2001,Armenia,5.42
2002,Armenia,8.9
2003,Armenia,9.81
2004,Armenia,8.71
2005,Armenia,6.49
2006,Armenia,7.65
2007,Armenia,7.02
2008,Armenia,6.4
2009,Armenia,7.8
2010,Armenia,9.36
2011,Armenia,8.01
2012,Armenia,6.56
2013,Armenia,6.77
2014,Armenia,7.08
2015,Armenia,10.74
2016,Armenia,13.15
2017,Armenia,12.56
2018,Armenia,11.13
2019,Armenia,10.34
2020,Armenia,8.38
2000,Belgium,1.44
2001,Belgium,1.58
2002,Belgium,1.68
2003,Belgium,1.89
2004,Belgium,2.04
2005,Belgium,2.44
2006,Belgium,2.87
2007,Belgium,3.4
2008,Belgium,3.95
2009,Belgium,4.87
2010,Belgium,6.25
2014,Germany,14.02
2015,Germany,14.55
2016,Germany,14.24
2017,Germany,15.22
2018,Germany,16.04
2019,Germany,17.07
2020,Germany,18.6
2000,Greece,7.82
2001,Greece,7.11
2002,Greece,7.33
2003,Greece,7.6
2004,Greece,7.85
2005,Greece,8.01
2006,Greece,8.51
2007,Greece,8.05
2008,Greece,8.32
2009,Greece,9.18
2010,Greece,11.38
2011,Greece,11.38
2012,Greece,14.17
2013,Greece,16.61
2014,Greece,16.41
2015,Greece,17.47
2016,Greece,16.41
2017,Greece,16.38
2018,Greece,17.86
2019,Greece,18.52
2020,Greece,20.08
2011,Belgium,6.7
2012,Belgium,7.69
2013,Belgium,8.26
2014,Belgium,9.13
2015,Belgium,9.42
2016,Belgium,9.2
2017,Belgium,9.66
2018,Belgium,10.65
2019,Belgium,10.2
2020,Belgium,12.28
2000,Bosnia and Herzegovina,19.35
2001,Bosnia and Herzegovina,20.27
2002,Bosnia and Herzegovina,21.21
2003,Bosnia and Herzegovina,20.14
2004,Bosnia and Herzegovina,20.1
2005,Bosnia and Herzegovina,19.73
2006,Bosnia and Herzegovina,18.12
2007,Bosnia and Herzegovina,14.84
2008,Bosnia and Herzegovina,14.28
2009,Bosnia and Herzegovina,17.43
2010,Bosnia and Herzegovina,19.57
2011,Bosnia and Herzegovina,14.16
2012,Bosnia and Herzegovina,15.28
2013,Bosnia and Herzegovina,19.48
2014,Bosnia and Herzegovina,23.65
2015,Bosnia and Herzegovina,25.25
2000,Hungary,5.17
2001,Hungary,5.12
2002,Hungary,5.17
2003,Hungary,5.01
2004,Hungary,4.63
2005,Hungary,7.29
2006,Hungary,7.86
2007,Hungary,9.0
2008,Hungary,8.96
2009,Hungary,12.29
2010,Hungary,13.46
2011,Hungary,14.74
2012,Hungary,16.47
2013,Hungary,17.18
2016,Bosnia and Herzegovina,23.0
2017,Bosnia and Herzegovina,18.49
2018,Bosnia and Herzegovina,35.36
2019,Bosnia and Herzegovina,36.84
2020,Bosnia and Herzegovina,37.71
2000,Bulgaria,7.97
2001,Bulgaria,7.24
2002,Bulgaria,8.7
2003,Bulgaria,9.16
2004,Bulgaria,9.55
2005,Bulgaria,9.83
2006,Bulgaria,9.96
2007,Bulgaria,8.85
2008,Bulgaria,9.94
2009,Bulgaria,11.62
2010,Bulgaria,14.27
2011,Bulgaria,13.22
2012,Bulgaria,15.63
2013,Bulgaria,18.24
2014,Bulgaria,17.15
2015,Bulgaria,17.85
2016,Bulgaria,17.71
2017,Bulgaria,17.11
2018,Bulgaria,19.59
2019,Bulgaria,19.32
2020,Bulgaria,21.08
2000,Belarus,5.65
2014,Hungary,15.72
2015,Hungary,15.6
2016,Hungary,15.34
2017,Hungary,14.55
2018,Hungary,13.6
2019,Hungary,13.64
2020,Hungary,14.76
2000,Iceland,60.66
2001,Iceland,62.12
2002,Iceland,61.84
2003,Iceland,61.88
2004,Iceland,61.88
2005,Iceland,62.7
2006,Iceland,64.19
2001,Belarus,6.26
2002,Belarus,6.52
2003,Belarus,6.25
2004,Belarus,6.27
2005,Belarus,6.83
2006,Belarus,7.2
2007,Belarus,7.28
2008,Belarus,7.08
2009,Belarus,7.39
2010,Belarus,7.29
2011,Belarus,7.52
2012,Belarus,7.24
2013,Belarus,6.97
2014,Belarus,6.69
2007,Iceland,67.5
2008,Iceland,73.92
2009,Iceland,74.61
2010,Iceland,75.89
2011,Iceland,77.12
2012,Iceland,77.71
2013,Iceland,76.62
