Year,SeriesCode,GeoAreaName,Age,Education level,Location,Quantile,Sex,Value
2011,FB_BNK_ACCSS,Azerbaijan,15+,AGG_GE2,ALLAREA,_T,BOTHSEX,16.66914
2011,FB_BNK_ACCSS,Azerbaijan,15+,_T,ALLAREA,_T,MALE,15.61626
2011,FB_BNK_ACCSS,Azerbaijan,15+,_T,ALLAREA,_T,BOTHSEX,14.90085
2011,FB_BNK_ACCSS,Azerbaijan,15+,AGG_0_1,ALLAREA,_T,BOTHSEX,8.69968
2011,FB_BNK_ACCSS,Azerbaijan,15+,_T,ALLAREA,B40,BOTHSEX,8.15484
2011,FB_BNK_ACCSS,Azerbaijan,15+,_T,ALLAREA,R60,BOTHSEX,19.38502
2011,FB_BNK_ACCSS,Azerbaijan,25+,_T,ALLAREA,_T,BOTHSEX,18.56072
2011,FB_BNK_ACCSS,Azerbaijan,15+,_T,ALLAREA,_T,FEMALE,14.25925
2011,FB_BNK_ACCSS,Azerbaijan,15-24,_T,ALLAREA,_T,BOTHSEX,4.50735
2014,FB_BNK_ACCSS,Azerbaijan,15+,AGG_0_1,ALLAREA,_T,BOTHSEX,17.30359
2014,FB_BNK_ACCSS,Azerbaijan,15+,_T,ALLAREA,_T,BOTHSEX,29.15149
2014,FB_BNK_ACCSS,Azerbaijan,15+,_T,ALLAREA,_T,MALE,32.61356
2014,FB_BNK_ACCSS,Azerbaijan,15+,AGG_GE2,ALLAREA,_T,BOTHSEX,31.65081
2014,FB_BNK_ACCSS,Azerbaijan,25+,_T,ALLAREA,_T,BOTHSEX,36.30556
2014,FB_BNK_ACCSS,Azerbaijan,15+,_T,ALLAREA,R60,BOTHSEX,32.04978
2014,FB_BNK_ACCSS,Azerbaijan,15+,_T,ALLAREA,B40,BOTHSEX,24.79335
2014,FB_BNK_ACCSS,Azerbaijan,15-24,_T,ALLAREA,_T,BOTHSEX,10.02495
2014,FB_BNK_ACCSS,Azerbaijan,15+,_T,ALLAREA,_T,FEMALE,25.89699
2017,FB_BNK_ACCSS,Azerbaijan,15+,_T,ALLAREA,_T,BOTHSEX,28.5712
2017,FB_BNK_ACCSS,Azerbaijan,15+,AGG_0_1,ALLAREA,_T,BOTHSEX,20.48311
2017,FB_BNK_ACCSS,Azerbaijan,15+,_T,ALLAREA,B40,BOTHSEX,18.13518
2017,FB_BNK_ACCSS,Azerbaijan,15+,_T,ALLAREA,R60,BOTHSEX,35.4988
2017,FB_BNK_ACCSS,Azerbaijan,15+,_T,ALLAREA,_T,FEMALE,27.71963
2017,FB_BNK_ACCSS,Azerbaijan,15-24,_T,ALLAREA,_T,BOTHSEX,12.571
2017,FB_BNK_ACCSS,Azerbaijan,15+,AGG_GE2,ALLAREA,_T,BOTHSEX,30.06141
2017,FB_BNK_ACCSS,Azerbaijan,15+,_T,ALLAREA,_T,MALE,29.43609
2017,FB_BNK_ACCSS,Azerbaijan,25+,_T,ALLAREA,_T,BOTHSEX,34.54172
2011,FB_BNK_ACCSS,Australia,15-24,_T,ALLAREA,_T,BOTHSEX,98.76114
2011,FB_BNK_ACCSS,Australia,15+,_T,ALLAREA,_T,FEMALE,98.59229
