Year,SeriesCode,GeoAreaName,Age,Sex,Value
2000,SL_TLF_UEM,Azerbaijan,15+,BOTHSEX,11.78
2000,SL_TLF_UEM,Azerbaijan,25+,BOTHSEX,9.08
2000,SL_TLF_UEM,Azerbaijan,15+,MALE,10.89
2000,SL_TLF_UEM,Azerbaijan,15-24,FEMALE,25.41
2000,SL_TLF_UEM,Azerbaijan,15+,FEMALE,12.73
2000,SL_TLF_UEM,Azerbaijan,25+,MALE,8.6
2000,SL_TLF_UEM,Azerbaijan,25+,FEMALE,9.58
2000,SL_TLF_UEM,Azerbaijan,15-24,MALE,19.18
2000,SL_TLF_UEM,Azerbaijan,15-24,BOTHSEX,22.05
2001,SL_TLF_UEM,Azerbaijan,15-24,BOTHSEX,22.03
2001,SL_TLF_UEM,Azerbaijan,25+,FEMALE,8.13
2001,SL_TLF_UEM,Azerbaijan,15-24,FEMALE,25.65
2001,SL_TLF_UEM,Azerbaijan,25+,BOTHSEX,8.09
2001,SL_TLF_UEM,Azerbaijan,15+,FEMALE,11.53
2001,SL_TLF_UEM,Azerbaijan,15+,MALE,10.34
2001,SL_TLF_UEM,Azerbaijan,15+,BOTHSEX,10.91
2001,SL_TLF_UEM,Azerbaijan,15-24,MALE,18.95
2001,SL_TLF_UEM,Azerbaijan,25+,MALE,8.04
2002,SL_TLF_UEM,Azerbaijan,15-24,BOTHSEX,21.5
2002,SL_TLF_UEM,Azerbaijan,15-24,FEMALE,24.57
2002,SL_TLF_UEM,Azerbaijan,15-24,MALE,18.7
2002,SL_TLF_UEM,Azerbaijan,15+,FEMALE,10.38
2002,SL_TLF_UEM,Azerbaijan,15+,MALE,9.72
2002,SL_TLF_UEM,Azerbaijan,25+,FEMALE,6.89
2002,SL_TLF_UEM,Azerbaijan,25+,MALE,7.46
2002,SL_TLF_UEM,Azerbaijan,25+,BOTHSEX,7.18
2002,SL_TLF_UEM,Azerbaijan,15+,BOTHSEX,10.04
2002,SL_TLF_UEM,Albania,15+,BOTHSEX,4.61
2002,SL_TLF_UEM,Albania,15+,FEMALE,4.98
2002,SL_TLF_UEM,Albania,15-24,BOTHSEX,5.91
2002,SL_TLF_UEM,Albania,25+,FEMALE,4.77
2002,SL_TLF_UEM,Albania,25+,MALE,3.99
2002,SL_TLF_UEM,Albania,15-24,FEMALE,5.72
2002,SL_TLF_UEM,Albania,15-24,MALE,6.11
2002,SL_TLF_UEM,Albania,15+,MALE,4.33
2002,SL_TLF_UEM,Albania,25+,BOTHSEX,4.32
2005,SL_TLF_UEM,Albania,25+,BOTHSEX,5.23
2003,SL_TLF_UEM,Azerbaijan,25+,BOTHSEX,6.76
2003,SL_TLF_UEM,Azerbaijan,15-24,FEMALE,20.73
2003,SL_TLF_UEM,Azerbaijan,25+,FEMALE,6.47
2003,SL_TLF_UEM,Azerbaijan,15+,MALE,9.07
2003,SL_TLF_UEM,Azerbaijan,15-24,BOTHSEX,18.88
2003,SL_TLF_UEM,Azerbaijan,15+,FEMALE,9.27
2003,SL_TLF_UEM,Azerbaijan,15-24,MALE,17.21
2003,SL_TLF_UEM,Azerbaijan,15+,BOTHSEX,9.17
2003,SL_TLF_UEM,Azerbaijan,25+,MALE,7.02
2005,SL_TLF_UEM,Albania,15-24,FEMALE,11.54
2005,SL_TLF_UEM,Albania,25+,MALE,4.63
2005,SL_TLF_UEM,Albania,15+,BOTHSEX,6.57
2005,SL_TLF_UEM,Albania,15-24,BOTHSEX,13.37
2005,SL_TLF_UEM,Albania,15+,FEMALE,7.07
2005,SL_TLF_UEM,Albania,15-24,MALE,14.95
2005,SL_TLF_UEM,Albania,25+,FEMALE,6.09
2005,SL_TLF_UEM,Albania,15+,MALE,6.2
2007,SL_TLF_UEM,Albania,15-24,BOTHSEX,26.58
2007,SL_TLF_UEM,Albania,25+,MALE,13.42
2004,SL_TLF_UEM,Azerbaijan,15+,BOTHSEX,7.99
2004,SL_TLF_UEM,Azerbaijan,15-24,FEMALE,21.2
2004,SL_TLF_UEM,Azerbaijan,15+,FEMALE,8.04
2004,SL_TLF_UEM,Azerbaijan,25+,MALE,6.1
2004,SL_TLF_UEM,Azerbaijan,15-24,BOTHSEX,18.23
2004,SL_TLF_UEM,Azerbaijan,25+,FEMALE,5.1
2004,SL_TLF_UEM,Azerbaijan,15-24,MALE,15.62
2004,SL_TLF_UEM,Azerbaijan,25+,BOTHSEX,5.62
2004,SL_TLF_UEM,Azerbaijan,15+,MALE,7.94
2007,SL_TLF_UEM,Albania,15-24,FEMALE,24.94
2007,SL_TLF_UEM,Albania,15+,BOTHSEX,15.97
2007,SL_TLF_UEM,Albania,15+,FEMALE,16.43
2007,SL_TLF_UEM,Albania,15-24,MALE,27.59
2007,SL_TLF_UEM,Albania,25+,FEMALE,14.83
2007,SL_TLF_UEM,Albania,25+,BOTHSEX,13.96
2007,SL_TLF_UEM,Albania,15+,MALE,15.68
2008,SL_TLF_UEM,Albania,25+,FEMALE,11.69
2008,SL_TLF_UEM,Albania,15-24,FEMALE,27.3
2008,SL_TLF_UEM,Albania,15+,MALE,12.52
2008,SL_TLF_UEM,Albania,15-24,BOTHSEX,27.06
2008,SL_TLF_UEM,Albania,25+,MALE,10.3
2008,SL_TLF_UEM,Albania,15+,FEMALE,13.72
2008,SL_TLF_UEM,Albania,15-24,MALE,26.88
2008,SL_TLF_UEM,Albania,15+,BOTHSEX,13.06
2008,SL_TLF_UEM,Albania,25+,BOTHSEX,10.93
2009,SL_TLF_UEM,Albania,25+,BOTHSEX,11.15
2009,SL_TLF_UEM,Albania,15-24,FEMALE,27.96
2009,SL_TLF_UEM,Albania,15+,FEMALE,15.64
2009,SL_TLF_UEM,Albania,15-24,MALE,26.16
2009,SL_TLF_UEM,Albania,15+,MALE,12.14
2009,SL_TLF_UEM,Albania,25+,FEMALE,13.2
2009,SL_TLF_UEM,Albania,15+,BOTHSEX,13.67
2009,SL_TLF_UEM,Albania,25+,MALE,9.58
2009,SL_TLF_UEM,Albania,15-24,BOTHSEX,26.98
2010,SL_TLF_UEM,Albania,15+,MALE,12.73
2010,SL_TLF_UEM,Albania,15-24,MALE,29.62
2010,SL_TLF_UEM,Albania,25+,MALE,9.53
2010,SL_TLF_UEM,Albania,15+,FEMALE,15.84
2010,SL_TLF_UEM,Albania,25+,BOTHSEX,11.19
2010,SL_TLF_UEM,Albania,25+,FEMALE,13.3
2010,SL_TLF_UEM,Albania,15+,BOTHSEX,14.09
2010,SL_TLF_UEM,Albania,15-24,BOTHSEX,30.5
2010,SL_TLF_UEM,Albania,15-24,FEMALE,31.84
2011,SL_TLF_UEM,Albania,15+,FEMALE,13.75
2011,SL_TLF_UEM,Albania,25+,BOTHSEX,11.57
2011,SL_TLF_UEM,Albania,25+,FEMALE,12.71
2011,SL_TLF_UEM,Albania,15+,BOTHSEX,13.48
2011,SL_TLF_UEM,Albania,15+,MALE,13.27
2011,SL_TLF_UEM,Albania,15-24,BOTHSEX,22.66
2011,SL_TLF_UEM,Albania,25+,MALE,10.63
2011,SL_TLF_UEM,Albania,15-24,MALE,24.76
2011,SL_TLF_UEM,Albania,15-24,FEMALE,19.47
