Year,SeriesCode,GeoAreaName,Migratory status,Sex,Value
2000,SL_EMP_FTLINJUR,Austria,_T,BOTHSEX,5.3
2001,SL_EMP_FTLINJUR,Austria,_T,BOTHSEX,4.5
2002,SL_EMP_FTLINJUR,Austria,_T,BOTHSEX,4.7
2003,SL_EMP_FTLINJUR,Austria,_T,BOTHSEX,3.8
2004,SL_EMP_FTLINJUR,Austria,_T,BOTHSEX,5.0
2004,SL_EMP_FTLINJUR,Austria,_T,MALE,8.7
2004,SL_EMP_FTLINJUR,Austria,_T,FEMALE,0.3
2005,SL_EMP_FTLINJUR,Austria,_T,FEMALE,0.7
2005,SL_EMP_FTLINJUR,Austria,_T,BOTHSEX,4.6
2005,SL_EMP_FTLINJUR,Austria,_T,MALE,7.9
2006,SL_EMP_FTLINJUR,Austria,_T,BOTHSEX,3.9
2006,SL_EMP_FTLINJUR,Austria,_T,MALE,6.8
2006,SL_EMP_FTLINJUR,Austria,_T,FEMALE,0.4
2007,SL_EMP_FTLINJUR,Austria,_T,BOTHSEX,3.9
2007,SL_EMP_FTLINJUR,Austria,_T,FEMALE,0.2
2007,SL_EMP_FTLINJUR,Austria,_T,MALE,6.9
2008,SL_EMP_FTLINJUR,Austria,_T,BOTHSEX,4.1
2008,SL_EMP_FTLINJUR,Austria,_T,FEMALE,0.5
2008,SL_EMP_FTLINJUR,Austria,_T,MALE,6.9
2009,SL_EMP_FTLINJUR,Austria,_T,BOTHSEX,4.83
2009,SL_EMP_FTLINJUR,Austria,_T,MALE,8.06
2009,SL_EMP_FTLINJUR,Austria,NONMIG,MALE,7.54
2009,SL_EMP_FTLINJUR,Austria,NONMIG,BOTHSEX,4.43
2009,SL_EMP_FTLINJUR,Austria,_T,FEMALE,0.75
2009,SL_EMP_FTLINJUR,Austria,NONMIG,FEMALE,0.53
2010,SL_EMP_FTLINJUR,Austria,_T,MALE,7.92
2010,SL_EMP_FTLINJUR,Austria,_T,BOTHSEX,4.47
2010,SL_EMP_FTLINJUR,Austria,_T,FEMALE,0.47
2010,SL_EMP_FTLINJUR,Austria,NONMIG,FEMALE,0.41
2010,SL_EMP_FTLINJUR,Austria,NONMIG,BOTHSEX,4.39
2010,SL_EMP_FTLINJUR,Austria,NONMIG,MALE,7.85
2011,SL_EMP_FTLINJUR,Austria,NONMIG,FEMALE,0.26
2011,SL_EMP_FTLINJUR,Austria,_T,BOTHSEX,3.03
2011,SL_EMP_FTLINJUR,Austria,_T,MALE,5.17
2011,SL_EMP_FTLINJUR,Austria,NONMIG,BOTHSEX,3.03
2011,SL_EMP_FTLINJUR,Austria,NONMIG,MALE,5.25
2011,SL_EMP_FTLINJUR,Latvia,NONMIG,MALE,7.91
2011,SL_EMP_FTLINJUR,Latvia,_T,BOTHSEX,4.08
2011,SL_EMP_FTLINJUR,Latvia,NONMIG,BOTHSEX,3.91
2012,SL_EMP_FTLINJUR,Latvia,NONMIG,MALE,6.85
2012,SL_EMP_FTLINJUR,Latvia,_T,BOTHSEX,4.35
2012,SL_EMP_FTLINJUR,Latvia,_T,FEMALE,0.89
2012,SL_EMP_FTLINJUR,Latvia,_T,MALE,8.2
2012,SL_EMP_FTLINJUR,Latvia,NONMIG,BOTHSEX,3.43
2012,SL_EMP_FTLINJUR,Latvia,NONMIG,FEMALE,0.51
2013,SL_EMP_FTLINJUR,Latvia,_T,BOTHSEX,3.48
2013,SL_EMP_FTLINJUR,Latvia,NONMIG,BOTHSEX,3.46
2013,SL_EMP_FTLINJUR,Latvia,NONMIG,FEMALE,0.49
2013,SL_EMP_FTLINJUR,Latvia,_T,FEMALE,0.44
2013,SL_EMP_FTLINJUR,Latvia,_T,MALE,6.91
2011,SL_EMP_FTLINJUR,Austria,_T,FEMALE,0.35
2012,SL_EMP_FTLINJUR,Austria,_T,BOTHSEX,3.44
2012,SL_EMP_FTLINJUR,Austria,_T,MALE,5.89
2012,SL_EMP_FTLINJUR,Austria,NONMIG,BOTHSEX,3.38
2012,SL_EMP_FTLINJUR,Austria,NONMIG,MALE,5.71
2012,SL_EMP_FTLINJUR,Austria,NONMIG,FEMALE,0.7
2013,SL_EMP_FTLINJUR,Latvia,NONMIG,MALE,6.93
2014,SL_EMP_FTLINJUR,Latvia,NONMIG,MALE,8.46
2014,SL_EMP_FTLINJUR,Latvia,_T,MALE,8.89
2014,SL_EMP_FTLINJUR,Latvia,NONMIG,FEMALE,0.48
2014,SL_EMP_FTLINJUR,Latvia,_T,BOTHSEX,4.5
2014,SL_EMP_FTLINJUR,Latvia,_T,FEMALE,0.42
2014,SL_EMP_FTLINJUR,Latvia,NONMIG,BOTHSEX,4.27
2012,SL_EMP_FTLINJUR,Austria,_T,FEMALE,0.62
2013,SL_EMP_FTLINJUR,Austria,NONMIG,FEMALE,0.41
2013,SL_EMP_FTLINJUR,Austria,_T,MALE,6.07
2013,SL_EMP_FTLINJUR,Austria,NONMIG,MALE,5.77
2013,SL_EMP_FTLINJUR,Austria,_T,BOTHSEX,3.45
2013,SL_EMP_FTLINJUR,Austria,_T,FEMALE,0.46
2015,SL_EMP_FTLINJUR,Latvia,NONMIG,FEMALE,0.55
2015,SL_EMP_FTLINJUR,Latvia,NONMIG,MALE,5.57
2015,SL_EMP_FTLINJUR,Latvia,_T,BOTHSEX,3.7
2015,SL_EMP_FTLINJUR,Latvia,NONMIG,BOTHSEX,2.92
2015,SL_EMP_FTLINJUR,Latvia,_T,MALE,6.69
2015,SL_EMP_FTLINJUR,Latvia,_T,FEMALE,0.98
2016,SL_EMP_FTLINJUR,Latvia,_T,BOTHSEX,4.22
2012,SL_EMP_FTLINJUR,Türkiye,MIGPER,MALE,12.08
2012,SL_EMP_FTLINJUR,Türkiye,MIGPER,BOTHSEX,5.16
2012,SL_EMP_FTLINJUR,Türkiye,MIGPER,FEMALE,0.0
2013,SL_EMP_FTLINJUR,Türkiye,_T,MALE,10.85
2013,SL_EMP_FTLINJUR,Türkiye,MIGPER,MALE,3.22
2013,SL_EMP_FTLINJUR,Türkiye,MIGPER,BOTHSEX,2.77
2000,SL_EMP_FTLINJUR,Azerbaijan,_T,BOTHSEX,4.0
2001,SL_EMP_FTLINJUR,Azerbaijan,_T,MALE,5.0
2001,SL_EMP_FTLINJUR,Azerbaijan,_T,BOTHSEX,3.0
2001,SL_EMP_FTLINJUR,Azerbaijan,_T,FEMALE,0.0
2002,SL_EMP_FTLINJUR,Azerbaijan,_T,MALE,10.0
2002,SL_EMP_FTLINJUR,Azerbaijan,_T,FEMALE,0.0
2002,SL_EMP_FTLINJUR,Azerbaijan,_T,BOTHSEX,6.0
2003,SL_EMP_FTLINJUR,Azerbaijan,_T,MALE,11.0
2013,SL_EMP_FTLINJUR,Austria,NONMIG,BOTHSEX,3.26
