Year,SeriesCode,GeoAreaName,Activity,Value
2000,EN_ATM_CO2,Australia,TOTAL,334.64
2000,EN_ATM_CO2,Australia,ISIC4_C10T32X19,40.36
2001,EN_ATM_CO2,Australia,ISIC4_C10T32X19,39.59
2001,EN_ATM_CO2,Australia,TOTAL,340.98
2002,EN_ATM_CO2,Australia,TOTAL,348.96
2002,EN_ATM_CO2,Australia,ISIC4_C10T32X19,31.48
2003,EN_ATM_CO2,Australia,ISIC4_C10T32X19,39.02
2003,EN_ATM_CO2,Australia,TOTAL,348.32
2004,EN_ATM_CO2,Australia,TOTAL,361.7
2004,EN_ATM_CO2,Australia,ISIC4_C10T32X19,40.26
2005,EN_ATM_CO2,Australia,ISIC4_C10T32X19,38.64
2005,EN_ATM_CO2,Australia,TOTAL,364.24
2006,EN_ATM_CO2,Australia,TOTAL,369.5
2006,EN_ATM_CO2,Australia,ISIC4_C10T32X19,37.67
2007,EN_ATM_CO2,Australia,ISIC4_C10T32X19,38.12
2007,EN_ATM_CO2,Australia,TOTAL,379.71
2008,EN_ATM_CO2,Australia,TOTAL,383.0
2008,EN_ATM_CO2,Australia,ISIC4_C10T32X19,39.27
2009,EN_ATM_CO2,Australia,ISIC4_C10T32X19,35.33
2009,EN_ATM_CO2,Australia,TOTAL,389.26
2010,EN_ATM_CO2,Australia,TOTAL,391.82
2010,EN_ATM_CO2,Australia,ISIC4_C10T32X19,31.2
2011,EN_ATM_CO2,Australia,ISIC4_C10T32X19,32.6
2011,EN_ATM_CO2,Australia,TOTAL,389.85
2012,EN_ATM_CO2,Australia,TOTAL,390.46
2012,EN_ATM_CO2,Australia,ISIC4_C10T32X19,32.64
2013,EN_ATM_CO2,Australia,ISIC4_C10T32X19,31.31
2013,EN_ATM_CO2,Australia,TOTAL,383.54
2014,EN_ATM_CO2,Australia,TOTAL,373.87
2014,EN_ATM_CO2,Australia,ISIC4_C10T32X19,31.04
2015,EN_ATM_CO2,Australia,TOTAL,380.45
2015,EN_ATM_CO2,Australia,ISIC4_C10T32X19,28.29
2016,EN_ATM_CO2,Australia,TOTAL,390.42
2000,EN_ATM_CO2,Hungary,TOTAL,53.28
2000,EN_ATM_CO2,Hungary,ISIC4_C10T32X19,5.69
2001,EN_ATM_CO2,Hungary,ISIC4_C10T32X19,5.9
2001,EN_ATM_CO2,Hungary,TOTAL,54.92
2002,EN_ATM_CO2,Hungary,TOTAL,54.17
2002,EN_ATM_CO2,Hungary,ISIC4_C10T32X19,5.94
2003,EN_ATM_CO2,Hungary,ISIC4_C10T32X19,5.77
2003,EN_ATM_CO2,Hungary,TOTAL,56.78
2004,EN_ATM_CO2,Hungary,TOTAL,55.06
2004,EN_ATM_CO2,Hungary,ISIC4_C10T32X19,5.71
2005,EN_ATM_CO2,Hungary,TOTAL,54.72
2016,EN_ATM_CO2,Australia,ISIC4_C10T32X19,29.7
2017,EN_ATM_CO2,Australia,ISIC4_C10T32X19,29.28
2017,EN_ATM_CO2,Australia,TOTAL,392.82
2018,EN_ATM_CO2,Australia,TOTAL,391.41
2018,EN_ATM_CO2,Australia,ISIC4_C10T32X19,30.13
