Year,SeriesCode,GeoAreaName,Activity,Value
2000,NV_IND_TECH,Colombia,ISIC4_C,21.7
2001,NV_IND_TECH,Colombia,ISIC4_C,21.98
2002,NV_IND_TECH,Colombia,ISIC4_C,21.89
2003,NV_IND_TECH,Colombia,ISIC4_C,21.21
2004,NV_IND_TECH,Colombia,ISIC4_C,20.59
2005,NV_IND_TECH,Colombia,ISIC4_C,20.71
2006,NV_IND_TECH,Colombia,ISIC4_C,20.05
2007,NV_IND_TECH,Colombia,ISIC4_C,19.87
2008,NV_IND_TECH,Colombia,ISIC4_C,20.02
2009,NV_IND_TECH,Colombia,ISIC4_C,20.91
2010,NV_IND_TECH,Colombia,ISIC4_C,24.95
2011,NV_IND_TECH,Colombia,ISIC4_C,20.95
2012,NV_IND_TECH,Colombia,ISIC4_C,21.35
2013,NV_IND_TECH,Colombia,ISIC4_C,20.76
2014,NV_IND_TECH,Colombia,ISIC4_C,20.72
2015,NV_IND_TECH,Colombia,ISIC4_C,22.54
2016,NV_IND_TECH,Colombia,ISIC4_C,23.33
2017,NV_IND_TECH,Colombia,ISIC4_C,23.27
2018,NV_IND_TECH,Colombia,ISIC4_C,22.61
2019,NV_IND_TECH,Colombia,ISIC4_C,23.93
2020,NV_IND_TECH,Colombia,ISIC4_C,23.93
2000,NV_IND_TECH,Costa Rica,ISIC4_C,18.76
2001,NV_IND_TECH,Costa Rica,ISIC4_C,16.71
2002,NV_IND_TECH,Costa Rica,ISIC4_C,17.19
2003,NV_IND_TECH,Costa Rica,ISIC4_C,16.75
2004,NV_IND_TECH,Costa Rica,ISIC4_C,21.69
2005,NV_IND_TECH,Costa Rica,ISIC4_C,21.9
2006,NV_IND_TECH,Costa Rica,ISIC4_C,24.69
2007,NV_IND_TECH,Costa Rica,ISIC4_C,21.42
2008,NV_IND_TECH,Costa Rica,ISIC4_C,19.76
2009,NV_IND_TECH,Costa Rica,ISIC4_C,19.68
2010,NV_IND_TECH,Costa Rica,ISIC4_C,19.28
2011,NV_IND_TECH,Costa Rica,ISIC4_C,21.08
2012,NV_IND_TECH,Costa Rica,ISIC4_C,21.87
2013,NV_IND_TECH,Costa Rica,ISIC4_C,22.17
2014,NV_IND_TECH,Costa Rica,ISIC4_C,19.92
2015,NV_IND_TECH,Costa Rica,ISIC4_C,16.59
2016,NV_IND_TECH,Costa Rica,ISIC4_C,15.22
2017,NV_IND_TECH,Costa Rica,ISIC4_C,14.62
2018,NV_IND_TECH,Costa Rica,ISIC4_C,14.42
2019,NV_IND_TECH,Costa Rica,ISIC4_C,14.36
2020,NV_IND_TECH,Costa Rica,ISIC4_C,14.16
2000,NV_IND_TECH,Croatia,ISIC4_C,10.9
2001,NV_IND_TECH,Croatia,ISIC4_C,10.9
2002,NV_IND_TECH,Croatia,ISIC4_C,10.9
2003,NV_IND_TECH,Croatia,ISIC4_C,7.24
2004,NV_IND_TECH,Croatia,ISIC4_C,7.24
2005,NV_IND_TECH,Croatia,ISIC4_C,7.24
2006,NV_IND_TECH,Croatia,ISIC4_C,7.24
2007,NV_IND_TECH,Croatia,ISIC4_C,7.24
2008,NV_IND_TECH,Croatia,ISIC4_C,23.13
2009,NV_IND_TECH,Croatia,ISIC4_C,26.2
2010,NV_IND_TECH,Croatia,ISIC4_C,28.96
2011,NV_IND_TECH,Croatia,ISIC4_C,27.61
2012,NV_IND_TECH,Croatia,ISIC4_C,26.03
2013,NV_IND_TECH,Croatia,ISIC4_C,25.98
2014,NV_IND_TECH,Croatia,ISIC4_C,26.87
2015,NV_IND_TECH,Croatia,ISIC4_C,27.56
2016,NV_IND_TECH,Croatia,ISIC4_C,25.74
2017,NV_IND_TECH,Croatia,ISIC4_C,24.61
2018,NV_IND_TECH,Croatia,ISIC4_C,24.53
2019,NV_IND_TECH,Croatia,ISIC4_C,26.77
2020,NV_IND_TECH,Croatia,ISIC4_C,30.53
2000,NV_IND_TECH,Cyprus,ISIC4_C,11.37
2001,NV_IND_TECH,Cyprus,ISIC4_C,11.3
2002,NV_IND_TECH,Cyprus,ISIC4_C,10.75
2000,NV_IND_TECH,Albania,ISIC4_C,7.61
2001,NV_IND_TECH,Albania,ISIC4_C,12.31
2002,NV_IND_TECH,Albania,ISIC4_C,7.8
2003,NV_IND_TECH,Albania,ISIC4_C,6.43
2004,NV_IND_TECH,Albania,ISIC4_C,8.8
2005,NV_IND_TECH,Albania,ISIC4_C,16.98
2006,NV_IND_TECH,Albania,ISIC4_C,20.21
2007,NV_IND_TECH,Albania,ISIC4_C,18.95
2008,NV_IND_TECH,Albania,ISIC4_C,14.09
2009,NV_IND_TECH,Albania,ISIC4_C,14.36
2010,NV_IND_TECH,Albania,ISIC4_C,6.56
2003,NV_IND_TECH,Cyprus,ISIC4_C,10.12
2004,NV_IND_TECH,Cyprus,ISIC4_C,10.14
2005,NV_IND_TECH,Cyprus,ISIC4_C,4.21
2006,NV_IND_TECH,Cyprus,ISIC4_C,4.83
2007,NV_IND_TECH,Cyprus,ISIC4_C,5.29
2008,NV_IND_TECH,Cyprus,ISIC4_C,11.88
2009,NV_IND_TECH,Cyprus,ISIC4_C,12.31
2010,NV_IND_TECH,Cyprus,ISIC4_C,13.95
2011,NV_IND_TECH,Cyprus,ISIC4_C,14.68
2012,NV_IND_TECH,Cyprus,ISIC4_C,15.51
2013,NV_IND_TECH,Cyprus,ISIC4_C,18.89
2014,NV_IND_TECH,Cyprus,ISIC4_C,19.9
2015,NV_IND_TECH,Cyprus,ISIC4_C,21.51
2016,NV_IND_TECH,Cyprus,ISIC4_C,18.78
2017,NV_IND_TECH,Cyprus,ISIC4_C,19.9
2018,NV_IND_TECH,Cyprus,ISIC4_C,20.1
2019,NV_IND_TECH,Cyprus,ISIC4_C,20.52
2020,NV_IND_TECH,Cyprus,ISIC4_C,28.1
2000,NV_IND_TECH,Czechia,ISIC4_C,39.12
2001,NV_IND_TECH,Czechia,ISIC4_C,39.89
2002,NV_IND_TECH,Czechia,ISIC4_C,39.55
2003,NV_IND_TECH,Czechia,ISIC4_C,40.28
2004,NV_IND_TECH,Czechia,ISIC4_C,40.6
2005,NV_IND_TECH,Czechia,ISIC4_C,41.05
2006,NV_IND_TECH,Czechia,ISIC4_C,44.36
2007,NV_IND_TECH,Czechia,ISIC4_C,44.61
2008,NV_IND_TECH,Czechia,ISIC4_C,40.88
2009,NV_IND_TECH,Czechia,ISIC4_C,41.3
2010,NV_IND_TECH,Czechia,ISIC4_C,44.99
2011,NV_IND_TECH,Czechia,ISIC4_C,45.72
2012,NV_IND_TECH,Czechia,ISIC4_C,46.72
