Value,Disaggregation combinations using this value,Number of indicators
1-14,14,1
10-14,68,4
10+,270,3
12-24,6,3
12+,66,3
15-19,63,1
15-24,2806,13
15-49,432,8
15-64,310,7
15+,2251,16
<15Y,353,4
16-65,380,4
16+,8,3
<16Y,33,1
18-29,11,1
18-74,2,1
18+,928,10
<18Y,631,10
<1M,62,1
<1Y,429,3
2-14,5,1
20-24,60,4
20-64,6,3
20-74,66,3
20+,6,3
25-34,27,12
25-44,438,3
25-54,204,2
25-74,1284,1
25+,459,4
<25Y,21,9
3+,18,3
30-70,186,1
35-44,27,12
<35Y,19,1
45-54,446,12
45-64,36,3
<=45Y,417,11
<45Y,105,4
46+,437,5
5-12,1,1
5-14,9,2
5-17,96,2
50+,118,1
55-64,625,14
<5Y,163,4
65-74,6,3
65+,563,14
75-84,6,3
75+,313,1
85+,6,3
<8Y,1,1
_U,41,6
_X,70,2
ALLAGE,5024,33
M12T23,19,1
M24T35,19,1
M24T59,9,1
M36T47,19,1
M36T59,39,1
M48T59,19,1
