Value,Disaggregation combinations using this value,Number of indicators
AE_ABU_ZABY,3,3
AE_AL_AYN,1,1
AE_AL_FUJAYRAH,2,2
AE_DUBAYY,4,4
AE_RAS_AL_KHAYMAH,2,2
AL_TIRANE,2,2
AL_VLORE,1,1
AM_YEREVAN,1,1
AT_BREGENZ,1,1
AT_GRAZ,1,1
AT_INNSBRUCK,1,1
AT_KLAGENFURT_AM_WORTHERSEE,1,1
AT_LINZ,1,1
AT_SALZBURG,1,1
AT_WIEN,4,4
AU_ADELAIDE,4,4
AU_ALICE_SPRINGS,2,2
AU_BRISBANE,4,4
AU_BUNBURY,2,2
AU_CAIRNS,3,3
AU_CANBERRA,4,4
AU_CENTRAL_COAST,1,1
AU_CESSNOCK,3,3
AU_DARWIN,4,4
AU_GEELONG,3,3
AU_GOLD_COAST,4,4
AU_HOBART,3,3
AU_KINGAROY,2,2
AU_LAUNCESTON,3,3
AU_MELBOURNE,3,3
AU_MUSWELLBROOK,2,2
AU_NEWCASTLE,1,1
AU_PERTH,4,4
AU_SHEPPARTON,3,3
AU_SUNSHINE_COAST,1,1
AU_SYDNEY,3,3
AU_WOLLONGONG,3,3
AZ_BAKU,4,4
AZ_GANJA,1,1
AZ_LANKARAN,1,1
AZ_MINGACHEVIR,1,1
AZ_NAFTALAN,1,1
AZ_SHAKI,1,1
AZ_SHIRVAN,1,1
AZ_SUMGAYIT,1,1
AZ_YEVLAKH,1,1
BA_BANJA_LUKA,2,2
BA_SARAJEVO,2,2
BA_TUZLA,2,2
BA_ZENICA,2,2
BE_ANDERLECHT,1,1
BE_ANTWERPEN,2,2
BE_AUDERGHEM,1,1
BE_BERCHEM_SAINTE_AGATHE,1,1
BE_BRUGGE,1,1
BE_BRUXELLES,2,2
BE_CHARLEROI,1,1
BE_ETTERBEEK,1,1
BE_EVERE,1,1
BE_FOREST,1,1
BE_GANSHOREN,1,1
BE_GENT,1,1
BE_IXELLES,1,1
BE_JETTE,1,1
BE_KAPELLEN_EKEREN,1,1
BE_KOEKELBERG,1,1
BE_LA_LOUVIERE,1,1
BE_LEUVEN,1,1
BE_LIEGE,1,1
BE_MECHELEN,1,1
BE_MOLENBEEK_SAINT_JEAN,1,1
BE_NAMUR,1,1
BE_OOSTENDE,1,1
BE_QUAREGNON_FRAMERIES,1,1
BE_SAINT_GILLES,1,1
BE_SAINT_JOSSE_TEN_NOODE,1,1
BE_SCHAERBEEK,1,1
BE_UCCLE,1,1
BE_VERVIERS_DISON,1,1
BE_WATERMAEL_BOITSFORT,1,1
BE_WOLUWE_SAINT_LAMBERT,1,1
BE_WOLUWE_SAINT_PIERRE,1,1
BG_BURGAS,3,3
BG_DOBRIC,3,3
BG_MONTANA,3,3
BG_PLEVEN,3,3
BG_PLOVDIV,3,3
BG_RUSE,3,3
BG_SOFIJA,4,4
BG_STARA_ZAGORA,1,1
BG_SUMEN,1,1
BG_VARNA,3,3
BG_VELIKO_TARNOVO,1,1
BG_YAMBOL,1,1
BY_BABRUJSK,3,3
BY_BREST,2,2
BY_GOMEL,3,3
BY_HRODNA,3,3
BY_KOBRYN,2,2
BY_MAZYR,3,3
BY_MINSK,4,4
BY_POLACK,2,2
BY_SALIHORSK,2,2
BY_VICIEBSK,2,2
CA_ABBOTSFORD_BC,2,2
CA_BARRIE_ONT,3,3
CA_BELLEVILLE_ONT,1,1
CA_BRANTFORD_ONT,2,2
CA_CALGARY_ALTA,3,3
CA_EDMONTON_ALTA,3,3
CA_GREATER_SUDBURY_ONT,2,2
CA_GUELPH_ONT,2,2
CA_HALIFAX_NS,2,2
CA_HAMILTON_ONT,2,2
CA_KELOWNA_BC,3,3
CA_KINGSTON_ONT,2,2
CA_KITCHENER_ONT,2,2
CA_LETHBRIDGE_ALTA,1,1
CA_LONDON_ONT,2,2
CA_MONCTON_NB,2,2
CA_MONTREAL_QUE,4,4
CA_OSHAWA_ONT,2,2
CA_OTTAWA_ONT,2,2
CA_PETERBOROUGH_ONT,2,2
CA_QUEBEC_QUE,2,2
CA_REGINA_SASK,3,3
CA_SAGUENAY_QUE,2,2
CA_SAINT_JEAN_SUR_RICHELIEU_QUE,2,2
CA_SAINT_JOHN_NB,2,2
CA_SASKATOON_SASK,2,2
CA_SHERBROOKE_QUE,2,2
CA_ST_CATHARINES_ONT,2,2
CA_ST_JOHNS_NL,2,2
CA_THUNDER_BAY_ONT,2,2
CA_TORONTO_ONT,3,3
CA_TROIS_RIVIERES_QUE,2,2
CA_VANCOUVER_BC,2,2
CA_VICTORIA_BC,3,3
CA_WINDSOR_ONT,2,2
CA_WINNIPEG_MAN,3,3
CH_BASEL,2,2
CH_BERN,2,2
CH_BIEL,1,1
CH_EMMEN,2,2
CH_FRIBOURG,2,2
CH_GENEVE,1,1
CH_LAUSANNE,2,2
CH_LUGANO,1,1
CH_LUZERN,1,1
CH_NEUCHATEL,2,2
CH_ST_GALLEN,2,2
CH_THUN,1,1
CH_WETZIKON,2,2
CH_WINTERTHUR,2,2
CH_ZUG,1,1
CH_ZURICH,3,3
CL_ANTOFAGASTA,3,3
CL_ARICA,3,3
CL_CANETE,1,1
CL_CONCEPCION,3,3
CL_COPIAPO,3,3
CL_COQUIMBO,1,1
CL_CURICO,3,3
CL_IQUIQUE,3,3
CL_LA_SERENA,3,3
CL_LOS_ANGELES,2,2
CL_OSORNO,3,3
CL_OVALLE,2,2
CL_PENAFLOR,3,3
CL_PUERTO_MONTT,1,1
CL_PUNTA_ARENAS,3,3
CL_RANCAGUA,3,3
CL_SANTIAGO,4,4
CL_TALCA,3,3
CL_TEMUCO,3,3
CL_VALPARAISO,4,4
CN_ANQING_ANHUI,2,2
CN_BICHENG_CHONGQING,1,1
CN_CHANGZHI_HUNAN,2,2
CN_CHANGZHOU_JINGSU,2,2
CN_CHENGDU_SICHUAN,2,2
CN_CHENGGUAN_GUIZHOU,1,1
CN_GAOYOU_JIANGSU,2,2
CN_GUANGZHOU_GUANGDONG,2,2
CN_GUIXI_CHONGQING,2,2
CN_HAIKOU_HAINAN,2,2
CN_HANGZHOU_ZHEJIANG,2,2
CN_HONG_KONG,3,3
CN_JINAN_SHANDONG,2,2
CN_KAIPING_GUANGDONG,2,2
CN_KUNMING_YUNNAN,1,1
CN_LANZHOU_GANSU,1,1
CN_LESHAN_SICHUAN,2,2
CN_QINGDAO_SHANDONG,2,2
CN_SHENZHEN_GUANGDONG,2,2
CN_SUINING_SICHUAN,1,1
CN_SUZHOU_ANHUI,1,1
CN_TANGSHAN_HEBEI,1,1
CN_TIANJIN_TIANJIN,1,1
CN_WUHAN_HUBEI,2,2
CN_XINGPING_SHAANXI,2,2
CN_XUCHENG_JIANGSU,1,1
CN_YANGGU_SHANDONG,1,1
CN_YIYANG_HUNAN,2,2
CN_YULIN_GUANGXI,3,3
CN_ZHENGZHOU_HENAN,1,1
CN_ZHUJI_ZHEJIANG,1,1
CN_ZUNYI_GUIZHOU,2,2
CO_AMA_LETICIA,2,2
CO_AMA_PUERTO_NARINO,1,1
CO_ANT_ABEJORRAL,1,1
CO_ANT_ABRIAQUI,1,1
CO_ANT_ALEJANDRIA,1,1
CO_ANT_AMAGA,1,1
CO_ANT_AMALFI,1,1
CO_ANT_ANDES,1,1
CO_ANT_ANGELOPOLIS,1,1
CO_ANT_ANGOSTURA,1,1
CO_ANT_ANORI,1,1
CO_ANT_ANZA,1,1
CO_ANT_APARTADO,1,1
CO_ANT_ARBOLETES,1,1
CO_ANT_ARGELIA,1,1
CO_ANT_ARMENIA,1,1
CO_ANT_BARBOSA,2,2
CO_ANT_BELLO,2,2
CO_ANT_BELMIRA,1,1
CO_ANT_BETANIA,1,1
CO_ANT_BETULIA,1,1
CO_ANT_BRICENO,1,1
CO_ANT_BURITICA,1,1
CO_ANT_CACERES,1,1
CO_ANT_CAICEDO,1,1
