Value,Disaggregation combinations using this value,Number of indicators
Albania,3,1
Armenia,3,1
Australia,3,1
Austria,3,1
Azerbaijan,3,1
Belarus,3,1
Belgium,3,1
Bosnia and Herzegovina,3,1
Bulgaria,3,1
Canada,3,1
Chile,3,1
China,3,1
Colombia,3,1
Costa Rica,3,1
Croatia,3,1
Cyprus,3,1
Czechia,3,1
Denmark,3,1
Estonia,3,1
Finland,3,1
France,3,1
Georgia,3,1
Germany,3,1
Greece,3,1
Hungary,3,1
Iceland,3,1
India,3,1
Ireland,3,1
Israel,3,1
Italy,3,1
Japan,3,1
Kazakhstan,3,1
"Korea, Rep.",3,1
Kyrgyz Republic,3,1
Latvia,3,1
Liechtenstein,3,1
Lithuania,3,1
Luxembourg,3,1
Malta,3,1
Mexico,3,1
Moldova,3,1
Montenegro,3,1
Netherlands,3,1
New Zealand,3,1
North Macedonia,3,1
Norway,3,1
Poland,3,1
Portugal,3,1
Romania,3,1
Serbia,3,1
Slovak Republic,3,1
Slovenia,3,1
Spain,3,1
Sweden,3,1
Switzerland,3,1
Tajikistan,3,1
Turkiye,3,1
Turkmenistan,3,1
Ukraine,3,1
United Arab Emirates,3,1
United Kingdom,3,1
Uzbekistan,3,1
Viet Nam,3,1
