Value,Disaggregation combinations using this value,Number of indicators
IHR01,63,1
IHR02,63,1
IHR03,63,1
IHR04,63,1
IHR05,63,1
IHR06,63,1
IHR07,63,1
IHR08,63,1
IHR09,63,1
IHR10,63,1
IHR11,63,1
IHR12,63,1
IHR13,63,1
SPAR01,63,1
SPAR02,63,1
SPAR03,63,1
SPAR04,63,1
SPAR05,63,1
SPAR06,63,1
SPAR07,63,1
SPAR08,63,1
SPAR09,63,1
SPAR10,63,1
SPAR11,63,1
SPAR12,63,1
SPAR13,63,1
SPAR2-C01,62,1
SPAR2-C02,62,1
SPAR2-C03,62,1
SPAR2-C04,62,1
SPAR2-C05,62,1
SPAR2-C06,62,1
SPAR2-C07,62,1
SPAR2-C08,62,1
SPAR2-C09,62,1
SPAR2-C10,62,1
SPAR2-C11,62,1
SPAR2-C12,62,1
SPAR2-C13,62,1
SPAR2-C14,62,1
SPAR2-C15,62,1
